stage,context,teacher,w,scale,group,n,recall,ndcg,density,zero_recall,seconds,macro_recall,evaluation_seconds
search,temporal0,Uniform,0.0,2,4-5,256,0.10208333333333333,0.10890966718851786,0.28488802909851074,0.296875,17.769961815327406,0.103125,0.06148834899067879
search,temporal0,Uniform,0.0,2,8-9,256,0.10416666666666666,0.10864539361881136,0.3026857376098633,0.30859375,17.741255999542773,0.103125,0.06148834899067879
search,temporal0,Uniform,0.2,2,4-5,256,0.10494791666666665,0.1107997791152967,0.27936938405036926,0.265625,22.515957883559167,0.10546875,0.06185436528176069
search,temporal0,Uniform,0.2,2,8-9,256,0.10598958333333333,0.11557872717461709,0.31350088119506836,0.2890625,22.871084664948285,0.10546875,0.06185436528176069
search,temporal0,Uniform,0.3333333333333333,2,4-5,256,0.10546875,0.10951810915670683,0.28220778703689575,0.28515625,22.941728220321238,0.10703125,0.06004816759377718
search,temporal0,Uniform,0.3333333333333333,2,8-9,256,0.10859375,0.11698254085969934,0.3144034445285797,0.265625,23.35966020822525,0.10703125,0.06004816759377718
search,temporal0,Uniform,0.5,2,4-5,256,0.10833333333333334,0.11309410934476893,0.28875359892845154,0.27734375,22.61566420365125,0.11158854166666667,0.060084547847509384
search,temporal0,Uniform,0.5,2,8-9,256,0.11484375,0.12061010614347423,0.3176082372665405,0.25,22.374525004066527,0.11158854166666667,0.060084547847509384
search,temporal0,Uniform,0.6666666666666666,2,4-5,256,0.10520833333333332,0.1104695282532483,0.3038477897644043,0.28125,22.694041426293552,0.11028645833333334,0.060489457100629807
search,temporal0,Uniform,0.6666666666666666,2,8-9,256,0.11536458333333333,0.12017473409942996,0.3242272138595581,0.2265625,22.379239511676133,0.11028645833333334,0.060489457100629807
search,temporal0,Uniform,0.8,2,4-5,256,0.08307291666666666,0.08706287557919523,0.5432784557342529,0.40234375,25.951991108246148,0.08515624999999999,0.09082719683647156
search,temporal0,Uniform,0.8,2,8-9,256,0.08723958333333331,0.08792659188939217,0.49229639768600464,0.4296875,26.06417035870254,0.08515624999999999,0.09082719683647156
search,temporal0,Uniform,1.0,2,4-5,256,0.0018229166666666667,0.0015459937150389819,4.505660533905029,0.984375,24.936140523292124,0.0013020833333333335,0.11352387629449368
search,temporal0,Uniform,1.0,2,8-9,256,0.00078125,0.0006502473182761545,4.4596710205078125,0.99609375,23.931582150049508,0.0013020833333333335,0.11352387629449368
search,temporal0,FitGrid,0.0,2,4-5,256,0.10208333333333333,0.10890966718851786,0.28488802909851074,0.296875,25.926314880140126,0.103125,0.1954595185816288
search,temporal0,FitGrid,0.0,2,8-9,256,0.10416666666666666,0.10864539361881136,0.3026857376098633,0.30859375,25.723204428330064,0.103125,0.1954595185816288
search,temporal0,FitGrid,0.2,2,4-5,256,0.10442708333333332,0.10860136430372319,0.2760050296783447,0.27734375,26.493637384846807,0.105078125,0.06023989897221327
search,temporal0,FitGrid,0.2,2,8-9,256,0.10572916666666665,0.11592420657987253,0.30961620807647705,0.29296875,27.352178040891886,0.105078125,0.06023989897221327
search,temporal0,FitGrid,0.3333333333333333,2,4-5,256,0.10755208333333333,0.1104493235920331,0.27422553300857544,0.26953125,26.416957425884902,0.10885416666666667,0.29828461445868015
search,temporal0,FitGrid,0.3333333333333333,2,8-9,256,0.11015625,0.1191996208965054,0.31091392040252686,0.26171875,26.053757708519697,0.10885416666666667,0.29828461445868015
search,temporal0,FitGrid,0.5,2,4-5,256,0.10859374999999999,0.11532224487679417,0.27636516094207764,0.265625,22.86076438240707,0.1125,0.29307858645915985
search,temporal0,FitGrid,0.5,2,8-9,256,0.11640625,0.12259063444112167,0.30333206057548523,0.25390625,23.21375990100205,0.1125,0.29307858645915985
search,temporal0,FitGrid,0.6666666666666666,2,4-5,256,0.10572916666666667,0.11325083166837617,0.31557053327560425,0.27734375,24.66183018963784,0.11015625,0.22393577173352242
search,temporal0,FitGrid,0.6666666666666666,2,8-9,256,0.11458333333333333,0.11634097139802432,0.3265056014060974,0.2421875,25.535651520825922,0.11015625,0.22393577173352242
search,temporal0,FitGrid,0.8,2,4-5,256,0.07708333333333334,0.07982606313753215,0.6785980463027954,0.4765625,24.830482998862863,0.08333333333333334,0.05978952627629042
search,temporal0,FitGrid,0.8,2,8-9,256,0.08958333333333332,0.08737031227710615,0.7482517957687378,0.40625,24.379880812950432,0.08333333333333334,0.05978952627629042
search,temporal0,FitGrid,1.0,2,4-5,256,0.00078125,0.0005593392285968403,5.419272422790527,0.9921875,23.432124752551317,0.0015624999999999999,0.06096694152802229
search,temporal0,FitGrid,1.0,2,8-9,256,0.00234375,0.0018203205361043999,4.927025318145752,0.98828125,23.061059304513037,0.0015624999999999999,0.06096694152802229
