stage,context,comparison,group,delta,low,high,n
confirmation,temporal0,Uniform selected minus current,macro,0.0,0.0,0.0,4000
confirmation,temporal0,Uniform selected minus current,micro,0.0,0.0,0.0,4000
confirmation,temporal0,Uniform selected minus current,4-5,0.0,0.0,0.0,2000
confirmation,temporal0,Uniform selected minus current,8-9,0.0,0.0,0.0,2000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=1,macro,0.0077,0.005932916666666666,0.00945,4000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=1,micro,0.0077,0.005932916666666666,0.009450000000000002,4000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=1,4-5,0.0044666666666666665,0.0021325000000000003,0.006767499999999996,2000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=1,8-9,0.010933333333333333,0.008265833333333332,0.013533333333333333,2000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=2,macro,0.00595,0.003966666666666667,0.007967499999999995,4000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=2,micro,0.00595,0.003966666666666667,0.007967499999999995,4000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=2,4-5,0.002033333333333333,-0.0006333333333333335,0.004733333333333333,2000
confirmation,temporal0,Uniform selected minus endpoint w=0.0 scale=2,8-9,0.009866666666666668,0.007066666666666666,0.012633333333333333,2000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=1,macro,0.10718333333333332,0.10388333333333333,0.1106,4000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=1,micro,0.10718333333333334,0.10388333333333333,0.11059999999999999,4000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=1,4-5,0.0967,0.0923,0.10116749999999998,2000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=1,8-9,0.11766666666666667,0.11286666666666666,0.12286749999999998,2000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=2,macro,0.10774999999999998,0.10445,0.11115041666666667,4000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=2,micro,0.10774999999999998,0.10445,0.11115041666666665,4000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=2,4-5,0.09779999999999998,0.09339916666666667,0.10216749999999998,2000
confirmation,temporal0,Uniform selected minus endpoint w=1.0 scale=2,8-9,0.11769999999999999,0.11279916666666666,0.12290166666666667,2000
confirmation,temporal0,FitGrid selected minus current,macro,0.0,0.0,0.0,4000
confirmation,temporal0,FitGrid selected minus current,micro,0.0,0.0,0.0,4000
confirmation,temporal0,FitGrid selected minus current,4-5,0.0,0.0,0.0,2000
confirmation,temporal0,FitGrid selected minus current,8-9,0.0,0.0,0.0,2000
