stage,context,teacher,w,scale,group,n,recall,ndcg,density,zero_recall,seconds,macro_recall,evaluation_seconds
search,temporal0,Uniform,0.0,2,micro,512,0.103125,0.1087775304036646,0.2937869131565094,0.302734375,35.51121781487018,0.103125,0.06148834899067879
search,temporal0,Uniform,0.2,2,micro,512,0.10546874999999999,0.11318925314495693,0.2964351177215576,0.27734375,45.38704254850745,0.10546875,0.06185436528176069
search,temporal0,Uniform,0.3333333333333333,2,micro,512,0.10703125,0.11325032500820308,0.2983056306838989,0.275390625,46.30138842854649,0.10703125,0.06004816759377718
search,temporal0,Uniform,0.5,2,micro,512,0.11158854166666665,0.11685210774412158,0.3031809329986572,0.263671875,44.990189207717776,0.11158854166666667,0.060084547847509384
search,temporal0,Uniform,0.6666666666666666,2,micro,512,0.11028645833333332,0.11532213117633913,0.3140375018119812,0.25390625,45.073280937969685,0.11028645833333334,0.060489457100629807
search,temporal0,Uniform,0.8,2,micro,512,0.08515624999999999,0.0874947337342937,0.5177873969078064,0.416015625,52.01616146694869,0.08515624999999999,0.09082719683647156
search,temporal0,Uniform,1.0,2,micro,512,0.0013020833333333333,0.001098120516657568,4.482666015625,0.990234375,48.86772267334163,0.0013020833333333335,0.11352387629449368
search,temporal0,Uniform,0.0,1,micro,512,0.10182291666666665,0.10839092274165774,0.2870331108570099,0.296875,49.85463987477124,0.10182291666666667,0.06648377515375614
search,temporal0,Uniform,1.0,1,micro,512,0.0027343750000000003,0.002820091740336315,3.5038254261016846,0.970703125,49.06446710601449,0.002734375,0.11676472518593073
search,temporal0,FitGrid,0.0,2,micro,512,0.103125,0.1087775304036646,0.2937869131565094,0.302734375,51.64951930847019,0.103125,0.1954595185816288
search,temporal0,FitGrid,0.2,2,micro,512,0.105078125,0.11226278544179785,0.2928106188774109,0.28515625,53.84581542573869,0.105078125,0.06023989897221327
search,temporal0,FitGrid,0.3333333333333333,2,micro,512,0.10885416666666667,0.11482447224426925,0.29256969690322876,0.265625,52.4707151344046,0.10885416666666667,0.29828461445868015
search,temporal0,FitGrid,0.5,2,micro,512,0.11249999999999999,0.11895643965895793,0.2898486256599426,0.259765625,46.07452428340912,0.1125,0.29307858645915985
search,temporal0,FitGrid,0.6666666666666666,2,micro,512,0.11015625,0.11479590153320025,0.32103806734085083,0.259765625,50.19748171046376,0.11015625,0.22393577173352242
search,temporal0,FitGrid,0.8,2,micro,512,0.08333333333333334,0.08359818770731917,0.7134249210357666,0.44140625,49.210363811813295,0.08333333333333334,0.05978952627629042
search,temporal0,FitGrid,1.0,2,micro,512,0.0015625,0.00118982988235062,5.173149108886719,0.990234375,46.493184057064354,0.0015624999999999999,0.06096694152802229
search,temporal0,FitGrid,0.0,1,micro,512,0.10182291666666665,0.10839092274165774,0.2870331108570099,0.296875,45.88174572400749,0.10182291666666667,0.059970355592668056
search,temporal0,FitGrid,1.0,1,micro,512,0.0022135416666666666,0.0019528212943794292,3.0289859771728516,0.978515625,46.16322442423552,0.0022135416666666666,0.06068077404052019
confirmation,temporal0,Uniform,0.5,2,micro,4000,0.11068333333333334,0.11565843134029942,0.2842220366001129,0.2675,326.15476493164897,0.11068333333333333,0.49870915710926056
confirmation,temporal0,Uniform,0.0,1,micro,4000,0.10298333333333332,0.10647834541656903,0.27672064304351807,0.299,277.83793558273464,0.10298333333333333,0.49820835050195456
confirmation,temporal0,Uniform,0.0,2,micro,4000,0.10473333333333332,0.10929553793131021,0.2818251848220825,0.30425,275.5974647765979,0.10473333333333334,0.4993101842701435
confirmation,temporal0,Uniform,1.0,1,micro,4000,0.0035,0.003259745066119079,3.4327456951141357,0.97625,279.1853050030768,0.0034999999999999996,0.502841392531991
confirmation,temporal0,Uniform,1.0,2,micro,4000,0.0029333333333333334,0.0026032255568310364,4.456860542297363,0.98475,277.9520548628643,0.0029333333333333334,0.5053417533636093
confirmation,temporal0,FitGrid,0.5,2,micro,4000,0.11043333333333334,0.11638668759683057,0.28571727871894836,0.27575,276.12833115272224,0.11043333333333333,0.4996658246964216
confirmation,temporal0,FitGrid,0.0,1,micro,4000,0.10298333333333332,0.10647834541656903,0.27672064304351807,0.299,278.62202778458595,0.10298333333333333,0.499744133092463
confirmation,temporal0,FitGrid,0.0,2,micro,4000,0.10473333333333332,0.10929553793131021,0.2818251848220825,0.30425,279.86126965098083,0.10473333333333334,0.4988636029884219
confirmation,temporal0,FitGrid,1.0,1,micro,4000,0.0024,0.0020773337450011265,3.037612199783325,0.98275,276.34910007286817,0.0024000000000000002,0.5021269684657454
confirmation,temporal0,FitGrid,1.0,2,micro,4000,0.0021333333333333334,0.0017177057502184517,5.134830951690674,0.98475,279.4211852066219,0.0021333333333333334,0.5018174108117819
confirmation,temporal1,Uniform,0.5,2,micro,4000,0.10928333333333333,0.11423187995884662,0.2844837009906769,0.2735,273.13765245396644,0.10928333333333334,0.5292807929217815
confirmation,temporal1,FitGrid,0.5,2,micro,4000,0.1104,0.11649984931244857,0.2825917899608612,0.27025,278.1175558725372,0.1104,0.5279263015836477
transfer,existing,Uniform,0.5,2,micro,2000,0.08883333333333333,0.09305140468706212,0.26815465092658997,0.349,137.1905230106786,0.08883333333333333,0.37969390396028757
transfer,existing,FitGrid,0.5,2,micro,2000,0.08929999999999998,0.09343121216902041,0.269553542137146,0.3505,137.16174737550318,0.0893,0.33499004133045673
