query_index,query_id,timepoint,recall,ndcg,density_log_distortion,zero_recall,seconds
128,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:128,0-1,0.06666666666666667,0.049317124049935504,0.24516016,False,0.07004516944289207
2377,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2377,2-3,0.26666666666666666,0.2170725257274275,0.104798645,False,0.06946599017828703
2823,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2823,4-5,0.0,0.0,0.4827391,True,0.0694337161257863
3752,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3752,6-7,0.2,0.1395596665214573,0.30615994,False,0.06923038326203823
5190,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5190,8-9,0.13333333333333333,0.11531777908110442,0.088762075,False,0.06929854210466146
625,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:625,0-1,0.0,0.0,0.24054879,True,0.06900796014815569
1667,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1667,2-3,0.13333333333333333,0.22747895770480633,0.13498718,False,0.06934319343417883
2761,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2761,4-5,0.06666666666666667,0.10764243204553911,0.3386842,False,0.06907530780881643
4312,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4312,6-7,0.2,0.2366158397097798,0.14550084,False,0.06906619481742382
5056,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5056,8-9,0.13333333333333333,0.1513052641704713,0.30141544,False,0.06895798444747925
874,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:874,0-1,0.13333333333333333,0.13424962064154208,0.34627333,False,0.06894305068999529
1724,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1724,2-3,0.0,0.0,0.09842065,True,0.0690286559984088
3342,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3342,4-5,0.13333333333333333,0.1569595560954746,0.1429278,False,0.06897483766078949
3753,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3753,6-7,0.06666666666666667,0.17060921827860476,0.36299032,False,0.06942178960889578
6158,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:6158,8-9,0.4,0.37856572285230683,0.9549043,False,0.06890216656029224
360,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:360,0-1,0.0,0.0,0.0019099526,True,0.0690662395209074
1622,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1622,2-3,0.06666666666666667,0.17060921827860476,0.2607734,False,0.06856802478432655
2919,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2919,4-5,0.0,0.0,0.061087273,True,0.06868722569197416
4897,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4897,6-7,0.13333333333333333,0.11069095544897115,0.13144538,False,0.0688644414767623
5570,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5570,8-9,0.0,0.0,0.13341397,True,0.06872796267271042
346,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:346,0-1,0.06666666666666667,0.04265230456965119,0.20530148,False,0.06851765979081392
1359,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1359,2-3,0.06666666666666667,0.046105120275897894,0.068902835,False,0.06890642549842596
2754,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2754,4-5,0.0,0.0,0.038474645,True,0.06835244316607714
4891,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4891,6-7,0.13333333333333333,0.14607683887702272,0.019045413,False,0.06882604118436575
5985,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5985,8-9,0.0,0.0,0.09581082,True,0.06900148838758469
336,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:336,0-1,0.06666666666666667,0.08530460913930238,0.22234496,False,0.06895631924271584
1959,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1959,2-3,0.13333333333333333,0.1587820000431241,0.3247677,False,0.06924051139503717
2770,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2770,4-5,0.0,0.0,0.36263844,True,0.06896454840898514
4905,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4905,6-7,0.13333333333333333,0.1082282316648452,0.17482388,False,0.06889815721660852
5615,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5615,8-9,0.13333333333333333,0.09863164787670416,0.23891833,False,0.06905771046876907
715,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:715,0-1,0.13333333333333333,0.12795691370895357,0.11107683,False,0.06835449673235416
2197,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2197,2-3,0.2,0.20831804833411824,0.26462862,False,0.06896942853927612
2782,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2782,4-5,0.13333333333333333,0.11069095544897115,0.50065327,False,0.06874348502606153
4086,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4086,6-7,0.5333333333333333,0.4810938946405237,0.48135614,False,0.06866454612463713
6148,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:6148,8-9,0.0,0.0,0.06361688,True,0.06905801128596067
209,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:209,0-1,0.13333333333333333,0.10141145392464015,0.057465293,False,0.06902178470045328
1416,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1416,2-3,0.0,0.0,0.81204695,True,0.06867475342005491
2865,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2865,4-5,0.3333333333333333,0.419404496996784,0.006738578,False,0.06873419042676687
4554,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4554,6-7,0.13333333333333333,0.1524528638994737,0.25074634,False,0.06899538822472095
5789,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5789,8-9,0.0,0.0,0.1588743,True,0.06862392835319042
86,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:86,0-1,0.0,0.0,0.15062359,True,0.06902584619820118
1674,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1674,2-3,0.13333333333333333,0.10297485970209948,0.28757754,False,0.06884223688393831
3313,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:3313,4-5,0.0,0.0,0.15332979,True,0.06887067202478647
4018,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4018,6-7,0.26666666666666666,0.1985685841665288,0.46182197,False,0.06912264507263899
5882,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5882,8-9,0.0,0.0,0.407002,True,0.06911234930157661
83,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:83,0-1,0.06666666666666667,0.05135849223864361,0.25814837,False,0.06902808789163828
1321,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:1321,2-3,0.2,0.16371993337534352,0.5098382,False,0.06967010255903006
2760,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2760,4-5,0.0,0.0,0.055941433,True,0.06962825544178486
4111,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4111,6-7,0.6,0.6934838404878522,0.3523251,False,0.0693496074527502
5374,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5374,8-9,0.0,0.0,0.26213634,True,0.06941877119243145
837,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:837,0-1,0.2,0.19855798417537163,0.06929678,False,0.06980317737907171
2001,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2001,2-3,0.2,0.21061729174763857,0.35681564,False,0.06940451823174953
2815,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2815,4-5,0.06666666666666667,0.08530460913930238,0.092158414,False,0.06878659967333078
4163,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4163,6-7,0.0,0.0,0.34814197,True,0.06881847232580185
5193,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:5193,8-9,0.2,0.14319084252079112,0.17819373,False,0.06861726474016905
756,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:756,0-1,0.3333333333333333,0.4301486805139274,0.08300381,False,0.06872125342488289
2184,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2184,2-3,0.06666666666666667,0.04265230456965119,0.28048655,False,0.06902793329209089
2997,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:2997,4-5,0.06666666666666667,0.0475902379018706,0.13972074,False,0.06840070616453886
4860,56edbc2e62a5c79a3a7bbadfae942f25ed241788bbeda0808fb8fdfc14d1f8c3:4860,6-7,0.26666666666666666,0.23175858425466347,0.3111977,False,0.06887972541153431
