context,teacher,w,scale,step,weighted_attraction_norm,weighted_repulsion_norm,repulsion_fraction,clipped
temporal0,FitGrid,0.0,1,0,1.793644517660141,0.0,0.0,0.0
temporal0,FitGrid,0.0,1,1,1.0151690654456615,0.0,0.0,0.0
temporal0,FitGrid,0.0,1,10,1.3715988118201494,0.0,0.0,0.0
temporal0,FitGrid,0.0,1,50,1.3926366530358791,0.0,0.0,0.0
temporal0,FitGrid,0.0,1,100,1.3480009399354458,0.0,0.0,0.0
temporal0,FitGrid,0.0,1,199,0.29275400564074516,0.0,0.0,0.0
temporal0,FitGrid,0.0,2,0,3.587289035320282,0.0,0.0,0.25
temporal0,FitGrid,0.0,2,1,1.8119400758296251,0.0,0.0,0.0
temporal0,FitGrid,0.0,2,10,3.5166324973106384,0.0,0.0,0.0
temporal0,FitGrid,0.0,2,50,3.692771725356579,0.0,0.0,0.375
temporal0,FitGrid,0.0,2,100,3.9064905494451523,0.0,0.0,0.625
temporal0,FitGrid,0.0,2,199,0.4444455299526453,0.0,0.0,0.0
temporal0,FitGrid,0.2,2,0,2.8698312282562255,0.35364746749401094,0.1535222951334598,0.25
temporal0,FitGrid,0.2,2,1,1.4949396848678589,0.056267146393656736,0.08074488248782796,0.0
temporal0,FitGrid,0.2,2,10,2.796303963661194,0.05190939139574766,0.019852748507816764,0.0
temporal0,FitGrid,0.2,2,50,2.47885000705719,0.05010965205729008,0.02317226784178401,0.0
temporal0,FitGrid,0.2,2,100,2.9803039669990543,0.07547730021178722,0.03295864170892796,0.25
temporal0,FitGrid,0.2,2,199,0.439167258143425,0.14177187532186508,0.2746549775355414,0.0
temporal0,FitGrid,0.3333333333333333,2,0,2.391526023546855,0.5894124458233515,0.2394761620871514,0.0
temporal0,FitGrid,0.3333333333333333,2,1,1.252628030876319,0.08164878282696009,0.10761969125735794,0.0
temporal0,FitGrid,0.3333333333333333,2,10,1.8757423311471941,0.08659815198431413,0.07304174694939555,0.0
temporal0,FitGrid,0.3333333333333333,2,50,1.9542663196722667,0.07723282494892676,0.037400065440243095,0.0
temporal0,FitGrid,0.3333333333333333,2,100,1.931251128514608,0.13296556348601976,0.10480445554139278,0.0
temporal0,FitGrid,0.3333333333333333,2,199,0.4471706077456475,0.23565511529644328,0.367408913791489,0.0
temporal0,FitGrid,0.5,2,0,1.793644517660141,0.8841186687350273,0.3475479247788954,0.0
temporal0,FitGrid,0.5,2,1,0.9434558097273111,0.1024313266389072,0.1464532360058144,0.0
temporal0,FitGrid,0.5,2,10,1.3400298450142145,0.1270170039497316,0.13476930410446258,0.0
temporal0,FitGrid,0.5,2,50,1.4107602089643478,0.11930310167372227,0.07652514489725452,0.0
temporal0,FitGrid,0.5,2,100,1.2226700587198138,0.1890856111422181,0.24858393849781812,0.0
temporal0,FitGrid,0.5,2,199,0.46559377759695053,0.35173078812658787,0.44556718907746234,0.0
temporal0,FitGrid,0.6666666666666666,2,0,1.1957630117734275,1.178824891646703,0.4724696243159822,0.0
temporal0,FitGrid,0.6666666666666666,2,1,0.6322645184894404,0.1366857122629881,0.2247715700913009,0.0
temporal0,FitGrid,0.6666666666666666,2,10,0.9355863469342391,0.1661788976440827,0.19490672934319173,0.0
temporal0,FitGrid,0.6666666666666666,2,50,0.8195625245571138,0.1486052801677336,0.16948027052856146,0.0
temporal0,FitGrid,0.6666666666666666,2,100,0.7460717236002287,0.24681783591707546,0.29832200804690534,0.0
temporal0,FitGrid,0.6666666666666666,2,199,0.49004640678564715,0.46649105101823807,0.5117665136576649,0.0
temporal0,FitGrid,0.8,2,0,0.7174578070640563,1.4145898699760437,0.6037165064845911,0.0
temporal0,FitGrid,0.8,2,1,0.37676690891385073,0.1870360776782036,0.38452865104525424,0.0
temporal0,FitGrid,0.8,2,10,0.5651641756296156,0.2071394428610802,0.30592087388172695,0.0
temporal0,FitGrid,0.8,2,50,0.4702483713626861,0.19730010312050583,0.2967266843480917,0.0
temporal0,FitGrid,0.8,2,100,0.4487385772168635,0.3088083803653717,0.4295713492660226,0.0
temporal0,FitGrid,0.8,2,199,0.5821997746825217,0.5746996492147446,0.5191296093617922,0.0
temporal0,FitGrid,1.0,1,0,0.0,0.8841186687350273,1.0,0.0
temporal0,FitGrid,1.0,1,1,0.0,0.10591731173917651,1.0,0.0
temporal0,FitGrid,1.0,1,10,0.0,0.09643537201918662,1.0,0.0
temporal0,FitGrid,1.0,1,50,0.0,0.10506167775020003,1.0,0.0
temporal0,FitGrid,1.0,1,100,0.0,0.2087812852114439,1.0,0.0
temporal0,FitGrid,1.0,1,199,0.0,1.1129976147785783,1.0,0.0
temporal0,FitGrid,1.0,2,0,0.0,1.7682373374700546,1.0,0.0
temporal0,FitGrid,1.0,2,1,0.0,0.2546853004023433,1.0,0.0
temporal0,FitGrid,1.0,2,10,0.0,0.27649509720504284,1.0,0.0
temporal0,FitGrid,1.0,2,50,0.0,0.6442416459321976,1.0,0.0
temporal0,FitGrid,1.0,2,100,0.0,14.785095502622426,1.0,0.5
temporal0,FitGrid,1.0,2,199,0.0,41.540605841204524,1.0,0.875
temporal0,Uniform,0.0,1,0,1.793644517660141,0.0,0.0,0.0
temporal0,Uniform,0.0,1,1,1.0151690654456615,0.0,0.0,0.0
temporal0,Uniform,0.0,1,10,1.3715988118201494,0.0,0.0,0.0
temporal0,Uniform,0.0,1,50,1.3926366530358791,0.0,0.0,0.0
