celltype,k,n_query,standard_umap_mean,umaping_mean,paired_mean_difference
acinar,5,462,0.059740259740259725,0.09740259740259741,0.03766233766233766
acinar,15,462,0.12972582972582972,0.14588744588744587,0.016161616161616165
activated_stellate,5,145,0.0496551724137931,0.1213793103448276,0.07172413793103448
activated_stellate,15,145,0.16045977011494253,0.20275862068965517,0.04229885057471264
alpha,5,1851,0.02377093462992977,0.06039978390059428,0.0366288492706645
alpha,15,1851,0.04851431658562937,0.07761570322348278,0.02910138663785341
beta,5,753,0.031075697211155377,0.05763612217795486,0.02656042496679947
beta,15,753,0.065427180168216,0.0884462151394422,0.0230190349712262
delta,5,330,0.06242424242424243,0.07757575757575758,0.015151515151515152
delta,15,330,0.11818181818181814,0.12646464646464642,0.008282828282828275
ductal,5,702,0.05584045584045585,0.11339031339031339,0.05754985754985755
ductal,15,702,0.1268755935422602,0.16020892687559352,0.03333333333333334
endothelial,5,42,0.18571428571428572,0.29047619047619044,0.10476190476190476
endothelial,15,42,0.3666666666666667,0.35079365079365077,-0.015873015873015872
epsilon,5,12,0.35000000000000003,0.36666666666666664,0.016666666666666666
epsilon,15,12,0.5666666666666668,0.7388888888888889,0.1722222222222222
gamma,5,323,0.021671826625386997,0.06191950464396285,0.04024767801857585
gamma,15,323,0.08668730650154795,0.12858617131062947,0.041898864809081525
macrophage,5,22,0.11818181818181818,0.1272727272727273,0.009090909090909096
macrophage,15,22,0.393939393939394,0.23939393939393935,-0.15454545454545457
mast,5,13,0.10769230769230768,0.35384615384615387,0.24615384615384617
mast,15,13,0.4,0.48205128205128206,0.08205128205128205
quiescent_stellate,5,18,0.1111111111111111,0.22222222222222227,0.11111111111111113
quiescent_stellate,15,18,0.1925925925925926,0.25925925925925924,0.06666666666666667
schwann,5,6,0.3,0.39999999999999997,0.10000000000000002
schwann,15,6,0.7888888888888889,0.7888888888888888,-3.700743415417188e-17
