query_index,celltype,tech,x,y,recall_at_5,recall_at_15
0,gamma,celseq2,-3.990364,7.514286,0.0,0.1333333333333333
1,gamma,celseq2,-5.729533,0.19216159,0.0,0.0666666666666666
2,gamma,celseq2,-5.7125916,0.13098258,0.0,0.0
3,gamma,celseq2,-1.5043448,8.879434,0.0,0.2666666666666666
4,gamma,celseq2,-5.6396255,0.15149212,0.0,0.1333333333333333
5,gamma,celseq2,-5.601573,0.13553602,0.2,0.2666666666666666
6,gamma,celseq2,-5.596645,0.11878419,0.4,0.1333333333333333
7,gamma,celseq2,-5.6203885,-0.030849181,0.0,0.1333333333333333
8,gamma,celseq2,-5.474323,0.06344898,0.0,0.2
9,gamma,celseq2,-5.5304136,0.15098031,0.0,0.0666666666666666
10,gamma,celseq2,-5.712206,0.08376221,0.0,0.0666666666666666
11,gamma,celseq2,-5.405471,0.02278703,0.2,0.2666666666666666
12,gamma,celseq2,-5.640637,0.2899483,0.0,0.2
13,gamma,celseq2,-5.742412,0.15357077,0.0,0.0
14,gamma,celseq2,-5.693643,0.08718442,0.0,0.1333333333333333
15,gamma,celseq2,-5.6633334,0.17473051,0.0,0.1333333333333333
16,gamma,celseq2,-5.773128,0.23085068,0.2,0.0666666666666666
17,gamma,celseq2,-5.704925,-0.01354785,0.0,0.2
18,gamma,celseq2,-5.8184032,0.10274614,0.0,0.0666666666666666
19,gamma,celseq2,-5.659456,0.09671033,0.0,0.1333333333333333
20,gamma,celseq2,-5.6913476,0.10546263,0.0,0.0666666666666666
21,gamma,celseq2,-5.6214724,0.025259763,0.0,0.1333333333333333
22,gamma,celseq2,-5.6797085,0.07121781,0.0,0.1333333333333333
23,gamma,celseq2,-5.6409597,0.012742093,0.0,0.0666666666666666
24,gamma,celseq2,-5.784626,-0.1326113,0.0,0.1333333333333333
25,gamma,celseq2,-5.5836143,-0.04075079,0.0,0.0
26,gamma,celseq2,-5.6648145,-0.07210212,0.0,0.0666666666666666
27,gamma,celseq2,-5.739883,-0.04429147,0.0,0.0666666666666666
28,gamma,celseq2,-5.669816,-0.035609696,0.0,0.0
29,gamma,celseq2,-5.541335,-0.15224804,0.0,0.2
30,gamma,celseq2,-5.668715,0.013520589,0.0,0.0666666666666666
31,gamma,celseq2,-5.660376,0.010396045,0.0,0.0
32,gamma,celseq2,-5.3682837,-0.12899137,0.0,0.1333333333333333
33,gamma,celseq2,-5.4277754,-0.07727684,0.0,0.1333333333333333
34,gamma,celseq2,-5.605634,-0.050631445,0.0,0.0666666666666666
35,gamma,celseq2,-5.8215895,0.0091157295,0.0,0.0666666666666666
36,gamma,celseq2,-5.771309,-0.13853921,0.0,0.2
37,gamma,celseq2,-5.798816,0.25048172,0.0,0.0
38,gamma,celseq2,-5.6554575,0.003900608,0.0,0.0666666666666666
39,gamma,celseq2,-5.5822473,0.022152213,0.2,0.1333333333333333
40,gamma,celseq2,-5.7594213,0.19997787,0.0,0.1333333333333333
41,gamma,celseq2,-5.552532,0.093158185,0.2,0.0666666666666666
42,gamma,celseq2,-5.9071875,-0.1945119,0.4,0.3333333333333333
43,gamma,celseq2,-5.591747,0.13021435,0.0,0.1333333333333333
44,gamma,celseq2,-5.7341914,0.07334272,0.2,0.2
45,gamma,celseq2,-5.5844073,0.049102705,0.2,0.2
46,gamma,celseq2,-5.709382,0.031871386,0.2,0.1333333333333333
47,gamma,celseq2,-5.6534557,-0.021626381,0.0,0.0666666666666666
48,gamma,celseq2,-5.879067,0.14734796,0.0,0.0
49,gamma,celseq2,-5.614212,-0.01894455,0.0,0.2666666666666666
50,gamma,celseq2,-5.592196,0.020050813,0.2,0.2
51,gamma,celseq2,-5.7560563,0.1719993,0.0,0.0666666666666666
52,gamma,celseq2,-5.6890216,-0.02335547,0.2,0.2
53,gamma,celseq2,-5.6394553,-0.010292676,0.0,0.0666666666666666
54,gamma,celseq2,-5.7937474,0.18277705,0.0,0.1333333333333333
55,gamma,celseq2,-5.6618643,0.015573287,0.0,0.0
56,gamma,celseq2,-5.7644844,0.054030724,0.0,0.0666666666666666
57,gamma,celseq2,-5.950565,-0.020972975,0.4,0.3333333333333333
58,gamma,celseq2,-5.703209,0.036658756,0.0,0.0
59,gamma,celseq2,-5.772061,0.07949418,0.0,0.0666666666666666
60,gamma,celseq2,-5.7445183,-3.1986856e-05,0.0,0.0
61,gamma,celseq2,-5.755938,-0.027150963,0.0,0.0666666666666666
62,gamma,celseq2,-5.688008,-0.02506315,0.2,0.2
63,gamma,celseq2,-5.831572,0.19505498,0.0,0.0666666666666666
64,gamma,celseq2,-5.5227685,-0.042759277,0.0,0.2
65,gamma,celseq2,-5.467807,0.016458627,0.0,0.1333333333333333
66,gamma,celseq2,-5.4973845,-0.0325906,0.0,0.2
67,gamma,celseq2,-5.517913,0.3030343,0.2,0.0666666666666666
68,gamma,celseq2,-5.5722694,-0.033343982,0.0,0.1333333333333333
69,gamma,celseq2,-5.6749735,0.068331234,0.0,0.2
70,gamma,celseq2,-5.5715294,-0.088659704,0.0,0.0666666666666666
71,gamma,celseq2,-5.781788,-0.051458776,0.0,0.0666666666666666
72,gamma,celseq2,-5.6788425,-0.02203469,0.0,0.0666666666666666
73,gamma,celseq2,-5.6777124,0.1738157,0.0,0.0666666666666666
74,gamma,celseq2,-5.9065576,0.027319802,0.0,0.0666666666666666
75,gamma,celseq2,-5.819867,0.14822935,0.0,0.1333333333333333
76,gamma,celseq2,-5.8895583,-0.10466873,0.4,0.2
77,gamma,celseq2,-5.754098,-0.07112626,0.0,0.1333333333333333
78,gamma,celseq2,-5.7295604,0.17384452,0.0,0.1333333333333333
79,gamma,celseq2,-5.6619782,-0.051171552,0.0,0.0
80,gamma,celseq2,-5.7155128,0.30299556,0.0,0.1333333333333333
81,gamma,celseq2,-5.7474847,0.04211429,0.0,0.0666666666666666
82,gamma,celseq2,-5.6945076,-0.007339172,0.0,0.0
83,gamma,celseq2,-5.7511816,0.20002502,0.0,0.1333333333333333
84,gamma,celseq2,-5.673829,0.31458867,0.0,0.2
85,gamma,celseq2,-5.720031,0.10395383,0.0,0.0666666666666666
86,gamma,celseq2,-5.5659585,0.24319138,0.0,0.0666666666666666
87,gamma,celseq2,-5.6982694,0.16643003,0.2,0.2
88,gamma,celseq2,-5.7510467,0.35631114,0.2,0.2666666666666666
89,gamma,celseq2,-5.5255256,-0.034393974,0.0,0.3333333333333333
90,gamma,celseq2,-5.6787076,0.22842766,0.0,0.1333333333333333
91,gamma,celseq2,-5.7988267,0.06058009,0.0,0.0666666666666666
92,gamma,celseq2,-5.712954,0.10073591,0.0,0.0666666666666666
93,gamma,celseq2,-5.75712,0.14938387,0.0,0.0
94,gamma,celseq2,-5.820009,0.1541949,0.0,0.0666666666666666
95,gamma,celseq2,-5.6931734,0.3724775,0.0,0.0666666666666666
96,gamma,celseq2,-5.7383614,0.05919966,0.2,0.0666666666666666
97,gamma,celseq2,-5.62079,0.17331052,0.0,0.0666666666666666
98,gamma,celseq2,-5.4564066,-0.16122302,0.0,0.1333333333333333
99,gamma,celseq2,-5.482699,-0.12400849,0.0,0.2
100,gamma,celseq2,-5.687328,-0.024280809,0.0,0.2
101,gamma,celseq2,-5.684824,0.16696854,0.0,0.2666666666666666
102,gamma,celseq2,-5.987559,0.0036791936,0.2,0.2
103,gamma,celseq2,-5.792025,0.084190324,0.0,0.0666666666666666
104,gamma,celseq2,-5.612897,0.25874412,0.0,0.1333333333333333
105,gamma,celseq2,-5.686143,0.064938314,0.2,0.1333333333333333
106,gamma,celseq2,-5.680582,-0.09777074,0.0,0.0666666666666666
107,gamma,celseq2,-5.97212,0.060328774,0.0,0.0666666666666666
108,gamma,celseq2,-5.765263,-0.004566293,0.0,0.0666666666666666
109,gamma,celseq2,-5.7078285,0.12692693,0.2,0.2
110,gamma,smartseq2,-5.691821,0.10585478,0.0,0.0666666666666666
111,gamma,smartseq2,-3.7039711,-5.2305627,0.2,0.1333333333333333
112,gamma,smartseq2,-5.726873,0.23852189,0.2,0.2
113,gamma,smartseq2,-5.6631947,0.17833252,0.0,0.0
114,gamma,smartseq2,-5.680104,0.01310945,0.0,0.0666666666666666
115,gamma,smartseq2,-5.7001247,0.20600815,0.0,0.0666666666666666
116,gamma,smartseq2,-5.481837,0.1317704,0.2,0.2
117,gamma,smartseq2,-5.4592075,0.0031538424,0.0,0.1333333333333333
118,gamma,smartseq2,-5.660692,0.2916228,0.0,0.2
119,gamma,smartseq2,-5.591952,0.18551321,0.0,0.0666666666666666
120,gamma,smartseq2,-5.3822193,-0.09503606,0.2,0.2666666666666666
121,gamma,smartseq2,-5.6511827,0.29058722,0.2,0.1333333333333333
122,gamma,smartseq2,-5.3325925,-0.010286965,0.0,0.0666666666666666
123,gamma,smartseq2,-5.615258,0.17437637,0.0,0.0
124,gamma,smartseq2,-5.735936,0.37454605,0.2,0.2
125,gamma,smartseq2,-5.609889,0.13213591,0.0,0.0
126,gamma,smartseq2,-5.4747286,-0.05518604,0.2,0.2666666666666666
127,gamma,smartseq2,-5.7419343,-0.015587599,0.0,0.0
128,gamma,smartseq2,-5.6798515,0.28372058,0.2,0.0666666666666666
129,gamma,smartseq2,-5.7783537,0.2678351,0.0,0.0666666666666666
130,gamma,smartseq2,-5.7239475,0.21789636,0.0,0.0
131,gamma,smartseq2,-5.6593657,0.19407023,0.0,0.0666666666666666
132,gamma,smartseq2,-5.624681,0.06349294,0.0,0.0
133,gamma,smartseq2,-5.5861073,0.33334872,0.0,0.1333333333333333
134,gamma,smartseq2,-5.358213,-0.1906572,0.2,0.1333333333333333
135,gamma,smartseq2,-5.506802,-0.13151734,0.0,0.1333333333333333
136,gamma,smartseq2,-5.497078,-0.037478555,0.0,0.0
137,gamma,smartseq2,-5.5662336,0.055794615,0.0,0.1333333333333333
138,gamma,smartseq2,-5.634552,0.119276896,0.0,0.0666666666666666
139,gamma,smartseq2,-5.631726,-0.14138754,0.2,0.2666666666666666
140,gamma,smartseq2,-5.5148945,0.039582305,0.0,0.0666666666666666
141,gamma,smartseq2,-5.4198227,-0.1833845,0.0,0.2666666666666666
142,gamma,smartseq2,-5.5421324,-0.09117475,0.0,0.2
143,gamma,smartseq2,-5.4971604,0.14590691,0.2,0.2666666666666666
144,gamma,smartseq2,-5.5127273,0.21503133,0.0,0.2
145,gamma,smartseq2,-5.542984,-0.08778239,0.0,0.2
146,gamma,smartseq2,-5.5956173,0.30916592,0.2,0.2
147,gamma,smartseq2,-5.6093225,-0.10675915,0.2,0.0666666666666666
148,gamma,smartseq2,-5.6626525,0.062209737,0.0,0.0666666666666666
149,gamma,smartseq2,-5.4252715,0.04404125,0.0,0.1333333333333333
150,gamma,smartseq2,-5.5951395,0.053095404,0.2,0.0666666666666666
151,gamma,smartseq2,-5.6430044,0.062004454,0.0,0.1333333333333333
152,gamma,smartseq2,-5.5020685,-0.16119409,0.2,0.3333333333333333
153,gamma,smartseq2,-5.6430235,0.1806222,0.0,0.0666666666666666
154,gamma,smartseq2,-5.444906,0.057975158,0.0,0.0666666666666666
155,gamma,smartseq2,-5.5636153,0.010088199,0.2,0.1333333333333333
156,gamma,smartseq2,-4.7619634,5.864062,0.0,0.0666666666666666
157,gamma,smartseq2,-5.4904804,-0.090309,0.0,0.0666666666666666
158,gamma,smartseq2,-5.491054,0.22696431,0.0,0.1333333333333333
159,gamma,smartseq2,-5.655123,0.012902707,0.0,0.2666666666666666
160,gamma,smartseq2,-5.485754,0.094838314,0.0,0.0666666666666666
161,gamma,smartseq2,-5.6465445,-0.0018060784,0.0,0.1333333333333333
