query_index,celltype,tech,x,y,recall_at_5,recall_at_15
0,gamma,celseq2,15.852351,6.3312583,0.0,0.0666666666666666
1,gamma,celseq2,15.580659,6.1288147,0.0,0.0
2,gamma,celseq2,10.588189,19.582485,0.0,0.0666666666666666
3,gamma,celseq2,16.159777,6.093979,0.0,0.0
4,gamma,celseq2,10.848516,19.62698,0.0,0.1333333333333333
5,gamma,celseq2,16.40485,8.4688635,0.0,0.0
6,gamma,celseq2,10.639677,19.745453,0.0,0.0666666666666666
7,gamma,celseq2,10.806756,20.021458,0.0,0.2
8,gamma,celseq2,10.654195,19.90934,0.0,0.0
9,gamma,celseq2,10.685272,19.619873,0.0,0.0
10,gamma,celseq2,16.67091,17.727518,0.0,0.0
11,gamma,celseq2,10.706573,20.04536,0.0,0.1333333333333333
12,gamma,celseq2,16.202282,17.485146,0.0,0.0
13,gamma,celseq2,15.984611,6.421616,0.0,0.0
14,gamma,celseq2,10.930448,19.758074,0.0,0.0666666666666666
15,gamma,celseq2,10.557876,19.713179,0.0,0.0666666666666666
16,gamma,celseq2,15.321758,6.3281393,0.0,0.0
17,gamma,celseq2,10.793969,19.78753,0.0,0.1333333333333333
18,gamma,celseq2,10.745367,19.634867,0.0,0.0666666666666666
19,gamma,celseq2,10.744406,19.677395,0.0,0.0666666666666666
20,gamma,celseq2,15.081665,6.2179246,0.0,0.0
21,gamma,celseq2,10.964817,19.717587,0.0,0.0
22,gamma,celseq2,15.664002,6.807734,0.0,0.0
23,gamma,celseq2,10.950098,19.781832,0.2,0.0666666666666666
24,gamma,celseq2,11.127565,19.65549,0.0,0.1333333333333333
25,gamma,celseq2,10.590998,19.712738,0.0,0.0
26,gamma,celseq2,10.90217,19.853992,0.0,0.0666666666666666
27,gamma,celseq2,10.893894,19.771914,0.0,0.0666666666666666
28,gamma,celseq2,10.993408,19.848766,0.0,0.0666666666666666
29,gamma,celseq2,10.996548,20.012665,0.0,0.0666666666666666
30,gamma,celseq2,10.932657,19.6537,0.0,0.0
31,gamma,celseq2,10.988913,19.921005,0.0,0.0666666666666666
32,gamma,celseq2,10.933447,20.158096,0.0,0.0666666666666666
33,gamma,celseq2,10.903847,19.951841,0.0,0.0666666666666666
34,gamma,celseq2,10.977181,19.907269,0.2,0.1333333333333333
35,gamma,celseq2,10.8847275,19.583958,0.0,0.2
36,gamma,celseq2,16.701742,8.40058,0.0,0.0
37,gamma,celseq2,16.099207,6.6076174,0.0,0.0
38,gamma,celseq2,10.8915615,19.84043,0.2,0.0666666666666666
39,gamma,celseq2,10.813276,19.920126,0.0,0.0666666666666666
40,gamma,celseq2,10.829227,19.631033,0.0,0.0
41,gamma,celseq2,15.015931,6.4611044,0.0,0.0
42,gamma,celseq2,10.905691,19.735636,0.2,0.1333333333333333
43,gamma,celseq2,10.618538,19.988674,0.0,0.0666666666666666
44,gamma,celseq2,10.792486,19.703249,0.0,0.2
45,gamma,celseq2,10.666882,19.975952,0.0,0.0666666666666666
46,gamma,celseq2,10.987818,19.897215,0.0,0.0666666666666666
47,gamma,celseq2,10.986647,19.812239,0.0,0.0
48,gamma,celseq2,10.808767,19.473616,0.0,0.0
49,gamma,celseq2,11.03578,19.855759,0.0,0.0666666666666666
50,gamma,celseq2,10.932829,19.942213,0.0,0.0666666666666666
51,gamma,celseq2,10.809697,19.623104,0.0,0.0666666666666666
52,gamma,celseq2,10.972596,19.814255,0.0,0.0
53,gamma,celseq2,15.590572,6.9041295,0.0,0.0
54,gamma,celseq2,14.778777,6.222925,0.0,0.0
55,gamma,celseq2,15.508146,6.5818343,0.0,0.0
56,gamma,celseq2,10.720306,19.63984,0.0,0.1333333333333333
57,gamma,celseq2,16.352346,7.050868,0.0,0.0
58,gamma,celseq2,16.107683,6.034659,0.0,0.0
59,gamma,celseq2,10.841407,19.758114,0.2,0.1333333333333333
60,gamma,celseq2,10.8250265,19.825771,0.0,0.0666666666666666
61,gamma,celseq2,10.98807,19.69042,0.0,0.1333333333333333
62,gamma,celseq2,10.995763,19.605238,0.0,0.0
63,gamma,celseq2,10.503085,19.56899,0.0,0.2
64,gamma,celseq2,10.811313,19.807219,0.0,0.1333333333333333
65,gamma,celseq2,10.855262,19.875648,0.0,0.1333333333333333
66,gamma,celseq2,10.913343,20.006334,0.0,0.0666666666666666
67,gamma,celseq2,10.738934,19.705854,0.0,0.0
68,gamma,celseq2,10.858479,20.076525,0.0,0.1333333333333333
