reference_index,celltype,tech,x,y
0,gamma,celseq,-5.9311604,0.059715122
1,gamma,celseq,-5.5948806,0.13224314
2,gamma,celseq,-5.714654,0.35072765
3,gamma,celseq,-5.7753787,0.22825408
4,gamma,celseq,-5.478644,0.38202983
5,gamma,celseq,-5.9601555,-0.16074222
6,gamma,celseq,-5.5213447,0.028821979
7,gamma,celseq,-5.59794,-0.1487031
8,gamma,celseq,-5.5825677,0.10161901
9,gamma,celseq,-5.6839113,0.51140773
10,gamma,celseq,-5.708503,0.33970422
11,gamma,celseq,-5.7699265,0.2038354
12,gamma,celseq,-5.7413373,0.38129967
13,gamma,celseq,-5.546448,-0.00023068395
14,gamma,celseq,-6.1251574,-0.12222866
15,gamma,celseq,-5.961232,-0.030619206
16,gamma,celseq,-5.523751,0.032679208
17,gamma,celseq,-5.5167694,0.34935242
18,gamma,fluidigmc1,-5.317791,0.13862342
19,gamma,fluidigmc1,-5.823773,-0.09134871
20,gamma,fluidigmc1,-5.3128877,0.014857614
21,gamma,fluidigmc1,-5.584493,0.1234528
22,gamma,fluidigmc1,-5.5469084,0.04210599
23,gamma,fluidigmc1,-5.59058,0.4827709
24,gamma,fluidigmc1,-5.204612,-0.20154741
25,gamma,fluidigmc1,-5.17714,-0.28146082
26,gamma,fluidigmc1,-5.3100796,-0.03560481
27,gamma,fluidigmc1,-5.197955,-0.018193066
28,gamma,fluidigmc1,-5.6254544,0.5562216
29,gamma,fluidigmc1,-5.760524,-0.031167945
30,gamma,fluidigmc1,-5.424487,-0.22083458
31,gamma,fluidigmc1,-5.2031393,-0.23857217
32,gamma,fluidigmc1,-5.197081,-0.2403948
33,gamma,fluidigmc1,-5.5273013,0.47769555
34,gamma,fluidigmc1,-5.741907,0.47970298
35,gamma,fluidigmc1,-5.608165,-0.28386736
36,acinar,celseq,10.730983,-3.6022694
37,acinar,celseq,11.903495,-2.5963364
38,acinar,celseq,11.617064,-2.0991504
39,acinar,celseq,12.234896,-1.404957
40,acinar,celseq,12.412266,-2.7380953
41,acinar,celseq,11.847815,-1.5945053
42,acinar,celseq,11.190315,-2.7392845
43,acinar,celseq,10.906979,-3.4440036
44,acinar,celseq,11.805923,-2.5208323
45,acinar,celseq,11.734762,-1.8188437
46,acinar,celseq,11.379486,-2.4951067
47,acinar,celseq,11.113759,-2.2621713
48,acinar,celseq,10.78825,-3.5664597
49,acinar,celseq,11.754635,-1.6544344
50,acinar,celseq,11.219213,-2.1832137
51,acinar,celseq,11.348846,-2.0827696
52,acinar,celseq,11.316241,-2.1018968
53,acinar,celseq,11.694202,-1.5940928
54,acinar,celseq,10.948104,-2.4646053
55,acinar,celseq,11.798216,-2.698506
56,acinar,celseq,11.489738,-2.6173298
57,acinar,celseq,11.622321,-1.7524663
58,acinar,celseq,11.453722,-1.8471667
59,acinar,celseq,11.71253,-2.1892874
60,acinar,celseq,11.446213,-1.7927265
61,acinar,celseq,12.545073,-3.0030167
62,acinar,celseq,11.051901,-2.4655883
63,acinar,celseq,12.37311,-2.3202467
64,acinar,celseq,12.305385,-2.4584036
65,acinar,celseq,12.608372,-2.8438706
66,acinar,celseq,12.629367,-2.5646706
67,acinar,celseq,12.606734,-2.7394788
68,acinar,celseq,12.37454,-2.7782102
69,acinar,celseq,12.433019,-1.9545035
70,acinar,celseq,12.725873,-2.9689214
