reference_index,celltype,tech,x,y
0,gamma,celseq,10.837066,19.626244
1,gamma,celseq,10.774104,19.792965
2,gamma,celseq,10.681342,19.660685
3,gamma,celseq,10.792591,19.753208
4,gamma,celseq,10.646157,19.525532
5,gamma,celseq,11.016735,19.806887
6,gamma,celseq,10.896671,19.815357
7,gamma,celseq,10.970056,19.807972
8,gamma,celseq,10.817177,19.813093
9,gamma,celseq,10.514442,19.568897
10,gamma,celseq,10.63191,19.492441
11,gamma,celseq,10.718538,19.64665
12,gamma,celseq,10.620761,19.622086
13,gamma,celseq,10.874105,19.850834
14,gamma,celseq,10.85237,19.541729
15,gamma,celseq,10.80335,19.636986
16,gamma,celseq,10.761831,19.78038
17,gamma,celseq,10.634042,19.749191
18,gamma,fluidigmc1,10.759529,19.916475
19,gamma,fluidigmc1,10.897775,19.771036
20,gamma,fluidigmc1,10.82191,19.947283
21,gamma,fluidigmc1,10.767383,19.781864
22,gamma,fluidigmc1,10.822671,19.85944
23,gamma,fluidigmc1,10.534031,19.76362
24,gamma,fluidigmc1,10.89442,19.967106
25,gamma,fluidigmc1,10.922111,20.027933
26,gamma,fluidigmc1,10.900865,19.86678
27,gamma,fluidigmc1,10.83385,19.996557
28,gamma,fluidigmc1,10.519079,19.734667
29,gamma,fluidigmc1,10.857061,19.728687
30,gamma,fluidigmc1,10.899892,19.917097
31,gamma,fluidigmc1,10.903603,19.933868
32,gamma,fluidigmc1,10.907586,19.929853
33,gamma,fluidigmc1,10.520398,19.809141
34,gamma,fluidigmc1,10.5399475,19.57328
35,gamma,fluidigmc1,10.905842,19.838001
36,acinar,celseq,5.5638256,1.2905141
37,acinar,celseq,6.3671565,0.4757386
38,acinar,celseq,6.5944943,0.45763087
39,acinar,celseq,7.0891104,0.07633161
40,acinar,celseq,6.116515,0.28587887
41,acinar,celseq,7.0574017,0.34893093
42,acinar,celseq,6.1779885,0.75603896
43,acinar,celseq,5.7544727,1.1774069
44,acinar,celseq,6.360481,0.47115204
45,acinar,celseq,6.948144,0.44163296
46,acinar,celseq,6.394561,0.86375207
47,acinar,celseq,6.5452332,1.1366285
48,acinar,celseq,5.620502,1.1882197
49,acinar,celseq,7.063018,0.42126268
50,acinar,celseq,6.636242,0.89982545
51,acinar,celseq,6.832796,0.7243531
52,acinar,celseq,6.7717934,0.80362594
53,acinar,celseq,7.062199,0.39129886
54,acinar,celseq,6.3789287,1.2033566
55,acinar,celseq,6.169352,0.48151442
56,acinar,celseq,6.20116,0.6869822
57,acinar,celseq,7.0905027,0.54770106
58,acinar,celseq,6.9660287,0.5763343
59,acinar,celseq,6.6723237,0.47639224
60,acinar,celseq,7.118703,0.6523274
61,acinar,celseq,5.951959,-0.000705296
62,acinar,celseq,6.3655477,1.069756
63,acinar,celseq,6.565203,0.12055007
64,acinar,celseq,6.2583556,0.23511094
65,acinar,celseq,6.0249867,0.07802988
66,acinar,celseq,6.317725,0.017080737
67,acinar,celseq,6.1384797,0.051588234
68,acinar,celseq,6.1477246,0.1747689
69,acinar,celseq,6.7658367,0.054183196
70,acinar,celseq,5.9716763,-0.06807186
71,acinar,celseq,6.695354,0.631508
72,acinar,celseq,6.3729386,0.24128023
73,acinar,celseq,6.476466,0.49424678
74,acinar,celseq,6.298335,0.27060097
75,acinar,celseq,6.926058,0.53287965
76,acinar,celseq,6.2906127,0.24673706
77,acinar,celseq,5.555436,0.10793572
78,acinar,celseq,6.35207,0.24823152
79,acinar,celseq,6.633807,0.31268826
80,acinar,celseq,5.5055914,1.3877475
81,acinar,celseq,6.099599,0.14803523
82,acinar,celseq,6.681732,0.050027773
83,acinar,celseq,6.9170156,0.18027283
84,acinar,celseq,6.3714294,0.02834988
85,acinar,celseq,6.532179,0.23891108
86,acinar,celseq,6.3894033,0.6804593
87,acinar,celseq,5.961295,0.9289223
88,acinar,celseq,5.95391,1.0437384
89,acinar,celseq,6.665986,0.30435932
90,acinar,celseq,6.171585,0.22250141
91,acinar,celseq,5.60888,1.0530311
92,acinar,celseq,5.9191346,0.07067851
93,acinar,celseq,5.492248,1.3361176
94,acinar,celseq,6.4209948,0.18191777
95,acinar,celseq,6.451713,0.17873934
96,acinar,celseq,6.3769903,0.13443276
97,acinar,celseq,5.478784,1.3273001
98,acinar,celseq,6.710255,0.3762564
99,acinar,celseq,6.18589,0.20040001
100,acinar,celseq,6.419565,0.07671333
101,acinar,celseq,5.6199274,0.54792553
102,acinar,celseq,6.7233706,0.57885915
103,acinar,celseq,6.4494066,0.10362393
104,acinar,celseq,6.5909123,0.79219055
105,acinar,celseq,5.467871,1.3199797
106,acinar,celseq,5.5581546,1.0825554
107,acinar,celseq,6.794527,0.20621048
108,acinar,celseq,6.5419664,0.30042532
109,acinar,celseq,5.9371924,0.5743863
110,acinar,celseq,6.6134167,0.24572471
111,acinar,celseq,6.2264853,1.2604965
112,acinar,celseq,6.258722,1.2135956
113,acinar,celseq,5.708807,1.2566204
114,acinar,celseq,6.113214,0.16227822
115,acinar,celseq,6.6218033,0.27020326
116,acinar,celseq,6.5183105,0.07424153
117,acinar,celseq,5.50321,1.3380322
118,acinar,celseq,6.714257,0.4360342
119,acinar,celseq,5.7377305,0.025990525
120,acinar,celseq,6.767502,0.29382378
121,acinar,celseq,6.6823134,0.72574097
122,acinar,celseq,6.563742,0.09466087
123,acinar,celseq,6.2291584,-0.00798305
124,acinar,celseq,6.2994957,0.19658811
125,acinar,celseq,6.4556093,0.22440484
126,acinar,celseq,5.494087,1.3739164
127,acinar,celseq,6.431537,0.020505283
128,acinar,celseq,6.796192,0.7372517
129,acinar,celseq,5.5166454,1.4016186
130,acinar,celseq,6.595316,0.61970186
131,acinar,celseq,5.491495,1.3965093
132,acinar,celseq,5.882617,0.05190649
133,acinar,celseq,5.4232163,0.37811682
134,acinar,celseq,6.134896,0.98493654
135,acinar,celseq,5.953112,0.687247
136,acinar,celseq,6.228002,-0.10305321
137,acinar,celseq,5.411327,0.66405296
138,acinar,celseq,5.680914,0.13081048
139,acinar,celseq,6.5936203,0.56334203
140,acinar,celseq,6.831916,0.65579885
141,acinar,celseq,5.7256813,0.7626175
142,acinar,celseq,5.1610546,0.92950565
143,acinar,celseq,10.712356,0.81658435
144,acinar,celseq,5.9878473,0.30388373
145,acinar,celseq,5.477905,1.3889402
146,acinar,celseq,5.4479933,1.1702329
147,acinar,celseq,5.139252,0.23528731
148,acinar,celseq,5.9104457,1.1358635
149,acinar,celseq,6.448805,0.67611295
150,acinar,celseq,5.550087,0.40626922
151,acinar,celseq,10.835158,0.8063121
152,acinar,celseq,6.231923,1.0364524
153,acinar,celseq,5.5708914,0.058926903
154,acinar,celseq,6.0467887,-0.19830403
155,acinar,celseq,6.5637856,0.6824734
156,acinar,celseq,5.6059475,0.3440189
157,acinar,celseq,5.89566,0.37498608
158,acinar,celseq,5.8333807,0.57467514
159,acinar,celseq,5.496663,1.036492
160,acinar,celseq,6.247529,-0.0072839437
161,acinar,celseq,6.456337,1.0247359
162,acinar,celseq,6.1767483,0.17459773
163,acinar,celseq,6.42382,0.74055934
164,acinar,celseq,6.5767198,0.94750893
165,acinar,celseq,6.018206,0.17471977
166,acinar,celseq,5.9204044,0.14155221
167,acinar,celseq,6.60115,0.92128474
168,acinar,celseq,6.3447776,1.3172436
169,acinar,celseq,6.3895097,1.1939906
170,acinar,celseq,6.133466,0.56434625
171,acinar,celseq,5.9261384,0.927251
172,acinar,celseq,6.0586524,0.49477732
173,acinar,celseq,6.5710993,1.2491963
174,acinar,celseq,6.3277073,0.5302252
175,acinar,celseq,6.621544,0.4039109
176,acinar,celseq,5.4720454,1.1999443
177,acinar,celseq,6.6644454,0.73314434
178,acinar,celseq,6.5882745,0.92741185
179,acinar,celseq,6.62773,0.9205812
180,acinar,celseq,6.211661,0.53136235
181,acinar,celseq,5.6261606,-0.17557761
182,acinar,celseq,6.05571,0.2385208
183,acinar,celseq,6.6160746,0.85956895
184,acinar,celseq,6.2747145,1.0821723
185,acinar,celseq,6.5664024,0.9793866
186,acinar,celseq,6.5593114,0.21532255
187,acinar,celseq,6.425917,1.1175865
188,acinar,celseq,6.6642303,1.1044116
189,acinar,celseq,6.689219,0.8301401
190,acinar,celseq,6.9479756,0.417524
191,acinar,celseq,6.572659,0.9926995
192,acinar,celseq,5.6487403,0.95726967
193,acinar,celseq,6.3857565,1.3136895
194,acinar,celseq,6.599618,0.94837934
195,acinar,celseq,6.157744,0.31743956
196,acinar,celseq,6.7572603,0.6583804
197,acinar,celseq,6.1717067,0.87988377
198,acinar,celseq,6.1339517,0.23021719
199,acinar,celseq,5.8736777,1.2461841
200,acinar,celseq,6.56527,1.0905447
201,acinar,celseq,6.8558807,0.59615767
202,acinar,celseq,6.5042105,0.9838434
203,acinar,celseq,6.6752777,0.8451404
204,acinar,celseq,6.571711,1.091504
205,acinar,celseq,6.5353966,1.0087744
206,acinar,celseq,6.661892,0.8670358
207,acinar,celseq,6.6522098,0.5887956
208,acinar,celseq,6.6427674,0.71763515
209,acinar,celseq,6.4136977,0.9761925
210,acinar,celseq,6.4746523,0.64717126
211,acinar,celseq,6.506473,1.0954679
212,acinar,celseq,6.615529,1.0906938
213,acinar,celseq,6.148066,0.7436403
214,acinar,celseq,6.3346047,0.9124419
215,acinar,celseq,6.6183786,0.6346439
216,acinar,celseq,6.2609873,1.3194375
217,acinar,celseq,6.076351,0.40495765
218,acinar,celseq,6.630906,0.8338654
219,acinar,celseq,6.6298513,1.2543947
220,acinar,celseq,6.4067807,1.2436154
221,acinar,celseq,6.554912,1.0523186
222,acinar,celseq,6.5834665,0.61011726
223,acinar,celseq,6.256646,1.2882342
224,acinar,celseq,6.6720634,1.300405
225,acinar,celseq,6.537835,1.083058
226,acinar,celseq,6.636343,1.0812162
227,acinar,celseq,6.608883,1.2528292
228,acinar,celseq,6.5332127,0.9249663
229,acinar,celseq,6.5566783,1.1745708
230,acinar,celseq,6.624447,0.8961539
231,acinar,celseq,6.0780783,0.10534214
232,acinar,celseq,6.1916614,0.16768365
233,acinar,celseq,5.985817,0.58310497
234,acinar,celseq,6.114767,0.5545578
235,acinar,celseq,6.7126274,0.95159
236,acinar,celseq,6.456875,0.36282745
237,acinar,celseq,6.010572,0.4224917
238,acinar,celseq,6.8332877,0.61170435
239,acinar,celseq,6.9667444,0.46926275
240,acinar,celseq,6.892934,0.518189
241,acinar,celseq,6.9527106,0.47323757
242,acinar,celseq,6.3861966,0.024318436
243,acinar,celseq,6.8330245,-0.03051669
244,acinar,celseq,5.5990953,0.530861
245,acinar,celseq,5.91103,1.08192
246,acinar,celseq,7.0051713,0.45637748
247,acinar,celseq,6.987132,0.42947298
248,acinar,celseq,6.9560204,0.47947958
249,acinar,celseq,6.4120493,-0.06295545
250,acinar,celseq,7.070633,0.3012146
251,acinar,celseq,6.7283435,0.53856176
252,acinar,celseq,12.602515,1.2181151
253,acinar,celseq,6.5922613,0.71234757
254,acinar,celseq,6.911438,0.61322063
255,acinar,celseq,7.004557,0.37918347
256,acinar,celseq,7.011153,0.6529546
257,acinar,celseq,6.367006,0.12866227
258,acinar,celseq,7.015768,0.5516853
259,acinar,celseq,5.8338733,1.232957
260,acinar,celseq,6.885925,0.35372925
261,acinar,celseq,6.873749,0.41422468
262,acinar,celseq,6.9343996,0.31105012
263,acinar,celseq,6.960265,0.35106906
264,acinar,fluidigmc1,6.8498263,0.66094303
265,acinar,fluidigmc1,6.224577,0.15525801
266,acinar,fluidigmc1,6.6866436,0.69510365
267,acinar,fluidigmc1,6.920626,0.68286234
268,acinar,fluidigmc1,6.411649,1.2587825
269,acinar,fluidigmc1,6.2687445,0.40142146
270,acinar,fluidigmc1,5.8126283,1.2809159
271,acinar,fluidigmc1,6.594606,1.1208372
272,acinar,fluidigmc1,7.0636544,0.4772532
273,acinar,fluidigmc1,5.847677,0.35321134
274,acinar,fluidigmc1,6.1999693,0.48832253
275,acinar,fluidigmc1,5.5951414,0.7739562
276,acinar,fluidigmc1,-1.0016288,6.2209873
277,acinar,fluidigmc1,5.6030593,-0.48965448
278,acinar,fluidigmc1,5.8604803,0.36328802
279,acinar,fluidigmc1,6.340236,0.18418828
280,acinar,fluidigmc1,5.5121903,-0.20252085
281,acinar,fluidigmc1,5.51508,-0.35967976
282,acinar,fluidigmc1,5.98935,0.21625425
283,acinar,fluidigmc1,5.6518707,0.7648389
284,acinar,fluidigmc1,5.5855613,0.89204526
285,alpha,celseq,15.738583,6.382182
286,alpha,celseq,16.33081,6.874116
287,alpha,celseq,6.4472895,0.46851164
288,alpha,celseq,11.381903,0.31453055
289,alpha,celseq,16.08767,6.7385826
290,alpha,celseq,15.305789,6.5299144
291,alpha,celseq,16.422602,7.4102154
292,alpha,celseq,16.222958,6.3937373
293,alpha,celseq,11.498385,-0.08432317
294,alpha,celseq,16.139578,6.968947
295,alpha,celseq,6.4245334,0.4756664
296,alpha,celseq,16.077326,7.3042636
297,alpha,celseq,16.370125,7.7983065
298,alpha,celseq,16.24905,7.7056313
299,alpha,celseq,-1.2893174,5.7930694
300,alpha,celseq,16.24208,7.6606283
301,alpha,celseq,15.479292,7.147976
302,alpha,celseq,15.856489,7.3879757
303,alpha,celseq,15.282618,6.99403
304,alpha,celseq,15.972065,7.1077576
305,alpha,celseq,14.507838,6.819033
306,alpha,celseq,14.7595215,7.677904
307,alpha,celseq,15.589935,6.785563
308,alpha,celseq,15.550839,6.8287406
309,alpha,celseq,15.278423,6.6417
310,alpha,celseq,14.8789215,6.9292045
311,alpha,celseq,15.034431,8.525011
312,alpha,celseq,15.357297,8.556792
313,alpha,celseq,15.573651,7.100074
314,alpha,celseq,15.017489,8.550579
315,alpha,celseq,15.343802,6.6337833
316,alpha,celseq,14.641281,6.7433715
317,alpha,celseq,15.627868,7.0888796
318,alpha,celseq,16.265068,7.4226117
319,alpha,celseq,15.553825,7.3559546
320,alpha,celseq,15.550171,7.1839137
321,alpha,celseq,15.70902,8.182131
322,alpha,celseq,16.072668,7.9242325
323,alpha,celseq,15.125256,6.4403644
324,alpha,celseq,15.314159,8.636648
325,alpha,celseq,15.641619,7.1907244
326,alpha,celseq,15.00789,8.309819
327,alpha,celseq,16.243097,7.6815357
328,alpha,celseq,14.892859,7.500094
329,alpha,celseq,14.21931,8.363126
330,alpha,celseq,15.174791,7.1884456
331,alpha,celseq,15.475407,7.168665
332,alpha,celseq,14.782764,6.8710947
333,alpha,celseq,15.453928,6.9717965
334,alpha,celseq,15.854284,8.05735
335,alpha,celseq,14.136706,8.480632
336,alpha,celseq,16.243052,7.252522
337,alpha,celseq,14.683877,6.9010115
338,alpha,celseq,15.754471,7.8965073
339,alpha,celseq,15.721401,7.921672
340,alpha,celseq,14.689578,7.0598526
341,alpha,celseq,15.108496,7.3224382
342,alpha,celseq,15.710142,7.153588
343,alpha,celseq,16.12161,8.458423
344,alpha,celseq,15.682184,7.444756
345,alpha,celseq,15.636932,7.2516494
346,alpha,celseq,15.718615,6.869597
347,alpha,celseq,16.144316,7.8926067
348,alpha,celseq,15.983632,8.089655
349,alpha,celseq,15.461846,6.899064
350,alpha,celseq,15.818686,6.9036794
351,alpha,celseq,15.527376,7.2457676
352,alpha,celseq,15.646467,6.944436
353,alpha,celseq,15.895325,7.3927646
354,alpha,celseq,14.817412,6.6296806
355,alpha,celseq,15.937902,7.3905215
356,alpha,celseq,15.939006,7.084015
357,alpha,celseq,15.677353,6.4552135
358,alpha,celseq,15.745383,6.8168797
359,alpha,celseq,14.620715,8.131501
360,alpha,celseq,15.575541,8.016374
361,alpha,celseq,15.104096,6.7265806
362,alpha,celseq,14.537572,7.8293753
363,alpha,celseq,15.629453,6.935606
364,alpha,celseq,15.505011,6.7914405
365,alpha,celseq,15.908611,7.61935
366,alpha,celseq,15.402539,7.6645203
367,alpha,celseq,16.002556,6.5772066
368,alpha,celseq,15.634586,6.683223
369,alpha,celseq,15.512579,7.344918
370,alpha,celseq,15.414582,6.506838
371,alpha,celseq,15.448826,6.8772063
372,alpha,celseq,15.573826,6.824673
373,alpha,celseq,15.5205,6.573622
374,alpha,celseq,15.156153,6.4710054
375,alpha,celseq,16.125202,8.086227
376,alpha,celseq,15.224827,6.712491
377,alpha,celseq,15.613665,8.542276
378,alpha,celseq,16.087978,7.9585414
379,alpha,celseq,15.397726,6.896653
380,alpha,celseq,16.157587,7.881673
381,alpha,celseq,15.552287,6.7163777
382,alpha,celseq,16.110695,7.978803
383,alpha,celseq,15.487179,6.7455873
384,alpha,celseq,15.475414,6.374502
385,alpha,celseq,15.560484,6.919218
386,alpha,celseq,16.167425,6.964991
387,alpha,celseq,16.138136,7.865654
388,alpha,celseq,16.240913,8.258773
389,alpha,celseq,16.31511,7.113133
390,alpha,celseq,15.742653,8.510251
391,alpha,celseq,14.739601,6.934103
392,alpha,celseq,15.6107235,7.047984
393,alpha,celseq,15.388971,6.64244
394,alpha,celseq,8.576587,1.3939391
395,alpha,celseq,15.867589,7.447238
396,alpha,celseq,16.119503,6.3034883
397,alpha,celseq,15.947954,6.4897976
398,alpha,celseq,16.00958,6.304931
399,alpha,celseq,16.042315,6.425776
400,alpha,celseq,10.423114,19.568977
401,alpha,celseq,16.00058,6.3408756
402,alpha,celseq,16.0646,6.549717
403,alpha,celseq,15.729906,7.055836
404,alpha,celseq,15.311835,8.503441
405,alpha,celseq,8.491422,1.3311121
406,alpha,celseq,16.096876,6.258958
407,alpha,celseq,16.072527,6.267919
408,alpha,celseq,15.6465845,6.8435454
409,alpha,celseq,15.99925,6.660209
410,alpha,celseq,15.631586,7.002852
411,alpha,celseq,16.106796,7.2679844
412,alpha,celseq,16.044863,7.5487647
413,alpha,celseq,15.215855,6.6640835
414,alpha,celseq,15.958171,6.5431156
415,alpha,celseq,16.045776,6.56249
416,alpha,celseq,15.534928,7.386944
417,alpha,celseq,16.01981,6.2265944
418,alpha,celseq,12.972398,-0.08835984
419,alpha,celseq,15.866771,6.404973
420,alpha,celseq,16.094534,6.9149694
421,alpha,celseq,15.859436,6.514236
422,alpha,celseq,15.933243,6.802722
423,alpha,celseq,15.060227,8.197339
424,alpha,celseq,16.180206,6.4896374
425,alpha,celseq,16.304552,6.972442
426,alpha,celseq,15.861873,6.972971
427,alpha,celseq,15.956415,6.8862166
428,alpha,celseq,16.070782,6.9613924
429,alpha,celseq,15.90154,7.131143
430,alpha,celseq,-1.3067749,5.944556
431,alpha,celseq,16.167873,6.9192414
432,alpha,celseq,15.9105215,7.1145496
433,alpha,celseq,13.869739,8.859446
434,alpha,celseq,16.101643,7.4017806
435,alpha,celseq,15.764037,6.75299
436,alpha,celseq,15.834491,6.6808357
437,alpha,celseq,15.920754,7.353688
438,alpha,celseq,15.875451,7.835378
439,alpha,celseq,16.186207,6.3499045
440,alpha,celseq,15.591119,7.1161942
441,alpha,celseq,16.025312,7.2087216
