index,celltype,tech
0,gamma,celseq2
1,gamma,celseq2
2,gamma,celseq2
3,gamma,celseq2
4,gamma,celseq2
5,gamma,celseq2
6,gamma,celseq2
7,gamma,celseq2
8,gamma,celseq2
9,gamma,celseq2
10,gamma,celseq2
11,gamma,celseq2
12,gamma,celseq2
13,gamma,celseq2
14,gamma,celseq2
15,gamma,celseq2
16,gamma,celseq2
17,gamma,celseq2
18,gamma,celseq2
19,gamma,celseq2
20,gamma,celseq2
21,gamma,celseq2
22,gamma,celseq2
23,gamma,celseq2
24,gamma,celseq2
25,gamma,celseq2
26,gamma,celseq2
27,gamma,celseq2
28,gamma,celseq2
29,gamma,celseq2
30,gamma,celseq2
31,gamma,celseq2
32,gamma,celseq2
33,gamma,celseq2
34,gamma,celseq2
35,gamma,celseq2
36,gamma,celseq2
37,gamma,celseq2
38,gamma,celseq2
39,gamma,celseq2
40,gamma,celseq2
41,gamma,celseq2
42,gamma,celseq2
43,gamma,celseq2
44,gamma,celseq2
45,gamma,celseq2
46,gamma,celseq2
47,gamma,celseq2
48,gamma,celseq2
49,gamma,celseq2
50,gamma,celseq2
51,gamma,celseq2
52,gamma,celseq2
53,gamma,celseq2
54,gamma,celseq2
55,gamma,celseq2
56,gamma,celseq2
57,gamma,celseq2
58,gamma,celseq2
59,gamma,celseq2
60,gamma,celseq2
61,gamma,celseq2
62,gamma,celseq2
63,gamma,celseq2
64,gamma,celseq2
65,gamma,celseq2
66,gamma,celseq2
67,gamma,celseq2
68,gamma,celseq2
69,gamma,celseq2
70,gamma,celseq2
71,gamma,celseq2
72,gamma,celseq2
73,gamma,celseq2
74,gamma,celseq2
75,gamma,celseq2
76,gamma,celseq2
77,gamma,celseq2
78,gamma,celseq2
79,gamma,celseq2
80,gamma,celseq2
81,gamma,celseq2
82,gamma,celseq2
83,gamma,celseq2
84,gamma,celseq2
85,gamma,celseq2
86,gamma,celseq2
87,gamma,celseq2
88,gamma,celseq2
89,gamma,celseq2
90,gamma,celseq2
91,gamma,celseq2
92,gamma,celseq2
93,gamma,celseq2
94,gamma,celseq2
95,gamma,celseq2
96,gamma,celseq2
97,gamma,celseq2
98,gamma,celseq2
99,gamma,celseq2
100,gamma,celseq2
101,gamma,celseq2
102,gamma,celseq2
103,gamma,celseq2
104,gamma,celseq2
105,gamma,celseq2
106,gamma,celseq2
107,gamma,celseq2
108,gamma,celseq2
109,gamma,celseq2
110,gamma,smartseq2
111,gamma,smartseq2
112,gamma,smartseq2
113,gamma,smartseq2
114,gamma,smartseq2
115,gamma,smartseq2
116,gamma,smartseq2
117,gamma,smartseq2
118,gamma,smartseq2
119,gamma,smartseq2
120,gamma,smartseq2
121,gamma,smartseq2
122,gamma,smartseq2
123,gamma,smartseq2
124,gamma,smartseq2
125,gamma,smartseq2
126,gamma,smartseq2
127,gamma,smartseq2
128,gamma,smartseq2
129,gamma,smartseq2
130,gamma,smartseq2
131,gamma,smartseq2
132,gamma,smartseq2
133,gamma,smartseq2
134,gamma,smartseq2
135,gamma,smartseq2
136,gamma,smartseq2
137,gamma,smartseq2
138,gamma,smartseq2
139,gamma,smartseq2
140,gamma,smartseq2
141,gamma,smartseq2
142,gamma,smartseq2
143,gamma,smartseq2
144,gamma,smartseq2
145,gamma,smartseq2
146,gamma,smartseq2
147,gamma,smartseq2
148,gamma,smartseq2
149,gamma,smartseq2
150,gamma,smartseq2
151,gamma,smartseq2
152,gamma,smartseq2
153,gamma,smartseq2
154,gamma,smartseq2
155,gamma,smartseq2
156,gamma,smartseq2
157,gamma,smartseq2
158,gamma,smartseq2
159,gamma,smartseq2
160,gamma,smartseq2
161,gamma,smartseq2
162,gamma,smartseq2
163,gamma,smartseq2
164,gamma,smartseq2
165,gamma,smartseq2
166,gamma,smartseq2
167,gamma,smartseq2
168,gamma,smartseq2
169,gamma,smartseq2
170,gamma,smartseq2
171,gamma,smartseq2
172,gamma,smartseq2
173,gamma,smartseq2
174,gamma,smartseq2
175,gamma,smartseq2
176,gamma,smartseq2
177,gamma,smartseq2
178,gamma,smartseq2
179,gamma,smartseq2
180,gamma,smartseq2
181,gamma,smartseq2
182,gamma,smartseq2
183,gamma,smartseq2
184,gamma,smartseq2
185,gamma,smartseq2
186,gamma,smartseq2
187,gamma,smartseq2
188,gamma,smartseq2
189,gamma,smartseq2
190,gamma,smartseq2
191,gamma,smartseq2
192,gamma,smartseq2
193,gamma,smartseq2
194,gamma,smartseq2
195,gamma,smartseq2
196,gamma,smartseq2
197,gamma,smartseq2
198,gamma,smartseq2
199,gamma,smartseq2
200,gamma,smartseq2
201,gamma,smartseq2
202,gamma,smartseq2
203,gamma,smartseq2
204,gamma,smartseq2
205,gamma,smartseq2
206,gamma,smartseq2
207,gamma,smartseq2
208,gamma,smartseq2
209,gamma,smartseq2
210,gamma,smartseq2
211,gamma,smartseq2
212,gamma,smartseq2
213,gamma,smartseq2
214,gamma,smartseq2
215,gamma,smartseq2
216,gamma,smartseq2
217,gamma,smartseq2
218,gamma,smartseq2
219,gamma,smartseq2
220,gamma,smartseq2
221,gamma,smartseq2
222,gamma,smartseq2
223,gamma,smartseq2
224,gamma,smartseq2
225,gamma,smartseq2
226,gamma,smartseq2
227,gamma,smartseq2
228,gamma,smartseq2
229,gamma,smartseq2
230,gamma,smartseq2
231,gamma,smartseq2
232,gamma,smartseq2
233,gamma,smartseq2
234,gamma,smartseq2
235,gamma,smartseq2
236,gamma,smartseq2
237,gamma,smartseq2
238,gamma,smartseq2
239,gamma,smartseq2
240,gamma,smartseq2
241,gamma,smartseq2
242,gamma,smartseq2
243,gamma,smartseq2
244,gamma,smartseq2
245,gamma,smartseq2
246,gamma,smartseq2
247,gamma,smartseq2
248,gamma,smartseq2
249,gamma,smartseq2
250,gamma,smartseq2
251,gamma,smartseq2
252,gamma,smartseq2
253,gamma,smartseq2
254,gamma,smartseq2
255,gamma,smartseq2
256,gamma,smartseq2
257,gamma,smartseq2
258,gamma,smartseq2
259,gamma,smartseq2
260,gamma,smartseq2
261,gamma,smartseq2
262,gamma,smartseq2
263,gamma,smartseq2
264,gamma,smartseq2
265,gamma,smartseq2
266,gamma,smartseq2
267,gamma,smartseq2
268,gamma,smartseq2
269,gamma,smartseq2
270,gamma,smartseq2
271,gamma,smartseq2
272,gamma,smartseq2
273,gamma,smartseq2
274,gamma,smartseq2
275,gamma,smartseq2
276,gamma,smartseq2
277,gamma,smartseq2
278,gamma,smartseq2
279,gamma,smartseq2
280,gamma,smartseq2
281,gamma,smartseq2
282,gamma,smartseq2
283,gamma,smartseq2
284,gamma,smartseq2
285,gamma,smartseq2
286,gamma,smartseq2
287,gamma,smartseq2
288,gamma,smartseq2
289,gamma,smartseq2
290,gamma,smartseq2
291,gamma,smartseq2
292,gamma,smartseq2
293,gamma,smartseq2
294,gamma,smartseq2
295,gamma,smartseq2
296,gamma,smartseq2
297,gamma,smartseq2
298,gamma,smartseq2
299,gamma,smartseq2
300,gamma,smartseq2
301,gamma,smartseq2
302,gamma,smartseq2
303,gamma,smartseq2
304,gamma,smartseq2
305,gamma,smartseq2
306,gamma,smartseq2
307,gamma,smartseq2
308,gamma,smartseq2
309,gamma,smartseq2
310,gamma,smartseq2
311,gamma,smartseq2
312,gamma,smartseq2
313,gamma,smartseq2
314,gamma,smartseq2
315,gamma,smartseq2
316,gamma,smartseq2
317,gamma,smartseq2
318,gamma,smartseq2
319,gamma,smartseq2
320,gamma,smartseq2
321,gamma,smartseq2
322,gamma,smartseq2
323,acinar,celseq2
324,acinar,celseq2
325,acinar,celseq2
326,acinar,celseq2
327,acinar,celseq2
328,acinar,celseq2
329,acinar,celseq2
330,acinar,celseq2
331,acinar,celseq2
332,acinar,celseq2
333,acinar,celseq2
334,acinar,celseq2
335,acinar,celseq2
336,acinar,celseq2
337,acinar,celseq2
338,acinar,celseq2
339,acinar,celseq2
340,acinar,celseq2
341,acinar,celseq2
342,acinar,celseq2
343,acinar,celseq2
344,acinar,celseq2
345,acinar,celseq2
346,acinar,celseq2
347,acinar,celseq2
348,acinar,celseq2
349,acinar,celseq2
350,acinar,celseq2
351,acinar,celseq2
352,acinar,celseq2
353,acinar,celseq2
354,acinar,celseq2
355,acinar,celseq2
356,acinar,celseq2
357,acinar,celseq2
358,acinar,celseq2
359,acinar,celseq2
360,acinar,celseq2
361,acinar,celseq2
362,acinar,celseq2
363,acinar,celseq2
364,acinar,celseq2
365,acinar,celseq2
366,acinar,celseq2
367,acinar,celseq2
368,acinar,celseq2
369,acinar,celseq2
370,acinar,celseq2
371,acinar,celseq2
372,acinar,celseq2
373,acinar,celseq2
374,acinar,celseq2
375,acinar,celseq2
376,acinar,celseq2
377,acinar,celseq2
378,acinar,celseq2
379,acinar,celseq2
380,acinar,celseq2
381,acinar,celseq2
382,acinar,celseq2
383,acinar,celseq2
384,acinar,celseq2
385,acinar,celseq2
386,acinar,celseq2
387,acinar,celseq2
388,acinar,celseq2
389,acinar,celseq2
390,acinar,celseq2
391,acinar,celseq2
392,acinar,celseq2
393,acinar,celseq2
394,acinar,celseq2
395,acinar,celseq2
396,acinar,celseq2
397,acinar,celseq2
398,acinar,celseq2
399,acinar,celseq2
400,acinar,celseq2
401,acinar,celseq2
402,acinar,celseq2
403,acinar,celseq2
404,acinar,celseq2
405,acinar,celseq2
406,acinar,celseq2
407,acinar,celseq2
408,acinar,celseq2
409,acinar,celseq2
410,acinar,celseq2
411,acinar,celseq2
412,acinar,celseq2
413,acinar,celseq2
414,acinar,celseq2
415,acinar,celseq2
416,acinar,celseq2
417,acinar,celseq2
418,acinar,celseq2
419,acinar,celseq2
420,acinar,celseq2
421,acinar,celseq2
422,acinar,celseq2
423,acinar,celseq2
424,acinar,celseq2
425,acinar,celseq2
426,acinar,celseq2
427,acinar,celseq2
428,acinar,celseq2
429,acinar,celseq2
430,acinar,celseq2
431,acinar,celseq2
432,acinar,celseq2
433,acinar,celseq2
434,acinar,celseq2
435,acinar,celseq2
436,acinar,celseq2
437,acinar,celseq2
438,acinar,celseq2
439,acinar,celseq2
440,acinar,celseq2
441,acinar,celseq2
442,acinar,celseq2
443,acinar,celseq2
444,acinar,celseq2
445,acinar,celseq2
446,acinar,celseq2
447,acinar,celseq2
448,acinar,celseq2
449,acinar,celseq2
450,acinar,celseq2
451,acinar,celseq2
452,acinar,celseq2
453,acinar,celseq2
454,acinar,celseq2
455,acinar,celseq2
456,acinar,celseq2
457,acinar,celseq2
458,acinar,celseq2
459,acinar,celseq2
460,acinar,celseq2
461,acinar,celseq2
462,acinar,celseq2
463,acinar,celseq2
464,acinar,celseq2
465,acinar,celseq2
466,acinar,celseq2
467,acinar,celseq2
468,acinar,celseq2
469,acinar,celseq2
470,acinar,celseq2
471,acinar,celseq2
472,acinar,celseq2
473,acinar,celseq2
474,acinar,celseq2
475,acinar,celseq2
476,acinar,celseq2
477,acinar,celseq2
478,acinar,celseq2
479,acinar,celseq2
480,acinar,celseq2
481,acinar,celseq2
482,acinar,celseq2
483,acinar,celseq2
484,acinar,celseq2
485,acinar,celseq2
486,acinar,celseq2
487,acinar,celseq2
488,acinar,celseq2
489,acinar,celseq2
490,acinar,celseq2
491,acinar,celseq2
492,acinar,celseq2
493,acinar,celseq2
494,acinar,celseq2
495,acinar,celseq2
496,acinar,celseq2
497,acinar,celseq2
498,acinar,celseq2
499,acinar,celseq2
500,acinar,celseq2
501,acinar,celseq2
502,acinar,celseq2
503,acinar,celseq2
504,acinar,celseq2
505,acinar,celseq2
506,acinar,celseq2
507,acinar,celseq2
508,acinar,celseq2
509,acinar,celseq2
510,acinar,celseq2
511,acinar,celseq2
512,acinar,celseq2
513,acinar,celseq2
514,acinar,celseq2
515,acinar,celseq2
516,acinar,celseq2
517,acinar,celseq2
518,acinar,celseq2
519,acinar,celseq2
520,acinar,celseq2
521,acinar,celseq2
522,acinar,celseq2
523,acinar,celseq2
524,acinar,celseq2
525,acinar,celseq2
526,acinar,celseq2
527,acinar,celseq2
528,acinar,celseq2
529,acinar,celseq2
530,acinar,celseq2
531,acinar,celseq2
532,acinar,celseq2
533,acinar,celseq2
534,acinar,celseq2
535,acinar,celseq2
536,acinar,celseq2
537,acinar,celseq2
538,acinar,celseq2
539,acinar,celseq2
540,acinar,celseq2
541,acinar,celseq2
542,acinar,celseq2
543,acinar,celseq2
544,acinar,celseq2
545,acinar,celseq2
546,acinar,celseq2
547,acinar,celseq2
548,acinar,celseq2
549,acinar,celseq2
550,acinar,celseq2
551,acinar,celseq2
552,acinar,celseq2
553,acinar,celseq2
554,acinar,celseq2
555,acinar,celseq2
556,acinar,celseq2
557,acinar,celseq2
558,acinar,celseq2
559,acinar,celseq2
560,acinar,celseq2
561,acinar,celseq2
562,acinar,celseq2
563,acinar,celseq2
564,acinar,celseq2
565,acinar,celseq2
566,acinar,celseq2
567,acinar,celseq2
568,acinar,celseq2
569,acinar,celseq2
570,acinar,celseq2
571,acinar,celseq2
572,acinar,celseq2
573,acinar,celseq2
574,acinar,celseq2
575,acinar,celseq2
576,acinar,celseq2
577,acinar,celseq2
578,acinar,celseq2
579,acinar,celseq2
580,acinar,celseq2
581,acinar,celseq2
582,acinar,celseq2
583,acinar,celseq2
584,acinar,celseq2
585,acinar,celseq2
586,acinar,celseq2
587,acinar,celseq2
588,acinar,celseq2
589,acinar,celseq2
590,acinar,celseq2
591,acinar,celseq2
592,acinar,celseq2
593,acinar,celseq2
594,acinar,celseq2
595,acinar,celseq2
596,acinar,celseq2
597,acinar,smartseq2
598,acinar,smartseq2
599,acinar,smartseq2
600,acinar,smartseq2
601,acinar,smartseq2
602,acinar,smartseq2
603,acinar,smartseq2
604,acinar,smartseq2
605,acinar,smartseq2
606,acinar,smartseq2
607,acinar,smartseq2
608,acinar,smartseq2
609,acinar,smartseq2
610,acinar,smartseq2
611,acinar,smartseq2
612,acinar,smartseq2
613,acinar,smartseq2
614,acinar,smartseq2
615,acinar,smartseq2
616,acinar,smartseq2
617,acinar,smartseq2
618,acinar,smartseq2
619,acinar,smartseq2
620,acinar,smartseq2
621,acinar,smartseq2
622,acinar,smartseq2
623,acinar,smartseq2
624,acinar,smartseq2
625,acinar,smartseq2
626,acinar,smartseq2
627,acinar,smartseq2
628,acinar,smartseq2
629,acinar,smartseq2
630,acinar,smartseq2
631,acinar,smartseq2
632,acinar,smartseq2
633,acinar,smartseq2
634,acinar,smartseq2
635,acinar,smartseq2
636,acinar,smartseq2
637,acinar,smartseq2
638,acinar,smartseq2
639,acinar,smartseq2
640,acinar,smartseq2
641,acinar,smartseq2
642,acinar,smartseq2
643,acinar,smartseq2
644,acinar,smartseq2
645,acinar,smartseq2
646,acinar,smartseq2
647,acinar,smartseq2
648,acinar,smartseq2
649,acinar,smartseq2
650,acinar,smartseq2
651,acinar,smartseq2
652,acinar,smartseq2
653,acinar,smartseq2
654,acinar,smartseq2
655,acinar,smartseq2
656,acinar,smartseq2
657,acinar,smartseq2
658,acinar,smartseq2
659,acinar,smartseq2
660,acinar,smartseq2
661,acinar,smartseq2
662,acinar,smartseq2
663,acinar,smartseq2
664,acinar,smartseq2
665,acinar,smartseq2
666,acinar,smartseq2
667,acinar,smartseq2
668,acinar,smartseq2
669,acinar,smartseq2
670,acinar,smartseq2
671,acinar,smartseq2
672,acinar,smartseq2
673,acinar,smartseq2
674,acinar,smartseq2
675,acinar,smartseq2
676,acinar,smartseq2
677,acinar,smartseq2
678,acinar,smartseq2
679,acinar,smartseq2
680,acinar,smartseq2
681,acinar,smartseq2
682,acinar,smartseq2
683,acinar,smartseq2
684,acinar,smartseq2
685,acinar,smartseq2
686,acinar,smartseq2
687,acinar,smartseq2
688,acinar,smartseq2
689,acinar,smartseq2
690,acinar,smartseq2
691,acinar,smartseq2
692,acinar,smartseq2
693,acinar,smartseq2
694,acinar,smartseq2
695,acinar,smartseq2
696,acinar,smartseq2
697,acinar,smartseq2
698,acinar,smartseq2
699,acinar,smartseq2
700,acinar,smartseq2
701,acinar,smartseq2
702,acinar,smartseq2
703,acinar,smartseq2
704,acinar,smartseq2
705,acinar,smartseq2
706,acinar,smartseq2
707,acinar,smartseq2
708,acinar,smartseq2
709,acinar,smartseq2
710,acinar,smartseq2
711,acinar,smartseq2
712,acinar,smartseq2
