method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
ours_full,0,gamma,0.0,0.1,0.13333333333333333,0.16666666666666666,0.15031240966768664
ours_full,1,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.13773621360975472
ours_full,2,gamma,0.0,0.0,0.0,0.06666666666666667,0.06012868168021762
ours_full,3,gamma,0.0,0.1,0.26666666666666666,0.13333333333333333,0.12567654399958236
ours_full,4,gamma,0.0,0.1,0.13333333333333333,0.16666666666666666,0.16737851854144098
ours_full,5,gamma,0.2,0.2,0.26666666666666666,0.16666666666666666,0.2390722314999743
ours_full,6,gamma,0.4,0.2,0.13333333333333333,0.2,0.19150930561180968
ours_full,7,gamma,0.0,0.1,0.13333333333333333,0.23333333333333334,0.30270820357436395
ours_full,8,gamma,0.0,0.1,0.2,0.23333333333333334,0.22330818980032532
ours_full,9,gamma,0.0,0.0,0.06666666666666667,0.1,0.08231814161132622
ours_full,10,gamma,0.0,0.1,0.06666666666666667,0.1,0.10367324606802313
ours_full,11,gamma,0.2,0.2,0.26666666666666666,0.23333333333333334,0.26656944269893773
ours_full,12,gamma,0.0,0.1,0.2,0.13333333333333333,0.20575571902703402
ours_full,13,gamma,0.0,0.0,0.0,0.06666666666666667,0.050510368460461044
ours_full,14,gamma,0.0,0.2,0.13333333333333333,0.1,0.09773284205123127
ours_full,15,gamma,0.0,0.1,0.13333333333333333,0.2,0.20841988774401116
ours_full,16,gamma,0.2,0.1,0.06666666666666667,0.16666666666666666,0.20228501346250743
ours_full,17,gamma,0.0,0.0,0.2,0.13333333333333333,0.13559478847997414
ours_full,18,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.14116718793749908
ours_full,19,gamma,0.0,0.2,0.13333333333333333,0.16666666666666666,0.2396423637943034
ours_full,20,gamma,0.0,0.1,0.06666666666666667,0.1,0.1159520825100576
ours_full,21,gamma,0.0,0.0,0.13333333333333333,0.26666666666666666,0.22151873616022996
ours_full,22,gamma,0.0,0.0,0.13333333333333333,0.06666666666666667,0.05838522499752563
ours_full,23,gamma,0.0,0.0,0.06666666666666667,0.23333333333333334,0.18187435343615774
ours_full,24,gamma,0.0,0.0,0.13333333333333333,0.16666666666666666,0.14262955605889088
ours_full,25,gamma,0.0,0.0,0.0,0.06666666666666667,0.048476814720604396
ours_full,26,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.09943950450562275
ours_full,27,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.10502229265874125
ours_full,28,gamma,0.0,0.0,0.0,0.1,0.07391116590187195
ours_full,29,gamma,0.0,0.1,0.2,0.26666666666666666,0.28800322816043034
ours_full,30,gamma,0.0,0.0,0.06666666666666667,0.2,0.15931545076421738
ours_full,31,gamma,0.0,0.0,0.0,0.2,0.14285011323661562
ours_full,32,gamma,0.0,0.1,0.13333333333333333,0.36666666666666664,0.3296910447653897
ours_full,33,gamma,0.0,0.1,0.13333333333333333,0.2,0.24494771956348457
ours_full,34,gamma,0.0,0.1,0.06666666666666667,0.2,0.1994588719218947
ours_full,35,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13274594579638116
ours_full,36,gamma,0.0,0.2,0.2,0.23333333333333334,0.2693156957031889
ours_full,37,gamma,0.0,0.0,0.0,0.2,0.18543124069296724
ours_full,38,gamma,0.0,0.0,0.06666666666666667,0.23333333333333334,0.22380123431495139
ours_full,39,gamma,0.2,0.1,0.13333333333333333,0.2,0.19436944782473897
ours_full,40,gamma,0.0,0.1,0.13333333333333333,0.1,0.09035725473557468
ours_full,41,gamma,0.2,0.1,0.06666666666666667,0.13333333333333333,0.22856414259413554
ours_full,42,gamma,0.4,0.3,0.3333333333333333,0.3,0.3145808136268135
ours_full,43,gamma,0.0,0.0,0.13333333333333333,0.13333333333333333,0.10803792872152712
ours_full,44,gamma,0.2,0.1,0.2,0.13333333333333333,0.14593542459922415
ours_full,45,gamma,0.2,0.1,0.2,0.26666666666666666,0.2367330014553386
ours_full,46,gamma,0.2,0.1,0.13333333333333333,0.2,0.23345904772677117
ours_full,47,gamma,0.0,0.1,0.06666666666666667,0.06666666666666667,0.059605365536009036
ours_full,48,gamma,0.0,0.0,0.0,0.16666666666666666,0.13624637792089464
ours_full,49,gamma,0.0,0.0,0.26666666666666666,0.23333333333333334,0.2345434408758973
ours_full,50,gamma,0.2,0.2,0.2,0.13333333333333333,0.12487167010947346
ours_full,51,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.13670384917086512
ours_full,52,gamma,0.2,0.2,0.2,0.2,0.21145895168529608
ours_full,53,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.14638949732562664
ours_full,54,gamma,0.0,0.2,0.13333333333333333,0.16666666666666666,0.1525169962054791
ours_full,55,gamma,0.0,0.0,0.0,0.2,0.19280688339717386
ours_full,56,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.17427614489849724
ours_full,57,gamma,0.4,0.3,0.3333333333333333,0.36666666666666664,0.3741426972472219
ours_full,58,gamma,0.0,0.0,0.0,0.1,0.07390323388776379
ours_full,59,gamma,0.0,0.1,0.06666666666666667,0.1,0.08617805048880862
ours_full,60,gamma,0.0,0.0,0.0,0.16666666666666666,0.13010221401907013
ours_full,61,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.1349244035399563
ours_full,62,gamma,0.2,0.2,0.2,0.16666666666666666,0.19806559094085335
ours_full,63,gamma,0.0,0.1,0.06666666666666667,0.1,0.09648249872942519
ours_full,64,gamma,0.0,0.1,0.2,0.2,0.1735755804244367
ours_full,65,gamma,0.0,0.1,0.13333333333333333,0.3,0.3126706959513043
ours_full,66,gamma,0.0,0.2,0.2,0.26666666666666666,0.255594606003886
ours_full,67,gamma,0.2,0.1,0.06666666666666667,0.06666666666666667,0.06925350572857145
ours_full,68,gamma,0.0,0.2,0.13333333333333333,0.2,0.25214712436542386
ours_full,69,gamma,0.0,0.0,0.2,0.16666666666666666,0.13793249395781423
ours_full,70,gamma,0.0,0.1,0.06666666666666667,0.23333333333333334,0.20174499279378483
ours_full,71,gamma,0.0,0.0,0.06666666666666667,0.2,0.1614440761165464
ours_full,72,gamma,0.0,0.1,0.06666666666666667,0.13333333333333333,0.13947348740852794
ours_full,73,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.14861737546862896
ours_full,74,gamma,0.0,0.1,0.06666666666666667,0.16666666666666666,0.2566734105863798
ours_full,75,gamma,0.0,0.1,0.13333333333333333,0.1,0.08513415914163
ours_full,76,gamma,0.4,0.3,0.2,0.3333333333333333,0.3732967929448068
ours_full,77,gamma,0.0,0.0,0.13333333333333333,0.16666666666666666,0.14916674357454068
ours_full,78,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.11812816763817327
ours_full,79,gamma,0.0,0.0,0.0,0.16666666666666666,0.12604898859277638
ours_full,80,gamma,0.0,0.0,0.13333333333333333,0.26666666666666666,0.22399858809978465
ours_full,81,gamma,0.0,0.0,0.06666666666666667,0.1,0.11903867751373781
ours_full,82,gamma,0.0,0.0,0.0,0.06666666666666667,0.07682026103095946
