reference_index,celltype,tech
0,gamma,celseq
1,gamma,celseq
2,gamma,celseq
3,gamma,celseq
4,gamma,celseq
5,gamma,celseq
6,gamma,celseq
7,gamma,celseq
8,gamma,celseq
9,gamma,celseq
10,gamma,celseq
11,gamma,celseq
12,gamma,celseq
13,gamma,celseq
14,gamma,celseq
15,gamma,celseq
16,gamma,celseq
17,gamma,celseq
18,gamma,fluidigmc1
19,gamma,fluidigmc1
20,gamma,fluidigmc1
21,gamma,fluidigmc1
22,gamma,fluidigmc1
23,gamma,fluidigmc1
24,gamma,fluidigmc1
25,gamma,fluidigmc1
26,gamma,fluidigmc1
27,gamma,fluidigmc1
28,gamma,fluidigmc1
29,gamma,fluidigmc1
30,gamma,fluidigmc1
31,gamma,fluidigmc1
32,gamma,fluidigmc1
33,gamma,fluidigmc1
34,gamma,fluidigmc1
35,gamma,fluidigmc1
36,acinar,celseq
37,acinar,celseq
38,acinar,celseq
39,acinar,celseq
40,acinar,celseq
41,acinar,celseq
42,acinar,celseq
43,acinar,celseq
44,acinar,celseq
45,acinar,celseq
46,acinar,celseq
47,acinar,celseq
48,acinar,celseq
49,acinar,celseq
50,acinar,celseq
51,acinar,celseq
52,acinar,celseq
53,acinar,celseq
54,acinar,celseq
55,acinar,celseq
56,acinar,celseq
57,acinar,celseq
58,acinar,celseq
59,acinar,celseq
60,acinar,celseq
61,acinar,celseq
62,acinar,celseq
63,acinar,celseq
64,acinar,celseq
65,acinar,celseq
66,acinar,celseq
67,acinar,celseq
68,acinar,celseq
69,acinar,celseq
70,acinar,celseq
71,acinar,celseq
72,acinar,celseq
73,acinar,celseq
74,acinar,celseq
75,acinar,celseq
76,acinar,celseq
77,acinar,celseq
78,acinar,celseq
79,acinar,celseq
80,acinar,celseq
81,acinar,celseq
82,acinar,celseq
83,acinar,celseq
84,acinar,celseq
85,acinar,celseq
86,acinar,celseq
87,acinar,celseq
88,acinar,celseq
89,acinar,celseq
90,acinar,celseq
91,acinar,celseq
92,acinar,celseq
93,acinar,celseq
94,acinar,celseq
95,acinar,celseq
96,acinar,celseq
97,acinar,celseq
98,acinar,celseq
99,acinar,celseq
100,acinar,celseq
101,acinar,celseq
102,acinar,celseq
103,acinar,celseq
104,acinar,celseq
105,acinar,celseq
106,acinar,celseq
107,acinar,celseq
108,acinar,celseq
109,acinar,celseq
110,acinar,celseq
111,acinar,celseq
112,acinar,celseq
113,acinar,celseq
114,acinar,celseq
115,acinar,celseq
116,acinar,celseq
117,acinar,celseq
118,acinar,celseq
119,acinar,celseq
120,acinar,celseq
121,acinar,celseq
122,acinar,celseq
123,acinar,celseq
124,acinar,celseq
125,acinar,celseq
126,acinar,celseq
127,acinar,celseq
128,acinar,celseq
129,acinar,celseq
130,acinar,celseq
131,acinar,celseq
132,acinar,celseq
133,acinar,celseq
134,acinar,celseq
135,acinar,celseq
136,acinar,celseq
137,acinar,celseq
138,acinar,celseq
139,acinar,celseq
140,acinar,celseq
141,acinar,celseq
142,acinar,celseq
143,acinar,celseq
144,acinar,celseq
145,acinar,celseq
146,acinar,celseq
147,acinar,celseq
148,acinar,celseq
149,acinar,celseq
150,acinar,celseq
151,acinar,celseq
152,acinar,celseq
153,acinar,celseq
154,acinar,celseq
155,acinar,celseq
156,acinar,celseq
157,acinar,celseq
158,acinar,celseq
159,acinar,celseq
160,acinar,celseq
161,acinar,celseq
162,acinar,celseq
163,acinar,celseq
164,acinar,celseq
165,acinar,celseq
166,acinar,celseq
167,acinar,celseq
168,acinar,celseq
169,acinar,celseq
170,acinar,celseq
171,acinar,celseq
172,acinar,celseq
173,acinar,celseq
174,acinar,celseq
175,acinar,celseq
176,acinar,celseq
177,acinar,celseq
178,acinar,celseq
179,acinar,celseq
180,acinar,celseq
181,acinar,celseq
182,acinar,celseq
183,acinar,celseq
184,acinar,celseq
185,acinar,celseq
186,acinar,celseq
187,acinar,celseq
188,acinar,celseq
189,acinar,celseq
190,acinar,celseq
191,acinar,celseq
192,acinar,celseq
193,acinar,celseq
194,acinar,celseq
195,acinar,celseq
196,acinar,celseq
197,acinar,celseq
198,acinar,celseq
199,acinar,celseq
200,acinar,celseq
201,acinar,celseq
202,acinar,celseq
203,acinar,celseq
204,acinar,celseq
205,acinar,celseq
206,acinar,celseq
207,acinar,celseq
208,acinar,celseq
209,acinar,celseq
210,acinar,celseq
211,acinar,celseq
212,acinar,celseq
213,acinar,celseq
214,acinar,celseq
215,acinar,celseq
216,acinar,celseq
217,acinar,celseq
218,acinar,celseq
219,acinar,celseq
220,acinar,celseq
221,acinar,celseq
222,acinar,celseq
223,acinar,celseq
224,acinar,celseq
225,acinar,celseq
226,acinar,celseq
227,acinar,celseq
228,acinar,celseq
229,acinar,celseq
230,acinar,celseq
231,acinar,celseq
232,acinar,celseq
233,acinar,celseq
234,acinar,celseq
235,acinar,celseq
236,acinar,celseq
237,acinar,celseq
238,acinar,celseq
239,acinar,celseq
