split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,all,4000,1.0,1.0,1.0,1.0,4.6385117968821655e-16,2.869093851387074e-16,1.1796341681247195e-14,6.099093452505137e-15,2.869093851387074e-16,6.099093452505137e-15,0.0,0.0,,,0,,0,-9.003908729710057e-15,9.76996261670133e-15,1.0,pca,disconnected,0
reference,internal,4000,1.0,1.0,1.0,1.0,4.6385117968821655e-16,2.869093851387074e-16,1.1796341681247195e-14,6.099093452505137e-15,2.869093851387074e-16,6.099093452505137e-15,0.0,0.0,,,0,,0,-9.003908729710057e-15,9.76996261670133e-15,1.0,pca,disconnected,0
reference,A_spiral,1334,1.0,1.0,1.0,1.0,7.71247134122819e-16,1.3066342943484623e-16,1.5140728917161275e-14,7.027029299940064e-15,1.3066342943484623e-16,7.027029299940064e-15,0.0,0.0,,,0,,0,-1.1513012765362938e-14,1.192379528447412e-14,1.0,pca,disconnected,0
reference,B_tree,1332,1.0,1.0,1.0,1.0,7.784897184682003e-17,2.5005023077137446e-17,4.437391395269825e-15,2.4651618750986207e-15,2.5005023077137446e-17,2.4651618750986207e-15,0.0,0.0,,,0,,0,-3.885780586188056e-15,3.974598428158073e-15,1.0,pca,disconnected,0
reference,C_ellipse,1334,1.0,1.0,1.0,1.0,5.418787191402256e-16,7.046670426911525e-16,1.579987182233601e-14,8.799641009197256e-15,7.046670426911525e-16,8.799641009197256e-15,0.0,0.0,,,0,,0,-1.2922996006636903e-14,1.5187850976872048e-14,1.0,pca,disconnected,0
reference,B_branch_0,180,1.0,1.0,1.0,1.0,3.3306690738751723e-16,-2.7138785046401226e-17,5.5585166099566096e-15,3.056814061134598e-15,-2.7138785046401226e-17,3.056814061134598e-15,0.0,0.0,,,0,,0,-4.884981308350701e-15,5.107025913275707e-15,1.0,pca,disconnected,0
reference,B_branch_1,170,1.0,1.0,1.0,1.0,-5.87765130683976e-17,4.787020453236681e-16,2.872212271942023e-15,1.6894982145325166e-15,4.787020453236681e-16,1.6894982145325166e-15,0.0,0.0,,,0,,0,-2.2315482794965668e-15,3.1086244689504336e-15,1.0,pca,disconnected,0
reference,B_branch_2,170,1.0,1.0,1.0,1.0,-5.296416899829488e-16,3.395976310618108e-16,2.8441301601426816e-15,1.4498206556869693e-15,3.395976310618108e-16,1.4498206556869693e-15,0.0,0.0,,,0,,0,-1.9984014443252837e-15,2.4424906541753412e-15,1.0,pca,disconnected,0
reference,B_branch_3,212,1.0,1.0,1.0,1.0,4.980292907634212e-16,-2.4875280032875974e-16,5.790441501547336e-15,3.3154820608027677e-15,-2.4875280032875974e-16,3.3154820608027677e-15,0.0,0.0,,,0,,0,-5.617728504603307e-15,5.506706202140763e-15,1.0,pca,disconnected,0
reference,B_branch_4,194,1.0,1.0,1.0,1.0,-2.1174356655223499e-16,3.60536343048332e-17,4.160474942796336e-15,2.3286069521648248e-15,3.60536343048332e-17,2.3286069521648248e-15,0.0,0.0,,,0,,0,-3.219646771412959e-15,3.863576125695545e-15,1.0,pca,disconnected,0
reference,B_branch_5,194,1.0,1.0,1.0,1.0,-9.557074490331115e-17,-1.3105209929854032e-16,3.749005687793505e-15,2.1111405865166e-15,-1.3105209929854032e-16,2.1111405865166e-15,0.0,0.0,,,0,,0,-3.852473895449301e-15,3.1086244689504336e-15,1.0,pca,disconnected,0
reference,B_branch_6,212,1.0,1.0,1.0,1.0,4.613709833465604e-16,-1.4034894839601794e-16,5.548496672596005e-15,2.9976021664879234e-15,-1.4034894839601794e-16,2.9976021664879234e-15,0.0,0.0,,,0,,0,-4.5408121707169e-15,4.6629367034256464e-15,1.0,pca,disconnected,0
query,all,2000,1.0,1.0,1.0,1.0,-4.1561198926862255e-16,1.0541567618811705e-16,1.2511047753349664e-14,5.846045869617454e-15,1.0541567618811705e-16,5.846045869617454e-15,0.0,0.0,,,0,,0,-8.892886427247543e-15,9.32587340685127e-15,1.0,pca,disconnected,0
