seed,method,split,group,n,delta_recall15,delta_within_recall15,delta_abs_log_radius15,delta_within_abs_log_radius15,delta_log_radius15
0,pca,reference,internal,4000,0.0,0.0,8.051892486094221e-17,7.2386541205563e-17,2.6284530108002577e-17
0,pca,reference,A_spiral,1334,0.0,0.0,4.510801194504003e-16,4.4017762947844424e-16,-9.054892434724538e-17
0,pca,reference,B_tree,1332,0.0,0.0,-4.484234138501053e-17,-5.117694723122008e-17,-2.6838724769466923e-17
0,pca,reference,C_ellipse,1334,0.0,0.0,-1.6486895140796942e-16,-1.7202631123688721e-16,1.9616159438093361e-16
0,pca,query,internal,2000,0.0,0.0,2.7516877665334213e-16,2.687294831105162e-16,-3.047562202596544e-17
0,pca,query,A_spiral,667,0.0,0.0,4.554078253934717e-16,4.534104226505179e-16,-6.99756760948157e-16
0,pca,query,B_tree,666,0.0,0.0,-1.171902081548776e-16,-1.3519382477042073e-16,-1.6836715538608548e-17
0,pca,query,C_ellipse,667,0.0,0.0,4.867004683663975e-16,4.873662692807154e-16,6.251870585445326e-16
0,umap,reference,internal,4000,-0.006166666666666666,-0.005683333333333333,0.0038270020031490235,0.003702011963405434,0.014898781659814158
0,umap,reference,A_spiral,1334,-0.014742628685657167,-0.014842578710644674,0.01319836118063195,0.013083410199158688,0.025124833344658464
0,umap,reference,B_tree,1332,0.001451451451451451,0.0025525525525525524,-0.003131327327218128,-0.0035946951916577268,0.03351741342286072
0,umap,reference,C_ellipse,1334,-0.0051974012993503274,-0.004747626186906549,0.0014035398781766354,0.00160638129177822,-0.013917987797427474
0,umap,query,internal,2000,-0.006966666666666666,-0.006533333333333333,-0.0012554291794063522,-0.0014336556148438063,0.012225306676818114
0,umap,query,A_spiral,667,-0.01699150424787606,-0.016391804097951025,0.004065829645054248,0.004374175267329345,0.029301324698443418
0,umap,query,B_tree,666,0.002002002002002004,0.0028028028028028048,-0.013193221236848848,-0.013680669163019351,0.02823794224836253
0,umap,query,C_ellipse,667,-0.005897051474262871,-0.005997001499250376,0.00534320631435898,0.004987165711506141,-0.020839339966469226
0,uniform,reference,internal,4000,0.004699999999999998,0.009066666666666664,-0.0017162821455635707,-0.0018683876557733265,0.06760214925964751
0,uniform,reference,A_spiral,1334,0.01859070464767616,0.01894052973513243,-0.0034742611331807917,-0.0031051376248895745,-0.019839679584078417
0,uniform,reference,B_tree,1332,-0.0027527527527527536,0.004354354354354354,0.04358149730579241,0.05338360080301404,0.12781554070628276
0,uniform,reference,C_ellipse,1334,-0.0017491254372813592,0.003898050974512743,-0.04518816989648171,-0.055800789581038485,0.0949208616064333
0,uniform,query,internal,2000,0.0062,0.009766666666666667,-0.006939128626921248,-0.006669495126210176,0.06835740015195747
0,uniform,query,A_spiral,667,0.01939030484757621,0.020089955022488754,-0.004287538930986494,-0.004140455437342822,-0.016729603449064254
0,uniform,query,B_tree,666,-0.003803803803803801,0.0019019019019019038,0.03283329489209984,0.04118712398903718,0.12087348911242601
0,uniform,query,C_ellipse,667,0.00299850074962519,0.00729635182408796,-0.049303513021009,-0.05698340487617909,0.10100704955856836
0,fitgrid,reference,internal,4000,0.004699999999999998,0.009066666666666664,-0.0017162821455635707,-0.0018683876557733265,0.06760214925964751
0,fitgrid,reference,A_spiral,1334,0.01859070464767616,0.01894052973513243,-0.0034742611331807917,-0.0031051376248895745,-0.019839679584078417
0,fitgrid,reference,B_tree,1332,-0.0027527527527527536,0.004354354354354354,0.04358149730579241,0.05338360080301404,0.12781554070628276
0,fitgrid,reference,C_ellipse,1334,-0.0017491254372813592,0.003898050974512743,-0.04518816989648171,-0.055800789581038485,0.0949208616064333
0,fitgrid,query,internal,2000,0.005966666666666667,0.009600000000000001,-0.006380129749873459,-0.006112403506512226,0.06755787386412224
0,fitgrid,query,A_spiral,667,0.019190404797601198,0.019790104947526237,-0.003985059149874773,-0.003842619320520486,-0.01687616005939622
0,fitgrid,query,B_tree,666,-0.003903903903903901,0.002002002002002003,0.032734026343843266,0.04104598626844489,0.12071582608850825
0,fitgrid,query,C_ellipse,667,0.0025987006496751663,0.006996501749125442,-0.04783071453040488,-0.055469875233915424,0.09891365264305134
1,pca,reference,internal,4000,0.0,0.0,8.051892486094221e-17,7.2386541205563e-17,2.6284530108002577e-17
1,pca,reference,A_spiral,1334,0.0,0.0,4.510801194504003e-16,4.4017762947844424e-16,-9.054892434724538e-17
1,pca,reference,B_tree,1332,0.0,0.0,-4.484234138501053e-17,-5.117694723122008e-17,-2.6838724769466923e-17
1,pca,reference,C_ellipse,1334,0.0,0.0,-1.6486895140796942e-16,-1.7202631123688721e-16,1.9616159438093361e-16
