comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
Uniform minus UMAP,disconnected,0,reference,all,-0.027000000000000135,0.05001587130611751,-0.06358617100014341,
Uniform minus UMAP,disconnected,0,reference,internal,-0.027000000000000135,0.05001587130611751,-0.06358617100014341,
Uniform minus UMAP,disconnected,0,reference,A_spiral,-0.035782108945527136,0.10375055413766171,0.09225083240863019,
Uniform minus UMAP,disconnected,0,reference,B_tree,-0.0022522522522522292,-0.060135685580128884,-0.17253431139926992,
Uniform minus UMAP,disconnected,0,reference,C_ellipse,-0.04292853573213384,0.10626760059787155,-0.1106383745501191,
Uniform minus UMAP,disconnected,0,reference,B_branch_0,0.00666666666666671,0.040964859438882895,-0.1087188247013446,
Uniform minus UMAP,disconnected,0,reference,B_branch_1,0.003529411764706003,-0.17363830573069033,-0.2103677734069221,
Uniform minus UMAP,disconnected,0,reference,B_branch_2,-0.007843137254901933,-0.04284544885218522,-0.34575455261857474,
Uniform minus UMAP,disconnected,0,reference,B_branch_3,-0.00691823899371069,-0.05424221077583541,-0.1740581916199121,
Uniform minus UMAP,disconnected,0,reference,B_branch_4,-0.009278350515463996,-0.004397300575050611,-0.1443657690515648,
Uniform minus UMAP,disconnected,0,reference,B_branch_5,-0.00584192439862552,0.025212104589404094,0.005377354084756397,
Uniform minus UMAP,disconnected,0,reference,B_branch_6,0.004402515723270439,-0.20382496654221421,-0.24453504616164498,
Uniform minus UMAP,disconnected,0,query,all,-0.035566666666666746,0.0619399493264049,-0.0767104964280967,
Uniform minus UMAP,disconnected,0,query,internal,-0.035566666666666746,0.0619399493264049,-0.0767104964280967,
Uniform minus UMAP,disconnected,0,query,A_spiral,-0.03848075962018993,0.0915434500864031,0.09328851809856839,
Uniform minus UMAP,disconnected,0,query,B_tree,-0.0049049049049049165,-0.028762203664082553,-0.18167471174395028,
Uniform minus UMAP,disconnected,0,query,C_ellipse,-0.06326836581709172,0.12290261632002669,-0.1419026632780625,
Uniform minus UMAP,disconnected,0,query,B_branch_0,-0.017037037037037184,0.0655469393733995,-0.1217169983084439,
Uniform minus UMAP,disconnected,0,query,B_branch_1,0.007058823529411784,-0.129924039716367,-0.21026241987736588,
Uniform minus UMAP,disconnected,0,query,B_branch_2,-0.0117647058823529,-0.0383853595838321,-0.3396951017941018,
Uniform minus UMAP,disconnected,0,query,B_branch_3,-0.01132075471698113,0.00545246576218994,-0.1763922116789724,
Uniform minus UMAP,disconnected,0,query,B_branch_4,-0.0020618556701029744,0.037375085671808195,-0.14886257136774012,
Uniform minus UMAP,disconnected,0,query,B_branch_5,-0.0013745704467352793,0.013991729072415693,-0.0231076165276346,
Uniform minus UMAP,disconnected,0,query,B_branch_6,0.0018867924528299662,-0.153859392871225,-0.2633561902623943,
Uniform minus UMAP,disconnected,1,reference,all,-0.016383333333333416,0.020862043981993483,-0.0094445465050179,
Uniform minus UMAP,disconnected,1,reference,internal,-0.016383333333333416,0.020862043981993483,-0.0094445465050179,
Uniform minus UMAP,disconnected,1,reference,A_spiral,-0.01934032983508238,0.053914946994026214,0.021109574283495497,
Uniform minus UMAP,disconnected,1,reference,B_tree,-0.00315315315315301,-0.00900861211876508,-0.04774904158289359,
Uniform minus UMAP,disconnected,1,reference,C_ellipse,-0.026636681659170325,0.01763501347836477,-0.0017516002442582168,
Uniform minus UMAP,disconnected,1,reference,B_branch_0,0.0033333333333330772,0.05442497129975932,-0.1571842803472962,
Uniform minus UMAP,disconnected,1,reference,B_branch_1,-0.0074509803921568585,-0.18223718118001803,-0.2184488223260202,
Uniform minus UMAP,disconnected,1,reference,B_branch_2,-0.014117647058823568,0.030028671368360904,0.026664749867248427,
Uniform minus UMAP,disconnected,1,reference,B_branch_3,0.004716981132075415,0.019157829245437796,-0.0029093670095539093,
Uniform minus UMAP,disconnected,1,reference,B_branch_4,0.0017182130584191269,0.07582463237729292,0.11963449286733463,
Uniform minus UMAP,disconnected,1,reference,B_branch_5,-0.00996563573883169,0.018979619578115392,-0.1823898867787529,
Uniform minus UMAP,disconnected,1,reference,B_branch_6,-0.002515723270440251,-0.0866698310733588,0.047575809513824896,
Uniform minus UMAP,disconnected,1,query,all,-0.025499999999999967,0.022810713143047,-0.018057354060356204,
Uniform minus UMAP,disconnected,1,query,internal,-0.025499999999999967,0.022810713143047,-0.018057354060356204,
Uniform minus UMAP,disconnected,1,query,A_spiral,-0.02018990504747642,0.04294165361544461,0.0206169373138832,
Uniform minus UMAP,disconnected,1,query,B_tree,-0.009109109109109115,0.0009537344858590036,-0.0511743510003832,
Uniform minus UMAP,disconnected,1,query,C_ellipse,-0.047176411794103035,0.024503982244393097,-0.0236642991646433,
Uniform minus UMAP,disconnected,1,query,B_branch_0,-0.016296296296296475,0.058735551635268834,-0.1333837573307892,
Uniform minus UMAP,disconnected,1,query,B_branch_1,-0.004705882352941115,-0.1402789014914333,-0.2069393039083328,
Uniform minus UMAP,disconnected,1,query,B_branch_2,-0.026666666666666727,0.03548578317500689,0.040561663714955676,
