condition,seed,group,query_retriever_recall15
disconnected,0,A_spiral,0.9970014992503748
disconnected,0,B_tree,0.9903903903903905
disconnected,0,C_ellipse,0.9916041979010496
disconnected,1,A_spiral,0.9993003498250874
disconnected,1,B_tree,0.9977977977977978
disconnected,1,C_ellipse,0.974912543728136
disconnected,2,A_spiral,0.9991004497751126
disconnected,2,B_tree,1.0
disconnected,2,C_ellipse,0.9867066466766619
sparse_bridge,0,A_spiral,0.9999000499750126
sparse_bridge,0,B_tree,0.9997997997997998
sparse_bridge,0,C_ellipse,0.982608695652174
sparse_bridge,0,bridge_AB,1.0
sparse_bridge,0,bridge_BC,1.0
sparse_bridge,1,A_spiral,0.999400299850075
sparse_bridge,1,B_tree,0.9993993993993995
sparse_bridge,1,C_ellipse,0.982608695652174
sparse_bridge,1,bridge_AB,1.0
sparse_bridge,1,bridge_BC,1.0
sparse_bridge,2,A_spiral,0.9995002498750626
sparse_bridge,2,B_tree,1.0
sparse_bridge,2,C_ellipse,0.9972013993003498
sparse_bridge,2,bridge_AB,1.0
sparse_bridge,2,bridge_BC,1.0
