step,loss
1,1.588666418683715e-05
2,0.0017995026428252459
3,8.207168139051646e-05
4,0.0002759179624263197
5,0.000337901059538126
6,0.00027814297936856747
7,0.000170270461239852
8,8.022109977900982e-05
9,4.991561945644207e-05
10,6.948475493118167e-05
11,8.552959479857236e-05
12,8.897345105651766e-05
13,5.3022667998448014e-05
14,2.73026180366287e-05
15,2.7697151381289586e-05
16,2.0799270714633167e-05
17,2.3594799131387845e-05
18,2.2846890715300106e-05
19,2.5809844373725355e-05
20,2.4571429094066843e-05
21,2.9576351153082214e-05
22,2.031483018072322e-05
23,2.252280137327034e-05
24,1.8224483937956393e-05
25,2.0566269085975364e-05
26,2.1417192328954116e-05
27,1.884186531242449e-05
28,1.6232663256232627e-05
29,1.734279612719547e-05
30,1.9186296412954107e-05
31,1.6554446119698696e-05
32,2.0885687263216823e-05
33,4.818171510123648e-05
34,9.865622996585444e-05
35,1.609063292562496e-05
36,1.4414524230232928e-05
37,1.964863622561097e-05
38,1.5024320418888237e-05
39,0.00027620914625003934
40,5.398052962846123e-05
41,1.6165333363460377e-05
42,5.675370994140394e-05
43,3.892293170792982e-05
44,1.6751129805925302e-05
45,2.066833621938713e-05
46,1.34736856125528e-05
47,3.369177284184843e-05
48,0.000500350259244442
49,1.5779023669892922e-05
50,3.361046401550993e-05
51,1.83545816980768e-05
52,0.0002261974150314927
53,1.4494686183752492e-05
54,1.5096448805707041e-05
55,1.8330454622628167e-05
56,2.289955591550097e-05
57,1.4349633602250833e-05
58,1.574064663145691e-05
59,2.5490022380836308e-05
60,1.465814966650214e-05
61,3.828250919468701e-05
62,1.3188371667638421e-05
63,1.9888182578142732e-05
64,1.619079921511002e-05
65,1.5408000763272867e-05
66,1.9345503460499458e-05
67,1.896815956570208e-05
68,1.4285347788245417e-05
69,1.599369352334179e-05
70,1.5744659322081134e-05
71,1.3799382941215299e-05
72,4.018014078610577e-05
73,0.000135441601742059
74,1.530354711576365e-05
75,1.4573738553735893e-05
76,1.6127478374983184e-05
77,1.29436648421688e-05
78,4.2250845581293106e-05
79,1.8425869711791165e-05
80,1.755224548105616e-05
81,2.3507582227466628e-05
82,0.0005061521078459918
83,1.3062455764156766e-05
