step,loss
1,1.2783188140019774e-05
2,0.0019265388837084174
3,8.01421410869807e-05
4,0.00017132109496742487
5,0.0003805099695455283
6,0.0003148646210320294
7,0.00015045335749164224
8,4.950203583575785e-05
9,3.990394179709256e-05
10,7.479157648049295e-05
11,7.186748553067446e-05
12,0.0004635361838154495
13,5.4044765420258045e-05
14,3.717370054800995e-05
15,0.00010182672122027725
16,2.1611194824799895e-05
17,2.2937711037229747e-05
18,2.787638732115738e-05
19,2.4575867428211495e-05
20,2.2432657715398818e-05
21,2.0830895664403215e-05
22,2.0751742340507917e-05
23,2.0431532902875915e-05
24,3.976487641921267e-05
25,3.0928156775189564e-05
26,1.6151388990692794e-05
27,4.558690852718428e-05
28,0.00020230808877386153
29,2.0467381546040997e-05
30,1.4345632735057734e-05
31,1.407898889738135e-05
32,1.115054874389898e-05
33,0.0004345994093455374
34,1.240761048393324e-05
35,1.0614826351229567e-05
36,1.3309998394106515e-05
37,1.3685732483281754e-05
38,5.883439735043794e-05
39,1.2739963494823314e-05
40,1.0665736226656009e-05
41,5.8004829043056816e-05
42,0.00012731140304822475
43,5.873991904081777e-05
44,1.8032951629720628e-05
45,1.2813859029847663e-05
46,1.5955072740325704e-05
47,1.1593483577598818e-05
48,1.1836801604658831e-05
49,2.6453668397152796e-05
50,1.0486394785402808e-05
51,1.2666811926465016e-05
52,2.3737949959468096e-05
53,1.1671108950395137e-05
54,1.2084374247933738e-05
55,1.4234159607440233e-05
56,2.4938910428318195e-05
57,1.1634714610408992e-05
58,1.2142852938268334e-05
59,2.6970170438289642e-05
60,1.1571566574275494e-05
61,1.7537164239911363e-05
62,1.082743619917892e-05
63,1.1753381841117516e-05
64,2.5907680537784472e-05
65,1.1839507351396605e-05
66,1.6331347069353797e-05
67,1.1109039405710064e-05
68,1.3279290214995854e-05
69,5.489109025802463e-05
70,1.2970531315659173e-05
71,1.4858186659694184e-05
72,1.7376536561641842e-05
73,1.1321558304189239e-05
74,1.0554354048508685e-05
75,1.0624549759086221e-05
76,1.0789190127979964e-05
77,1.1455884305178188e-05
78,1.5663308658986352e-05
79,1.2593623978318647e-05
80,1.1822008673334494e-05
81,1.167754817288369e-05
82,1.2280770533834584e-05
83,1.0360904525441583e-05
84,1.8429731426294893e-05
85,2.034754288615659e-05
86,1.3657419913215563e-05
87,1.0316100997442845e-05
88,1.215769225382246e-05
89,1.2103490007575601e-05
90,1.4719889804837294e-05
91,1.0657624443410896e-05
92,1.4823210221948102e-05
93,2.382468301220797e-05
94,3.2950687455013394e-05
95,2.438916271785274e-05
96,1.8187871319241822e-05
97,1.1275614269834477e-05
98,1.1872354662045836e-05
99,1.1603906386881135e-05
