split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,all,2826,1.0,1.0,1.0,1.0,-5.321684745780355e-16,-4.070032036491055e-17,9.489381836734198e-15,4.742137326838409e-15,-4.608250558690789e-17,4.728505076677583e-15,0.0,0.0,1.0,0.0,2459,0.0,143,-7.66053886991361e-15,7.327471962526006e-15,1.0,pca,sparse_bridge,0
reference,internal,2666,1.0,1.0,1.0,1.0,-5.22337861885828e-16,-1.8947917337027174e-17,9.62683296420189e-15,4.8582876489814196e-15,-2.548598991265167e-17,4.852166014149466e-15,0.0,0.0,1.0,0.0,59,0.0,59,-7.771561172376126e-15,7.549516567451036e-15,1.0,pca,sparse_bridge,0
reference,A_spiral,1334,1.0,1.0,1.0,1.0,-1.0954921793960566e-15,-1.6603410300808081e-16,1.3725735524007123e-14,7.006805597167659e-15,-1.6353734957938856e-16,7.001312739624536e-15,0.0,0.0,1.0,0.0,30,0.0,30,-1.1957101975213007e-14,1.1257661469699034e-14,1.0,pca,sparse_bridge,0
reference,B_tree,1332,1.0,1.0,1.0,1.0,5.1677047692734094e-17,1.283591184626617e-16,5.5217758960486016e-15,2.7065436978699755e-15,1.1277265407790916e-16,2.6997923416391473e-15,0.0,0.0,1.0,0.0,29,0.0,29,-4.2188474935756035e-15,4.218847493575586e-15,1.0,pca,sparse_bridge,0
reference,bridge_AB,160,1.0,1.0,1.0,1.0,-6.959710585619443e-16,-4.031497358170171e-16,7.19910242530376e-15,2.806782584130475e-15,-3.8927194800920213e-16,2.66800470605233e-15,0.0,0.0,1.0,0.0,2400,0.0,84,-4.884981308350701e-15,4.4630965589931186e-15,1.0,pca,sparse_bridge,0
reference,B_branch_0,180,1.0,1.0,1.0,1.0,7.463165887757571e-16,3.4416913763378897e-16,6.9956386362769564e-15,3.4157861724300645e-15,3.4416913763378897e-16,3.4157861724300645e-15,0.0,0.0,,,0,,0,-6.117328865684632e-15,5.551115123125767e-15,1.0,pca,sparse_bridge,0
reference,B_branch_1,170,1.0,1.0,1.0,1.0,-3.2000546003909814e-17,9.60016380117019e-17,3.158911041242283e-15,1.9259104115409334e-15,9.60016380117019e-17,1.9259104115409334e-15,0.0,0.0,,,0,,0,-3.219646771412959e-15,3.1086244689504336e-15,1.0,pca,sparse_bridge,0
reference,B_branch_2,170,1.0,1.0,1.0,1.0,5.890712754187488e-16,1.116753748299392e-16,3.381608718534741e-15,1.923298122071227e-15,1.116753748299392e-16,1.923298122071227e-15,0.0,0.0,,,0,,0,-2.997602166487927e-15,3.1086244689504336e-15,1.0,pca,sparse_bridge,0
reference,B_branch_3,212,1.0,1.0,1.0,1.0,-6.462335907488302e-16,-9.950112013150815e-17,6.396350954137584e-15,3.042639515600076e-15,-1.9743116994514194e-16,3.0002206170177003e-15,0.0,0.0,1.0,0.0,29,0.0,29,-4.773959005888184e-15,4.6407322429331446e-15,1.0,pca,sparse_bridge,0
reference,B_branch_4,194,1.0,1.0,1.0,1.0,-1.259015801123143e-17,-3.662591421444186e-17,4.684683339990483e-15,2.1357486226294248e-15,-3.662591421444186e-17,2.1357486226294248e-15,0.0,0.0,,,0,,0,-3.1863400806742043e-15,3.1086244689504336e-15,1.0,pca,sparse_bridge,0
reference,B_branch_5,194,1.0,1.0,1.0,1.0,6.581218960403658e-17,2.912904739866963e-16,5.890477109518932e-15,2.89058582339261e-15,2.912904739866963e-16,2.89058582339261e-15,0.0,0.0,,,0,,0,-4.2632564145606104e-15,5.329070518200737e-15,1.0,pca,sparse_bridge,0
reference,B_branch_6,212,1.0,1.0,1.0,1.0,-1.5815441199853422e-16,2.1418925333569207e-16,7.435352124352813e-15,3.3762301130935764e-15,2.1418925333569207e-16,3.3762301130935764e-15,0.0,0.0,,,0,,0,-5.873079800267095e-15,5.7509552675582956e-15,1.0,pca,sparse_bridge,0
reference,bridge_near,179,1.0,1.0,1.0,1.0,-7.480050098871672e-16,-2.431326400296505e-16,7.369648032735268e-15,2.863010883614371e-15,-3.2810501677470347e-16,2.6477888782820086e-15,0.0,0.0,1.0,0.0,2459,0.0,143,-4.884981308350701e-15,4.7073456244106565e-15,1.0,pca,sparse_bridge,0
query,all,1413,1.0,1.0,1.0,1.0,-1.2414383431772451e-16,1.511726184981205e-16,1.0312738317629236e-14,4.763980355914543e-15,1.6555130310579245e-16,4.7398587374743505e-15,0.0,0.0,1.0,0.0,1226,0.0,57,-6.972200594646006e-15,7.549516567451036e-15,1.0,pca,sparse_bridge,0
query,internal,1333,1.0,1.0,1.0,1.0,-7.953960904115981e-17,1.4925128733142757e-16,1.0349560668341775e-14,4.843337533983654e-15,1.6865728618646604e-16,4.823598384933679e-15,0.0,0.0,1.0,0.0,26,0.0,26,-7.083222897108522e-15,7.549516567451036e-15,1.0,pca,sparse_bridge,0
query,A_spiral,667,1.0,1.0,1.0,1.0,4.1779007373235486e-17,2.272045620109501e-16,1.5111849802502756e-14,6.878888596504324e-15,2.1322274281027353e-16,6.866238379132283e-15,0.0,0.0,1.0,0.0,15,0.0,15,-1.1768364061026729e-14,1.1102230246251504e-14,1.0,pca,sparse_bridge,0
query,B_tree,666,1.0,1.0,1.0,1.0,-2.010403855402615e-16,7.118096569292678e-17,5.580120949895268e-15,2.804730088486225e-15,1.2402491446262282e-16,2.777891363716758e-15,0.0,0.0,1.0,0.0,11,0.0,11,-4.4408920985006364e-15,4.440892098500617e-15,1.0,pca,sparse_bridge,0
query,bridge_AB,80,1.0,1.0,1.0,1.0,-8.67361737988483e-16,1.8318679906314135e-16,9.69918589888154e-15,3.4416913763379845e-15,1.137978600240692e-16,3.3445468616832833e-15,0.0,0.0,1.0,0.0,1200,0.0,31,-5.573319583618302e-15,4.907185768843182e-15,1.0,pca,sparse_bridge,0
query,B_branch_0,90,1.0,1.0,1.0,1.0,7.043748300676919e-16,-3.207310960028334e-16,7.447129332957845e-15,3.4688301613843814e-15,-3.207310960028334e-16,3.4688301613843814e-15,0.0,0.0,,,0,,0,-6.228351168147148e-15,4.884981308350677e-15,1.0,pca,sparse_bridge,0
query,B_branch_1,85,1.0,1.0,1.0,1.0,-1.1859794192466513e-15,2.8212726272827235e-16,3.636306941831108e-15,1.8181534709155503e-15,2.8212726272827235e-16,1.8181534709155503e-15,0.0,0.0,,,0,,0,-2.3758772726978376e-15,3.1086244689504336e-15,1.0,pca,sparse_bridge,0
query,B_branch_2,85,1.0,1.0,1.0,1.0,4.0490486780445184e-16,8.594432355333532e-16,4.103906756908519e-15,1.9043590234158547e-15,8.594432355333532e-16,1.9043590234158547e-15,0.0,0.0,,,0,,0,-1.6653345369377362e-15,3.819167204710535e-15,1.0,pca,sparse_bridge,0
query,B_branch_3,106,1.0,1.0,1.0,1.0,-1.7281773496526836e-16,-6.305228875701451e-16,6.163832547093444e-15,3.232215333955882e-15,-2.9850336039450786e-16,3.0635871198382865e-15,0.0,0.0,1.0,0.0,11,0.0,11,-5.273559366969508e-15,4.884981308350676e-15,1.0,pca,sparse_bridge,0
query,B_branch_4,97,1.0,1.0,1.0,1.0,4.578239276789927e-18,-5.470995935781756e-16,4.1845106989995584e-15,2.5294772004346367e-15,-5.470995935781756e-16,2.5294772004346367e-15,0.0,0.0,,,0,,0,-4.796163466380688e-15,3.5527136788004946e-15,1.0,pca,sparse_bridge,0
