condition,method,stage,split,group,pairs,spearman
disconnected,pca,1.0,reference,all,19992,1.0
disconnected,pca,1.0,reference,A_spiral,19980,1.0
disconnected,pca,1.0,reference,B_tree,19982,1.0
disconnected,pca,1.0,query,all,19979,0.9999999999999999
disconnected,pca,1.0,query,A_spiral,19971,1.0
disconnected,pca,1.0,query,B_tree,19963,0.9999999999999999
disconnected,umap,1.0,reference,all,19992,0.5052041760331947
disconnected,umap,1.0,reference,A_spiral,19980,0.32692256920430246
disconnected,umap,1.0,reference,B_tree,19982,0.8312678815637258
disconnected,umap,1.0,query,all,19979,0.5106177385517958
disconnected,umap,1.0,query,A_spiral,19971,0.3261854552257125
disconnected,umap,1.0,query,B_tree,19963,0.8300785576539523
disconnected,baseline_3_to_2,0.0,reference,all,19992,0.3455496552016285
disconnected,baseline_3_to_2,0.0,reference,A_spiral,19980,0.716147723081382
disconnected,baseline_3_to_2,0.0,reference,B_tree,19982,0.8971325024985184
disconnected,baseline_3_to_2,0.0,query,all,19979,0.3361014320639139
disconnected,baseline_3_to_2,0.0,query,A_spiral,19971,0.7108907900694638
disconnected,baseline_3_to_2,0.0,query,B_tree,19963,0.8971468235373795
disconnected,baseline_3_to_2,0.25,reference,all,19992,0.23155966198942818
disconnected,baseline_3_to_2,0.25,reference,A_spiral,19980,0.5275945821110909
disconnected,baseline_3_to_2,0.25,reference,B_tree,19982,0.8502681051227072
disconnected,baseline_3_to_2,0.25,query,all,19979,0.23706975349920803
disconnected,baseline_3_to_2,0.25,query,A_spiral,19971,0.5419601602784041
disconnected,baseline_3_to_2,0.25,query,B_tree,19963,0.8703240450153261
disconnected,baseline_3_to_2,0.5,reference,all,19992,0.24878606894106003
disconnected,baseline_3_to_2,0.5,reference,A_spiral,19980,0.6004214046003278
disconnected,baseline_3_to_2,0.5,reference,B_tree,19982,0.8918183449309726
disconnected,baseline_3_to_2,0.5,query,all,19979,0.2486301666858053
disconnected,baseline_3_to_2,0.5,query,A_spiral,19971,0.6034349262171772
disconnected,baseline_3_to_2,0.5,query,B_tree,19963,0.8976070119861712
disconnected,baseline_3_to_2,0.75,reference,all,19992,0.25264118891413295
disconnected,baseline_3_to_2,0.75,reference,A_spiral,19980,0.6210294509535863
disconnected,baseline_3_to_2,0.75,reference,B_tree,19982,0.9052100026635232
disconnected,baseline_3_to_2,0.75,query,all,19979,0.25460918822987727
disconnected,baseline_3_to_2,0.75,query,A_spiral,19971,0.6230087844896679
disconnected,baseline_3_to_2,0.75,query,B_tree,19963,0.9058948825887918
disconnected,baseline_3_to_2,1.0,reference,all,19992,0.256156673932899
disconnected,baseline_3_to_2,1.0,reference,A_spiral,19980,0.6264473965463345
disconnected,baseline_3_to_2,1.0,reference,B_tree,19982,0.9158897901259956
disconnected,baseline_3_to_2,1.0,query,all,19979,0.25624512074269024
disconnected,baseline_3_to_2,1.0,query,A_spiral,19971,0.6227212278653215
disconnected,baseline_3_to_2,1.0,query,B_tree,19963,0.9151866944630714
disconnected,direct_2,0.0,reference,all,19992,0.38164209635585206
disconnected,direct_2,0.0,reference,A_spiral,19980,0.7061404193946486
disconnected,direct_2,0.0,reference,B_tree,19982,0.8024727146892976
disconnected,direct_2,0.0,query,all,19979,0.3911961900765383
disconnected,direct_2,0.0,query,A_spiral,19971,0.7051123511506199
disconnected,direct_2,0.0,query,B_tree,19963,0.8064829719214358
disconnected,direct_2,0.25,reference,all,19992,0.2961891872702923
disconnected,direct_2,0.25,reference,A_spiral,19980,0.7287936450156494
disconnected,direct_2,0.25,reference,B_tree,19982,0.7245757454463867
disconnected,direct_2,0.25,query,all,19979,0.30268441533193824
disconnected,direct_2,0.25,query,A_spiral,19971,0.7346676909859862
disconnected,direct_2,0.25,query,B_tree,19963,0.749145810809615
disconnected,direct_2,0.5,reference,all,19992,0.31361549500843744
disconnected,direct_2,0.5,reference,A_spiral,19980,0.7648863370681765
disconnected,direct_2,0.5,reference,B_tree,19982,0.7680226041949368
disconnected,direct_2,0.5,query,all,19979,0.31250980927587474
disconnected,direct_2,0.5,query,A_spiral,19971,0.7689089347834825
disconnected,direct_2,0.5,query,B_tree,19963,0.778498796880774
disconnected,direct_2,0.75,reference,all,19992,0.32114933891504543
disconnected,direct_2,0.75,reference,A_spiral,19980,0.779275495216751
disconnected,direct_2,0.75,reference,B_tree,19982,0.7860815881224344
disconnected,direct_2,0.75,query,all,19979,0.31750255344606676
disconnected,direct_2,0.75,query,A_spiral,19971,0.7749341207185295
disconnected,direct_2,0.75,query,B_tree,19963,0.7940573206231823
disconnected,direct_2,1.0,reference,all,19992,0.3247946452389022
disconnected,direct_2,1.0,reference,A_spiral,19980,0.7854693028318164
disconnected,direct_2,1.0,reference,B_tree,19982,0.7965241353123605
disconnected,direct_2,1.0,query,all,19979,0.32007921839768017
disconnected,direct_2,1.0,query,A_spiral,19971,0.780818387071867
disconnected,direct_2,1.0,query,B_tree,19963,0.8018631008188131
disconnected,spectral_100_pca_2,0.0,reference,all,19992,0.10660313198338757
disconnected,spectral_100_pca_2,0.0,reference,A_spiral,19980,0.36923476581974174
disconnected,spectral_100_pca_2,0.0,reference,B_tree,19982,0.015458030994325954
disconnected,spectral_100_pca_2,0.0,query,all,19979,0.10913773164521372
disconnected,spectral_100_pca_2,0.0,query,A_spiral,19971,0.3733967723352961
disconnected,spectral_100_pca_2,0.0,query,B_tree,19963,0.024545187911117736
disconnected,spectral_100_pca_2,0.25,reference,all,19992,0.1425402156963477
disconnected,spectral_100_pca_2,0.25,reference,A_spiral,19980,0.35504882634577806
disconnected,spectral_100_pca_2,0.25,reference,B_tree,19982,0.07879882189186856
disconnected,spectral_100_pca_2,0.25,query,all,19979,0.14876402421710602
disconnected,spectral_100_pca_2,0.25,query,A_spiral,19971,0.36430795483317546
disconnected,spectral_100_pca_2,0.25,query,B_tree,19963,0.07910637747920213
disconnected,spectral_100_pca_2,0.5,reference,all,19992,0.15657152076552952
disconnected,spectral_100_pca_2,0.5,reference,A_spiral,19980,0.364498084355076
disconnected,spectral_100_pca_2,0.5,reference,B_tree,19982,0.1367138306719498
disconnected,spectral_100_pca_2,0.5,query,all,19979,0.16211219305582955
disconnected,spectral_100_pca_2,0.5,query,A_spiral,19971,0.3670192096442788
disconnected,spectral_100_pca_2,0.5,query,B_tree,19963,0.13920192308353227
disconnected,spectral_100_pca_2,0.75,reference,all,19992,0.1788995581281885
disconnected,spectral_100_pca_2,0.75,reference,A_spiral,19980,0.3861955975479357
disconnected,spectral_100_pca_2,0.75,reference,B_tree,19982,0.1692005714589327
disconnected,spectral_100_pca_2,0.75,query,all,19979,0.18595478631923923
disconnected,spectral_100_pca_2,0.75,query,A_spiral,19971,0.38361191281812757
disconnected,spectral_100_pca_2,0.75,query,B_tree,19963,0.16638222402857916
disconnected,spectral_100_pca_2,1.0,reference,all,19992,0.18607395476917427
disconnected,spectral_100_pca_2,1.0,reference,A_spiral,19980,0.3911944886282782
disconnected,spectral_100_pca_2,1.0,reference,B_tree,19982,0.17846544122257124
disconnected,spectral_100_pca_2,1.0,query,all,19979,0.1910825303790869
disconnected,spectral_100_pca_2,1.0,query,A_spiral,19971,0.3877158629616901
disconnected,spectral_100_pca_2,1.0,query,B_tree,19963,0.1740717366850362
sparse_bridge,pca,1.0,reference,all,19995,1.0
sparse_bridge,pca,1.0,reference,A_spiral,19980,1.0
sparse_bridge,pca,1.0,reference,B_tree,19982,1.0
sparse_bridge,pca,1.0,query,all,19984,0.9999999999999999
sparse_bridge,pca,1.0,query,A_spiral,19963,1.0
sparse_bridge,pca,1.0,query,B_tree,19960,1.0
sparse_bridge,umap,1.0,reference,all,19995,0.4966693032095487
sparse_bridge,umap,1.0,reference,A_spiral,19980,0.3151953321981231
sparse_bridge,umap,1.0,reference,B_tree,19982,0.7361267148325343
sparse_bridge,umap,1.0,query,all,19984,0.49657014823990603
sparse_bridge,umap,1.0,query,A_spiral,19963,0.30491954237368046
