condition,method,stage,split,k,recall
disconnected,pca,1.0,reference,5,1.0
disconnected,pca,1.0,reference,15,1.0
disconnected,pca,1.0,reference,50,1.0
disconnected,pca,1.0,reference,100,1.0
disconnected,pca,1.0,reference,200,1.0
disconnected,pca,1.0,reference,400,1.0
disconnected,pca,1.0,query,5,1.0
disconnected,pca,1.0,query,15,1.0
disconnected,pca,1.0,query,50,1.0
disconnected,pca,1.0,query,100,1.0
disconnected,pca,1.0,query,200,1.0
disconnected,pca,1.0,query,400,1.0
disconnected,umap,1.0,reference,5,0.7538230884557721
disconnected,umap,1.0,reference,15,0.9261869065467266
disconnected,umap,1.0,reference,50,0.972743628185907
disconnected,umap,1.0,reference,100,0.8554347826086958
disconnected,umap,1.0,reference,200,0.5842728635682158
disconnected,umap,1.0,reference,400,0.5368759370314843
disconnected,umap,1.0,query,5,0.6917541229385307
disconnected,umap,1.0,query,15,0.9260369815092455
disconnected,umap,1.0,query,50,0.9734032983508246
disconnected,umap,1.0,query,100,0.860359820089955
disconnected,umap,1.0,query,200,0.5869265367316342
disconnected,umap,1.0,query,400,0.5376611694152924
disconnected,baseline_3_to_2,0.0,reference,5,0.5596701649175412
disconnected,baseline_3_to_2,0.0,reference,15,0.6335332333833084
disconnected,baseline_3_to_2,0.0,reference,50,0.5773313343328337
disconnected,baseline_3_to_2,0.0,reference,100,0.5293178410794603
disconnected,baseline_3_to_2,0.0,reference,200,0.5314917541229385
disconnected,baseline_3_to_2,0.0,reference,400,0.630937031484258
disconnected,baseline_3_to_2,0.0,query,5,0.5739130434782609
disconnected,baseline_3_to_2,0.0,query,15,0.6430784607696152
disconnected,baseline_3_to_2,0.0,query,50,0.5894452773613194
disconnected,baseline_3_to_2,0.0,query,100,0.5346626686656671
disconnected,baseline_3_to_2,0.0,query,200,0.5326386806596702
disconnected,baseline_3_to_2,0.0,query,400,0.6318065967016491
disconnected,baseline_3_to_2,0.25,reference,5,0.08920539730134933
disconnected,baseline_3_to_2,0.25,reference,15,0.2350324837581209
disconnected,baseline_3_to_2,0.25,reference,50,0.4308995502248875
disconnected,baseline_3_to_2,0.25,reference,100,0.4614917541229385
disconnected,baseline_3_to_2,0.25,reference,200,0.4523950524737631
disconnected,baseline_3_to_2,0.25,reference,400,0.5435401049475262
disconnected,baseline_3_to_2,0.25,query,5,0.11754122938530735
disconnected,baseline_3_to_2,0.25,query,15,0.28135932033983013
disconnected,baseline_3_to_2,0.25,query,50,0.47823088455772106
disconnected,baseline_3_to_2,0.25,query,100,0.4941079460269866
disconnected,baseline_3_to_2,0.25,query,200,0.46641679160419786
disconnected,baseline_3_to_2,0.25,query,400,0.5451611694152924
disconnected,baseline_3_to_2,0.5,reference,5,0.14572713643178412
disconnected,baseline_3_to_2,0.5,reference,15,0.38555722138930537
disconnected,baseline_3_to_2,0.5,reference,50,0.5955322338830585
disconnected,baseline_3_to_2,0.5,reference,100,0.5734407796101949
disconnected,baseline_3_to_2,0.5,reference,200,0.5258095952023988
disconnected,baseline_3_to_2,0.5,reference,400,0.6047882308845577
disconnected,baseline_3_to_2,0.5,query,5,0.1904047976011994
disconnected,baseline_3_to_2,0.5,query,15,0.44147926036981516
disconnected,baseline_3_to_2,0.5,query,50,0.6458470764617691
disconnected,baseline_3_to_2,0.5,query,100,0.5964317841079461
disconnected,baseline_3_to_2,0.5,query,200,0.532616191904048
disconnected,baseline_3_to_2,0.5,query,400,0.6063568215892055
disconnected,baseline_3_to_2,0.75,reference,5,0.1686656671664168
disconnected,baseline_3_to_2,0.75,reference,15,0.5491754122938531
disconnected,baseline_3_to_2,0.75,reference,50,0.7428185907046476
disconnected,baseline_3_to_2,0.75,reference,100,0.6646776611694153
disconnected,baseline_3_to_2,0.75,reference,200,0.5595839580209895
disconnected,baseline_3_to_2,0.75,reference,400,0.6192578710644677
disconnected,baseline_3_to_2,0.75,query,5,0.2386806596701649
disconnected,baseline_3_to_2,0.75,query,15,0.6381809095452273
disconnected,baseline_3_to_2,0.75,query,50,0.7676461769115442
disconnected,baseline_3_to_2,0.75,query,100,0.676071964017991
disconnected,baseline_3_to_2,0.75,query,200,0.5654272863568216
disconnected,baseline_3_to_2,0.75,query,400,0.6215254872563718
disconnected,baseline_3_to_2,1.0,reference,5,0.7520239880059969
disconnected,baseline_3_to_2,1.0,reference,15,0.8790604697651176
disconnected,baseline_3_to_2,1.0,reference,50,0.8377211394302848
disconnected,baseline_3_to_2,1.0,reference,100,0.6961694152923539
disconnected,baseline_3_to_2,1.0,reference,200,0.5715892053973014
disconnected,baseline_3_to_2,1.0,reference,400,0.625650299850075
disconnected,baseline_3_to_2,1.0,query,5,0.713943028485757
disconnected,baseline_3_to_2,1.0,query,15,0.8833583208395803
disconnected,baseline_3_to_2,1.0,query,50,0.8423988005997002
disconnected,baseline_3_to_2,1.0,query,100,0.7002548725637182
disconnected,baseline_3_to_2,1.0,query,200,0.5737556221889055
disconnected,baseline_3_to_2,1.0,query,400,0.6262781109445277
disconnected,direct_2,0.0,reference,5,0.6400299850074962
disconnected,direct_2,0.0,reference,15,0.7463268365817092
disconnected,direct_2,0.0,reference,50,0.7087106446776612
disconnected,direct_2,0.0,reference,100,0.6211094452773612
disconnected,direct_2,0.0,reference,200,0.5987293853073463
disconnected,direct_2,0.0,reference,400,0.6560813343328337
disconnected,direct_2,0.0,query,5,0.6392803598200899
disconnected,direct_2,0.0,query,15,0.7478260869565218
disconnected,direct_2,0.0,query,50,0.7161619190404798
disconnected,direct_2,0.0,query,100,0.6276611694152924
disconnected,direct_2,0.0,query,200,0.6007046476761618
disconnected,direct_2,0.0,query,400,0.6563643178410794
disconnected,direct_2,0.25,reference,5,0.083808095952024
disconnected,direct_2,0.25,reference,15,0.2351824087956022
disconnected,direct_2,0.25,reference,50,0.4370314842578711
disconnected,direct_2,0.25,reference,100,0.502503748125937
disconnected,direct_2,0.25,reference,200,0.5980622188905548
disconnected,direct_2,0.25,reference,400,0.6848444527736132
disconnected,direct_2,0.25,query,5,0.11664167916041979
disconnected,direct_2,0.25,query,15,0.2779610194902548
disconnected,direct_2,0.25,query,50,0.48602698650674664
disconnected,direct_2,0.25,query,100,0.5358920539730135
disconnected,direct_2,0.25,query,200,0.6096551724137931
disconnected,direct_2,0.25,query,400,0.6897413793103448
