step,loss
1,2.435465285088867e-05
2,0.0024199169129133224
3,0.00012476331903599203
4,0.0002133950765710324
5,0.0004320800071582198
6,0.000408830150263384
7,0.00021633032883983105
8,7.426776573993266e-05
9,6.90619635861367e-05
10,9.867896005744115e-05
11,0.00011558373807929456
12,8.296467422042042e-05
13,5.2992894779890776e-05
14,3.622652729973197e-05
15,3.2838030165294185e-05
16,2.9959908715682104e-05
17,3.8187332393135875e-05
18,3.708221629494801e-05
19,4.403332422953099e-05
20,3.458966966718435e-05
21,3.539824319886975e-05
22,3.482369356788695e-05
23,3.3485495805507526e-05
24,3.585411832318641e-05
25,2.9394166631391272e-05
26,2.627746835059952e-05
27,2.7734706236515194e-05
28,2.2957281544222496e-05
29,3.0024863008293323e-05
30,2.5244571588700637e-05
31,2.649566340551246e-05
32,2.605974077596329e-05
33,2.100149322359357e-05
34,2.0041105017298833e-05
35,2.517345637897961e-05
36,2.296253114764113e-05
37,2.4717704945942387e-05
38,2.0380763089633547e-05
39,2.204983502451796e-05
40,2.4966744604171254e-05
41,2.6027972126030363e-05
42,2.8373908207868226e-05
43,2.201200186391361e-05
44,2.344255699426867e-05
45,2.871196556952782e-05
46,2.2123153030406684e-05
47,2.5903593268594705e-05
48,2.1283987734932452e-05
49,2.5052886485354975e-05
50,3.0798713851254433e-05
51,2.4188742827391252e-05
52,2.502225834177807e-05
53,2.170839434256777e-05
54,2.6419676942168735e-05
55,2.4764369300100952e-05
56,2.277166277053766e-05
57,2.6249301299685612e-05
58,2.4400933398283087e-05
59,2.8260605176910758e-05
60,2.6271929527865723e-05
61,2.321566171303857e-05
62,2.592103737697471e-05
63,2.625413799250964e-05
64,2.196050263592042e-05
65,2.3370688722934574e-05
66,3.046151323360391e-05
67,2.6273592084180564e-05
68,2.667482476681471e-05
69,2.1498673959285952e-05
70,2.649325324455276e-05
71,2.4726969058974646e-05
72,2.397276330157183e-05
73,2.705535189306829e-05
74,2.1750256564700976e-05
75,2.139229400199838e-05
76,2.3865964976721443e-05
77,2.085788582917303e-05
78,2.266442243126221e-05
79,2.0801753635169007e-05
80,2.165561272704508e-05
81,2.2283951693680137e-05
82,2.4182922061299905e-05
83,2.5518460461171344e-05
84,2.4559065423090942e-05
85,1.9883285858668387e-05
86,2.4321831006091088e-05
87,2.3642414817004465e-05
88,2.4688330086064525e-05
89,2.3580791093991138e-05
90,2.2408410586649552e-05
91,2.6985177100868896e-05
92,2.4201872292906046e-05
93,2.4056844267761335e-05
94,2.964290979434736e-05
95,2.5939718398149125e-05
96,2.2208540030987933e-05
97,2.278089232277125e-05
98,2.3953190975589678e-05
99,2.2550875655724667e-05
100,2.2156456907396205e-05
101,1.8415405065752566e-05
102,2.4881977878976613e-05
103,2.18673339986708e-05
104,2.1858595573576167e-05
105,2.182968455599621e-05
106,2.2833672119304538e-05
107,2.9975817597005516e-05
108,2.195003253291361e-05
109,2.2941454517422244e-05
110,2.154682806576602e-05
111,2.0114983271923847e-05
112,1.9909564798581414e-05
113,2.0793519070139155e-05
114,2.7659589250106364e-05
115,2.3062142645358108e-05
116,2.3004686227068305e-05
117,2.1973688490106724e-05
118,2.512070568627678e-05
119,2.2920452465768903e-05
120,2.4484048481099308e-05
121,2.2096097382018343e-05
122,2.3758166207699105e-05
123,2.2776224795961753e-05
124,3.447784547461197e-05
125,2.7760775992646813e-05
126,3.154459045617841e-05
127,2.100305755448062e-05
128,2.1408864995464683e-05
129,1.8060722140944563e-05
130,2.1902407752349973e-05
131,2.195878369093407e-05
132,2.3516604414908215e-05
133,2.7384703571442515e-05
134,2.3556074665975757e-05
135,1.9581724700401537e-05
136,2.2349267965182662e-05
137,2.0652738385251723e-05
138,2.2826719941804186e-05
139,2.3362270439974964e-05
140,2.0668605429818854e-05
141,2.14505289477529e-05
142,1.8728816939983517e-05
143,2.610138471936807e-05
144,2.298579966009129e-05
145,2.0951945771230385e-05
146,2.4437184038106352e-05
147,2.2269925466389395e-05
148,3.808870314969681e-05
149,2.5393912437721156e-05
150,2.141387631127145e-05
151,2.5938836188288406e-05
152,2.3437460185959935e-05
153,2.1900188585277647e-05
154,2.185785888286773e-05
155,2.0688527001766488e-05
156,1.9204928321414627e-05
157,2.9320732210180722e-05
158,2.1031530195614323e-05
159,2.593039971543476e-05
160,3.374085281393491e-05
161,2.7790700187324546e-05
162,2.1299310901667923e-05
163,2.412846515653655e-05
164,2.458195376675576e-05
165,2.102467078657355e-05
166,2.1548396034631878e-05
167,2.2268972315941937e-05
168,2.2814771000412293e-05
169,2.3874277758295648e-05
170,2.2432877813116647e-05
171,2.2808868379797786e-05
172,2.1537211068789475e-05
173,2.454658351780381e-05
174,1.9083645383943804e-05
175,2.1449521227623336e-05
176,2.161987140425481e-05
177,2.2445557988248765e-05
178,2.3282973415916786e-05
179,2.248278360639233e-05
180,2.3525150027126074e-05
181,2.432753717585001e-05
182,2.3103948478819802e-05
183,2.3287590011022985e-05
184,2.2063493815949187e-05
185,2.030350879067555e-05
186,2.4410044716205448e-05
187,2.372967719566077e-05
188,2.1525207557715476e-05
189,2.1956913769827224e-05
190,1.866019010776654e-05
191,2.2632495529251173e-05
192,2.2880358301335946e-05
193,2.7450971174403094e-05
194,3.0131663152133115e-05
195,2.4797813239274547e-05
196,2.1652045688824728e-05
197,2.231937469332479e-05
198,2.5977016775868833e-05
199,2.2068139514885843e-05
200,2.212307481386233e-05
201,2.0366454918985255e-05
202,2.206557837780565e-05
203,2.8380254661897197e-05
204,2.2114560124464333e-05
205,2.0432675228221342e-05
206,2.2239808458834887e-05
207,2.186450728913769e-05
208,2.2462918423116207e-05
209,2.5183589968946762e-05
210,2.0923900592606515e-05
211,2.7823272830573842e-05
212,2.2394495317712426e-05
213,2.1580952306976542e-05
214,2.8303504223003983e-05
215,2.7124586267746054e-05
216,2.0350054910522886e-05
217,1.9836963474517688e-05
218,2.280047738167923e-05
219,2.2634972992818803e-05
220,2.176964517275337e-05
221,3.174019730067812e-05
222,2.0218052668496966e-05
223,2.463274540787097e-05
224,2.1148222003830597e-05
225,2.4149547243723646e-05
226,2.0306168153183535e-05
227,2.1447300241561607e-05
228,2.0321800548117608e-05
229,2.2072885258239694e-05
230,2.165328805858735e-05
231,2.2427044314099476e-05
232,2.0350196791696362e-05
233,2.2935997549211606e-05
234,2.4267961634905078e-05
235,2.3680935555603355e-05
236,2.8075115551473573e-05
237,2.139872231055051e-05
238,2.299644984304905e-05
239,2.4600387405371293e-05
240,2.407083593425341e-05
241,2.5376140911248513e-05
242,2.059663165709935e-05
