step,loss
1,3.2584721338935196e-05
2,0.0012386422604322433
3,6.820008275099099e-05
4,0.00016031390987336636
5,0.0002716495073400438
6,0.00029158921097405255
7,0.00015198026085272431
8,5.439879896584898e-05
9,3.9399157685693353e-05
10,5.7323275541421026e-05
11,7.70368060329929e-05
12,6.663387466687709e-05
13,4.830441321246326e-05
14,4.007218740298413e-05
15,3.2402942451881245e-05
16,3.07827431242913e-05
17,3.321330950711854e-05
18,3.794121585087851e-05
19,3.720642416737974e-05
20,3.624798046075739e-05
21,4.7280882427003235e-05
22,3.666739576146938e-05
23,3.4323289582971483e-05
24,3.661510709207505e-05
25,3.0836963560432196e-05
26,2.810336991387885e-05
27,2.649755697348155e-05
28,2.612949174363166e-05
29,3.4402029996272177e-05
30,2.9206408726167865e-05
31,2.6597164833219722e-05
32,2.7336740458849818e-05
33,2.6431769583723508e-05
34,2.5953020667657256e-05
35,2.7510575819178484e-05
36,2.2862750483909622e-05
37,2.7129050067742355e-05
38,2.0740077161462978e-05
39,2.5041437766049057e-05
40,2.9954117053421214e-05
41,3.5080483939964324e-05
42,2.995511567860376e-05
43,2.5363620807183906e-05
44,2.47938914981205e-05
45,2.9479535442078486e-05
46,2.6483590772841126e-05
47,2.8822636522818357e-05
48,2.917769415944349e-05
49,3.658999048639089e-05
50,2.7879452318302356e-05
51,2.4892342480598018e-05
52,2.8127247787779197e-05
53,2.474684515618719e-05
54,3.426166222197935e-05
55,2.8632875910261646e-05
56,2.642618892423343e-05
57,2.8980584829696454e-05
58,2.5798610295169055e-05
59,3.0311477530631237e-05
60,2.983678314194549e-05
61,2.4513425159966573e-05
62,2.6180654458585195e-05
63,2.885206777136773e-05
64,2.577868872322142e-05
65,2.4649234546814114e-05
66,2.9142884159227833e-05
67,3.097216540481895e-05
68,2.8044618375133723e-05
69,2.363552266615443e-05
70,2.9830654966644943e-05
71,2.5500045012449846e-05
72,2.9816399546689354e-05
73,2.8211812605150044e-05
74,2.5948567781597376e-05
75,2.796995613607578e-05
76,2.8793991077691317e-05
77,2.6947154765366577e-05
78,2.4130597012117505e-05
79,2.4449327611364424e-05
80,2.637890247569885e-05
81,2.734614463406615e-05
82,2.5672952688182704e-05
83,2.8210946766193956e-05
84,2.964089253509883e-05
85,2.308617149537895e-05
86,2.4823330022627488e-05
87,2.6735484425444156e-05
88,2.4912751541705802e-05
89,3.1639265216654167e-05
90,2.6352085114922374e-05
91,2.8525697416625917e-05
92,2.826857235049829e-05
93,2.7754625989473425e-05
94,2.404163751634769e-05
95,3.0300108846859075e-05
96,2.544832750572823e-05
97,2.8808019123971462e-05
98,2.3132646674639545e-05
99,2.9035152692813426e-05
100,2.3818678528186865e-05
101,2.2456668375525624e-05
102,2.8489606847870164e-05
103,2.2800988517701626e-05
104,2.736723399721086e-05
105,2.9198703487054445e-05
106,2.8511440177680925e-05
107,2.787708945106715e-05
108,2.456350193824619e-05
109,2.981930083478801e-05
110,3.142600326100364e-05
111,2.645935455802828e-05
112,2.955210948130116e-05
113,2.6096276997122914e-05
114,2.5469635147601366e-05
115,2.343784763070289e-05
116,2.833035250660032e-05
117,2.2653479391010478e-05
118,3.708325311890803e-05
119,2.9328462915145792e-05
120,2.9821021598763764e-05
121,2.3518303351011127e-05
122,2.6654317480279133e-05
123,2.7329147997079417e-05
124,3.1432831747224554e-05
125,2.69778429355938e-05
126,2.6630208594724536e-05
127,2.598093487904407e-05
128,2.269733158755116e-05
129,2.2925945813767612e-05
130,2.5512001229799353e-05
131,2.4356537323910743e-05
132,2.692229645617772e-05
133,2.714516995183658e-05
134,2.6089763196068816e-05
135,2.0859075448242947e-05
136,2.5661543986643665e-05
137,2.6869973225984722e-05
138,2.7098056307295337e-05
139,2.868391493393574e-05
140,2.8643418772844598e-05
141,2.5776367692742497e-05
142,2.419441989331972e-05
143,2.754477463895455e-05
144,2.843414040398784e-05
145,2.364064312132541e-05
146,2.645051063154824e-05
147,2.620278246467933e-05
148,2.6775727747008204e-05
149,2.1892819859203883e-05
150,2.7685466193361208e-05
151,2.6090056053362787e-05
152,3.171877688146196e-05
153,2.7028791009797715e-05
154,2.4929342544055544e-05
155,2.5842182367341593e-05
156,2.174589826609008e-05
157,2.9183411243138835e-05
158,2.602987296995707e-05
159,2.9743201594101265e-05
160,3.073109837714583e-05
161,2.6240275474265218e-05
162,2.6361180061940104e-05
163,3.0221795896068215e-05
164,2.8578344426932745e-05
165,2.1821797417942435e-05
166,2.3666454580961727e-05
167,3.220302096451633e-05
168,2.648385998327285e-05
169,3.6200428439769894e-05
170,2.2486190573545173e-05
171,2.7861788112204522e-05
172,2.9222203011158854e-05
173,2.5300490960944444e-05
174,2.4368997401325032e-05
175,2.2681375412503257e-05
176,2.8569484129548073e-05
177,2.312507785973139e-05
178,2.9561146220657974e-05
179,2.9061324312351644e-05
180,2.6155990781262517e-05
181,2.6557849196251482e-05
182,2.5184519472531974e-05
183,2.5170478693326004e-05
184,2.3433560272678733e-05
185,2.7916777980863117e-05
186,2.5498255126876757e-05
187,2.6021878511528485e-05
188,2.5176774215651676e-05
189,2.772251536953263e-05
190,2.283349385834299e-05
191,2.3956161385285668e-05
192,3.0851100746076554e-05
193,3.2024643587647006e-05
194,3.0576375138480216e-05
195,2.7365913410903886e-05
196,2.483463686075993e-05
197,2.5978919438784942e-05
198,2.5322919100290164e-05
199,2.5038352760020643e-05
200,3.0296640034066513e-05
201,2.543968912505079e-05
202,2.7797887014457956e-05
203,3.101672336924821e-05
204,2.932809184130747e-05
205,2.4236283934442326e-05
206,2.6788769901031628e-05
207,2.533785482228268e-05
208,2.7214759029448032e-05
209,2.3765634978190064e-05
210,2.8002312319586053e-05
211,3.417256448301487e-05
212,2.2487925889436156e-05
213,2.7999685698887333e-05
214,2.7582042093854398e-05
215,2.696710726013407e-05
216,2.2232143237488344e-05
217,2.4857119569787756e-05
218,2.7082989618065767e-05
219,2.539914203225635e-05
220,2.5240931790904142e-05
221,2.8566746550495736e-05
222,2.834421320585534e-05
