step,loss
1,2.9558646929217502e-05
2,0.0018508542561903596
3,0.00013741372094955295
4,0.00020720085012726486
5,0.000376713287550956
6,0.000422928249463439
7,0.00020771901472471654
8,8.912976045394316e-05
9,4.2001855035778135e-05
10,6.622306682402268e-05
11,8.480245742248371e-05
12,7.371985702775419e-05
13,6.131392729002982e-05
14,4.358356090961024e-05
15,3.689853838295676e-05
16,3.419098356971517e-05
17,2.9060729502816685e-05
18,4.245623495080508e-05
19,2.996341027028393e-05
20,2.6965381039190106e-05
21,6.60447112750262e-05
22,3.980971814598888e-05
23,3.340095281600952e-05
24,3.2392570574302226e-05
25,2.810701153066475e-05
26,3.4474909625714645e-05
27,3.037112401216291e-05
28,2.679276622075122e-05
29,3.286057835794054e-05
30,2.427224717393983e-05
31,2.8669150196947157e-05
32,2.9817318136338145e-05
33,2.712032073759474e-05
34,3.0406041332753375e-05
35,2.7572659746510908e-05
36,2.540442073950544e-05
37,3.9632435800740495e-05
38,2.3478802177123725e-05
39,2.4685159587534145e-05
40,2.4570523237343878e-05
41,5.500160114024766e-05
42,2.5956975150620565e-05
43,2.8243439373909496e-05
44,2.6624007659847848e-05
45,2.76768951152917e-05
46,2.3014386897557415e-05
47,3.884660327457823e-05
48,2.4414845029241405e-05
49,4.044078377773985e-05
50,2.451476757414639e-05
51,2.2462014385382645e-05
52,2.2104684830992483e-05
53,2.160457006539218e-05
54,3.979144094046205e-05
55,3.689223012770526e-05
56,2.245956966362428e-05
57,3.738388477358967e-05
58,2.5192515749949962e-05
59,2.7313808459439315e-05
60,2.8562637453433126e-05
61,2.7614780265139416e-05
62,2.1229709091130644e-05
63,2.8631597160710953e-05
64,2.3447048079106025e-05
65,2.5794692191993818e-05
66,4.914110104436986e-05
67,2.6915302441921085e-05
68,2.861186658265069e-05
69,2.341990330023691e-05
70,2.2925982193555683e-05
71,2.526725802454166e-05
72,2.5178251235047355e-05
73,2.5051624106708914e-05
74,3.106233270955272e-05
75,2.749113627942279e-05
76,2.6197561965091154e-05
77,2.218192457803525e-05
78,2.8465077775763348e-05
79,2.856048558896873e-05
80,2.7034348022425547e-05
81,2.5286257368861698e-05
82,2.3480673917219974e-05
83,2.41596808336908e-05
84,2.596227204776369e-05
85,2.0986561139579862e-05
86,2.6756295483210124e-05
87,2.8740505513269454e-05
88,2.4182481865864247e-05
89,2.28468870773213e-05
90,2.614004915812984e-05
91,3.235241456422955e-05
92,3.09421302517876e-05
93,2.4879107513697818e-05
94,4.04756392526906e-05
95,2.6111745683010668e-05
96,2.3109465473680757e-05
97,2.2183823602972552e-05
98,2.6376364985480905e-05
99,2.2334375898935832e-05
100,2.327406036783941e-05
101,2.0932609913870692e-05
102,3.4062286431435496e-05
103,3.0052975489525124e-05
104,2.3473570763599128e-05
105,2.4130156816681847e-05
106,2.2319065465126187e-05
107,2.439745730953291e-05
108,2.6195619284408167e-05
109,2.626012974360492e-05
110,2.3634962417418137e-05
111,2.7421501727076247e-05
112,2.646280699991621e-05
113,2.2894229914527386e-05
114,3.788826143136248e-05
115,2.481583578628488e-05
116,2.4748160285525955e-05
117,2.6865531253861263e-05
118,3.127694071736187e-05
119,2.07714329008013e-05
120,3.0076644179644063e-05
121,2.4211607524193823e-05
122,2.23800670937635e-05
123,2.478509850334376e-05
124,3.884595935232937e-05
125,2.5938030375982635e-05
126,3.150040720356628e-05
127,2.601739834062755e-05
128,2.5666611691121943e-05
129,2.225431308033876e-05
130,4.2664592911023647e-05
131,2.3100883481674828e-05
132,2.36723917623749e-05
133,4.050203278893605e-05
134,2.627852518344298e-05
135,4.197511589154601e-05
136,2.7070256692240946e-05
137,2.1375080905272625e-05
138,2.258066160720773e-05
139,2.3885408154455945e-05
140,2.4668082915013656e-05
141,2.4531238523195498e-05
142,3.1021449103718624e-05
143,4.2676601879065856e-05
144,2.5149045541184023e-05
145,2.3738542950013652e-05
146,3.139030741294846e-05
147,2.2988891942077316e-05
148,3.8102924008853734e-05
149,2.464120370859746e-05
150,2.365560067119077e-05
151,2.369078174524475e-05
152,2.9393322620308027e-05
153,2.227022014267277e-05
154,2.5446028303122148e-05
155,2.3663667889195494e-05
156,2.1557021682383493e-05
157,3.8587822928093374e-05
158,2.373783354414627e-05
159,3.1403396860696375e-05
160,2.8767059120582417e-05
