step,loss
1,2.6839912607101724e-05
2,0.0018505007028579712
3,0.00010709041816880926
4,0.00017472810577601194
5,0.00038768688682466745
6,0.00037082817289046943
7,0.0001581872347742319
8,7.057702168822289e-05
9,5.4965654271654785e-05
10,9.163117647403851e-05
11,0.0001013425353448838
12,8.115118544083089e-05
13,4.5341323129832745e-05
14,3.2352931157220155e-05
15,2.86227459582733e-05
16,2.8586640837602317e-05
17,3.336763256811537e-05
18,4.460245691007003e-05
19,3.7619724025717005e-05
20,4.574737249640748e-05
21,6.461370503529906e-05
22,3.548622771631926e-05
23,3.0677274480694905e-05
24,2.7540580049389973e-05
25,2.401272467977833e-05
26,3.060228846152313e-05
27,2.678884266060777e-05
28,2.3241620510816574e-05
29,2.432010296615772e-05
30,2.460594623698853e-05
31,2.52366007771343e-05
32,2.4243012376246043e-05
33,2.292952558491379e-05
34,2.6332249035476707e-05
35,2.1758260118076578e-05
36,2.244153802166693e-05
37,2.1718660718761384e-05
38,2.104571831296198e-05
39,2.1962767277727835e-05
40,2.1652987925335765e-05
41,3.8179114199010655e-05
42,2.865931674023159e-05
43,3.3331460144836456e-05
44,2.4380075046792626e-05
45,3.6024837754666805e-05
46,2.4152697733370587e-05
47,3.047106474696193e-05
48,2.1706426196033135e-05
49,3.312001354061067e-05
50,1.9625045752036385e-05
51,2.3326845621340908e-05
52,2.1039548300905153e-05
53,2.0042481992277317e-05
54,2.6250072551192716e-05
55,2.3364817025139928e-05
56,2.2132207959657535e-05
57,3.046861274924595e-05
58,2.411948298686184e-05
59,2.321056672371924e-05
60,2.5601584638934582e-05
61,3.09823990392033e-05
62,2.2096854081610218e-05
63,2.5498653485556133e-05
64,2.3406448235618882e-05
65,2.5083707441808656e-05
66,2.629711161716841e-05
67,2.3151580535341054e-05
68,2.5777468181331642e-05
69,2.3987422537175007e-05
70,1.98289671970997e-05
71,2.508853685867507e-05
72,2.2642128897132352e-05
73,2.3620075808139518e-05
74,2.172496897401288e-05
75,3.0013332434464246e-05
76,2.3989094188436866e-05
77,2.16336666198913e-05
78,2.1007452232879587e-05
79,2.431911343592219e-05
80,2.0731713448185474e-05
81,2.0918920199619606e-05
82,1.9125522157992236e-05
83,2.4951643354143016e-05
84,2.301436325069517e-05
85,2.272205165354535e-05
86,2.3018012143438682e-05
87,2.2401149180950597e-05
88,2.12838076549815e-05
89,2.085379855998326e-05
90,2.765540557447821e-05
91,3.1930238037602976e-05
92,2.541611138440203e-05
93,2.493600004527252e-05
94,2.3412019800161943e-05
95,2.299509651493281e-05
96,2.3999245968298055e-05
97,2.7277892513666302e-05
98,1.9210041500627995e-05
99,2.108126864186488e-05
100,2.1728606952819973e-05
101,2.0432660676306114e-05
102,2.356597178732045e-05
103,2.1653804651577957e-05
104,2.130832217517309e-05
105,2.6373752916697413e-05
106,2.6510399038670585e-05
107,3.35172371705994e-05
108,2.180258888984099e-05
109,3.397200634935871e-05
110,4.3624822865240276e-05
111,2.2398196961148642e-05
112,3.0580929887946695e-05
113,2.0403729649842717e-05
114,2.1249894416541792e-05
115,2.135623071808368e-05
116,2.2080643248045817e-05
117,2.2480056941276416e-05
118,3.8111102185212076e-05
119,1.9371002053958364e-05
120,2.6364778022980317e-05
121,1.9744951714528725e-05
122,2.3625749236089177e-05
123,2.4199584004236385e-05
124,2.8920956538058817e-05
125,3.1420684535987675e-05
126,2.825999581546057e-05
127,2.5555395041010343e-05
128,2.1396317606559023e-05
129,2.051733827101998e-05
130,2.385328298259992e-05
131,2.135424620064441e-05
132,2.4921408112277277e-05
133,2.8137594199506566e-05
134,3.2170835766009986e-05
135,5.582872108789161e-05
136,2.4297876734635793e-05
137,2.2895967049407773e-05
138,2.2343876480590552e-05
139,2.252579179184977e-05
140,2.1945541448076256e-05
141,2.2385931515600532e-05
142,1.956217056431342e-05
143,2.593918179627508e-05
144,2.155788206437137e-05
145,2.1117773940204643e-05
146,2.7037753170588985e-05
147,1.9662089471239597e-05
148,3.1564639357384294e-05
149,2.20442634599749e-05
150,2.3381358914775774e-05
151,1.9891702322638594e-05
152,2.2109492419986054e-05
153,2.229959864052944e-05
154,1.883439654193353e-05
155,2.2667771190754138e-05
156,2.1153038687771186e-05
157,2.7839258109452203e-05
158,2.2905249352334067e-05
159,2.464829958626069e-05
160,2.5308196200057864e-05
161,2.3812521249055862e-05
162,2.558813866926357e-05
163,2.8189511795062572e-05
164,3.188266418874264e-05
165,1.9603798136813566e-05
166,2.0857292838627473e-05
167,2.0396546460688114e-05
168,2.1795891370857134e-05
169,4.005579467047937e-05
170,1.8342838302487507e-05
171,2.0231585949659348e-05
172,2.19159646803746e-05
173,2.9274810003698803e-05
174,2.0271967514418066e-05
175,3.468374052317813e-05
176,3.105128416791558e-05
177,2.1139607270015404e-05
178,2.2216410798137076e-05
179,2.2349429855239578e-05
180,2.321274223504588e-05
181,2.148544263036456e-05
182,2.9207665647845715e-05
183,2.1700005163438618e-05
184,2.1132724214112386e-05
185,2.2789059585193172e-05
186,2.4457258405163884e-05
187,2.2070535123930313e-05
188,2.6786648959387094e-05
189,2.251466503366828e-05
190,1.9362923922017217e-05
191,1.879777482827194e-05
192,2.3366124878521077e-05
193,2.650505120982416e-05
194,2.318179940630216e-05
195,4.582579276757315e-05
196,2.1201347408350557e-05
197,2.1739553631050512e-05
198,2.4232744181063026e-05
199,2.2132360754767433e-05
200,2.0209981812513433e-05
201,2.6659665309125558e-05
202,2.1307667338987812e-05
203,2.552969272073824e-05
204,2.2110256395535544e-05
205,2.1196692614466883e-05
206,4.6394881792366505e-05
207,2.5738307158462703e-05
208,2.019520616158843e-05
209,2.029520328505896e-05
210,3.242871389375068e-05
211,2.4735438273637556e-05
212,3.91161120205652e-05
213,1.9712992070708424e-05
214,2.5530427592457272e-05
215,2.734348163357936e-05
216,2.8451824618969113e-05
217,2.1032183212810196e-05
218,2.3542468625237234e-05
219,2.341740946576465e-05
220,2.0910236344207078e-05
221,2.3690528905717656e-05
222,2.2978350898483768e-05
223,1.8964477931149304e-05
224,1.9274446458439343e-05
225,2.99670373351546e-05
226,2.2420012101065367e-05
227,2.331008181499783e-05
228,1.6973881429294124e-05
229,1.9082133803749457e-05
230,1.9876231817761436e-05
231,2.090875386784319e-05
232,4.228319812682457e-05
233,2.210933598689735e-05
234,2.325226887478493e-05
235,3.012822344317101e-05
236,2.456303991493769e-05
237,2.2328651539282873e-05
238,2.5547313271090388e-05
239,2.2319522031466477e-05
240,3.281671160948463e-05
241,2.1033376469858922e-05
242,2.1075755284982733e-05
243,2.380517435085494e-05
244,2.2521255232277326e-05
245,1.9041566702071577e-05
246,3.273498805356212e-05
247,1.981753302970901e-05
248,2.5810368242673576e-05
249,1.807428998290561e-05
250,2.437935836496763e-05
251,2.26474894589046e-05
252,2.0634393877116963e-05
