method,group,metric,n_queries,mean,display_mean,median,stage_counts,split,training_seed
standard_umap,all,recall_at_15,6206,0.07737673219465031,7.737673219465031,0.0666666666666666,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
standard_umap,all,ndcg,6206,0.07986746638929569,0.07986746638929569,0.0475902379018706,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
standard_umap,all,density_log_distortion,6206,0.24646322605876797,0.24646322605876797,0.187839685,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
reduced_repulsion_umap,all,recall_at_15,6206,0.07556128477817163,7.556128477817163,0.0666666666666666,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
reduced_repulsion_umap,all,ndcg,6206,0.07780742477320376,0.07780742477320376,0.0475902379018706,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
reduced_repulsion_umap,all,density_log_distortion,6206,0.24160942605265018,0.24160942605265018,0.195256135,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
weighted_knn,all,recall_at_15,6206,0.06084434418304865,6.084434418304864,0.0,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
weighted_knn,all,ndcg,6206,0.06164419417144631,0.06164419417144631,0.0,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
weighted_knn,all,density_log_distortion,6206,0.3079926527419955,0.3079926527419955,0.19801722,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
uniform_mc,all,recall_at_15,6206,0.09058975185304541,9.05897518530454,0.0666666666666666,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
uniform_mc,all,ndcg,6206,0.09459041494541238,0.09459041494541238,0.0568697394262015,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
uniform_mc,all,density_log_distortion,6206,0.26570029874047696,0.26570029874047696,0.21985577,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
fit_grid,all,recall_at_15,6206,0.09104092813406377,9.104092813406377,0.0666666666666666,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
fit_grid,all,ndcg,6206,0.09503149607614308,0.09503149607614308,0.0568697394262015,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
fit_grid,all,density_log_distortion,6206,0.26573955397182886,0.26573955397182886,0.21543979000000002,"{""2-3"": 1474, ""6-7"": 1309, ""8-9"": 1260, ""4-5"": 1248, ""0-1"": 915}",existing split,not recorded in run metadata
