context,split,training_seed,method,region,n_points,rmse,cosine,cosine_valid_count,error_median,error_p05,error_p95,rmse_definition,time_label,t,source,saved_exact_metrics,fit_grid_over_uniform_rmse,missing_reason
existing,existing split,not recorded in run metadata,uniform_mc,near reference trajectory,1000.0,0.01203665066214636,0.7298544684433689,1000.0,0.007261194867517914,0.0017464526512362645,0.02412954794490751,"sqrt(mean(sum((pred-exact)^2,axis=2D)))",,,,,0.887225487800612,
existing,existing split,not recorded in run metadata,fit_grid,near reference trajectory,1000.0,0.010679223255208363,0.7781554499593936,1000.0,0.006138375263589271,0.001433422648889271,0.021010084203761,"sqrt(mean(sum((pred-exact)^2,axis=2D)))",,,,,0.887225487800612,
temporal0,temporal holdout,0,uniform_mc,near reference trajectory,1000.0,0.012886988645718842,0.7478673238856144,1000.0,0.0077489774072114406,0.0018773675725492168,0.026031394242439103,"sqrt(mean(sum((pred-exact)^2,axis=2D)))",,,,,0.7925876854785036,
temporal0,temporal holdout,0,fit_grid,near reference trajectory,1000.0,0.010214068503498052,0.8220534187220055,1000.0,0.006432547349475697,0.0012190284608834816,0.01955640780963452,"sqrt(mean(sum((pred-exact)^2,axis=2D)))",,,,,0.7925876854785036,
temporal1,temporal holdout,1,uniform_mc,near reference trajectory,1000.0,0.012292810712018818,0.7380094484365033,1000.0,0.007786040791565531,0.0018965304221139638,0.024456810351505803,"sqrt(mean(sum((pred-exact)^2,axis=2D)))",,,,,0.7918781060552262,
temporal1,temporal holdout,1,fit_grid,near reference trajectory,1000.0,0.00973440766472886,0.8272366314065455,1000.0,0.005999119307419396,0.0011512269121880128,0.01879784284352549,"sqrt(mean(sum((pred-exact)^2,axis=2D)))",,,,,0.7918781060552262,
existing,existing split,not recorded in run metadata,uniform_mc,spatial grid,300.0,0.009414812733060829,0.6981713175773621,,,,,sqrt(saved vs_exact.b_phi.mse_mean),mixed,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 8.863869879860431e-05, ""mse_median"": 3.950455356971361e-05, ""mse_ci95"": [7.267705732374452e-05, 0.00010510527008591451], ""cosine_mean"": 0.6981713175773621, ""magnitude_error_mean"": 0.006234120111912489}",1.0981144792606183,
existing,existing split,not recorded in run metadata,fit_grid,spatial grid,300.0,0.01033854218170133,0.6536903977394104,,,,,sqrt(saved vs_exact.b_phi.mse_mean),mixed,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.00010688545444281772, ""mse_median"": 4.00849457946606e-05, ""mse_ci95"": [8.437354990746826e-05, 0.00013357732641452457], ""cosine_mean"": 0.6536903977394104, ""magnitude_error_mean"": 0.006798143498599529}",1.0981144792606183,
temporal0,temporal holdout,0,uniform_mc,spatial grid,300.0,0.011736882481684797,0.7747644186019897,,,,,sqrt(saved vs_exact.b_phi.mse_mean),mixed,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.00013775441038887948, ""mse_median"": 4.790452658198774e-05, ""mse_ci95"": [0.00010587245596980211, 0.00017630940346862188], ""cosine_mean"": 0.7747644186019897, ""magnitude_error_mean"": 0.007621176075190306}",1.6793228958713218,
temporal0,temporal holdout,0,fit_grid,spatial grid,300.0,0.0197100154776443,0.6015709042549133,,,,,sqrt(saved vs_exact.b_phi.mse_mean),mixed,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.0003884847101289779, ""mse_median"": 4.6811383072054014e-05, ""mse_ci95"": [0.0002645699554705061, 0.0005468081042636185], ""cosine_mean"": 0.6015709042549133, ""magnitude_error_mean"": 0.011029746383428574}",1.6793228958713218,
temporal1,temporal holdout,1,uniform_mc,spatial grid,,,,,,,,,,,,,,not saved
temporal1,temporal holdout,1,fit_grid,spatial grid,,,,,,,,,,,,,,not saved
