method,group,stage,color,reference_count,query_count,total_queries,sampled,coordinate_source,label_source,query_alignment,coordinate_system,delta_source,colormap,color_min,color_max,x_min,x_max,y_min,y_max,split,training_seed
standard_umap,all,0-1,#1f77b4,3660,915,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/standard_umap.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],independent Standard UMAP,,fixed stage palette,,,-2.6461592,12.488783,-1.8524718,13.282471,existing split,not recorded in run metadata
standard_umap,all,2-3,#ff7f0e,5894,1474,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/standard_umap.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],independent Standard UMAP,,fixed stage palette,,,-2.6461592,12.488783,-1.8524718,13.282471,existing split,not recorded in run metadata
standard_umap,all,4-5,#2ca02c,4993,1248,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/standard_umap.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],independent Standard UMAP,,fixed stage palette,,,-2.6461592,12.488783,-1.8524718,13.282471,existing split,not recorded in run metadata
standard_umap,all,6-7,#d62728,5234,1309,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/standard_umap.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],independent Standard UMAP,,fixed stage palette,,,-2.6461592,12.488783,-1.8524718,13.282471,existing split,not recorded in run metadata
standard_umap,all,8-9,#9467bd,5042,1260,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/standard_umap.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],independent Standard UMAP,,fixed stage palette,,,-2.6461592,12.488783,-1.8524718,13.282471,existing split,not recorded in run metadata
uniform_mc,all,0-1,#1f77b4,3660,915,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/uniform_mc.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],shared Uniform/FitGrid reference,,fixed stage palette,,,-11.907347,11.056389,-13.229398,9.734338,existing split,not recorded in run metadata
uniform_mc,all,2-3,#ff7f0e,5894,1474,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/uniform_mc.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],shared Uniform/FitGrid reference,,fixed stage palette,,,-11.907347,11.056389,-13.229398,9.734338,existing split,not recorded in run metadata
uniform_mc,all,4-5,#2ca02c,4993,1248,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/uniform_mc.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],shared Uniform/FitGrid reference,,fixed stage palette,,,-11.907347,11.056389,-13.229398,9.734338,existing split,not recorded in run metadata
uniform_mc,all,6-7,#d62728,5234,1309,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/uniform_mc.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],shared Uniform/FitGrid reference,,fixed stage palette,,,-11.907347,11.056389,-13.229398,9.734338,existing split,not recorded in run metadata
uniform_mc,all,8-9,#9467bd,5042,1260,6206,False,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/uniform_mc.npz,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz,query_label__stage[query_index],shared Uniform/FitGrid reference,,fixed stage palette,,,-11.907347,11.056389,-13.229398,9.734338,existing split,not recorded in run metadata
