method,bin_left,bin_right,count,fraction,total_weights,zero_count,positive_underflow_count,overflow_count,shape,layout
dual_raw_is,1e-06,1.2589254117941661e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.2589254117941661e-06,1.584893192461114e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.584893192461114e-06,1.9952623149688787e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.9952623149688787e-06,2.5118864315095823e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,2.5118864315095823e-06,3.162277660168379e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3.162277660168379e-06,3.981071705534969e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3.981071705534969e-06,5.011872336272725e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,5.011872336272725e-06,6.30957344480193e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,6.30957344480193e-06,7.943282347242822e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,7.943282347242822e-06,9.999999999999999e-06,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,9.999999999999999e-06,1.2589254117941661e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.2589254117941661e-05,1.584893192461114e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.584893192461114e-05,1.9952623149688786e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,1.9952623149688786e-05,2.5118864315095822e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,2.5118864315095822e-05,3.1622776601683795e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3.1622776601683795e-05,3.9810717055349695e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
dual_raw_is,3.9810717055349695e-05,5.011872336272725e-05,0,0.0,3200000,0,0,0,"(3200000,)","50 repetitions × 1000 queries, 64 samples; histogram aggregates weights"
