context,split,training_seed,method,t_left,t_right,t_mid,n_points,rmse,bin_closed,time_definition
existing,existing split,not recorded in run metadata,uniform_mc,0.0,0.1,0.05,95,0.010589345252680737,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.1,0.2,0.15000000000000002,97,0.008365074055075937,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.2,0.30000000000000004,0.25,110,0.007145398990407332,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.30000000000000004,0.4,0.35000000000000003,119,0.007725419471007298,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.4,0.5,0.45,93,0.010834252801634565,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.5,0.6000000000000001,0.55,114,0.009178246630381155,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.6000000000000001,0.7000000000000001,0.6500000000000001,90,0.01062952685706471,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.7000000000000001,0.8,0.75,86,0.013862586057045694,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.8,0.9,0.8500000000000001,104,0.018164000921307728,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,uniform_mc,0.9,1.0,0.95,92,0.018994876243156548,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,fit_grid,0.0,0.1,0.05,95,0.009869089915596894,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,fit_grid,0.1,0.2,0.15000000000000002,97,0.00722976997031798,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,fit_grid,0.2,0.30000000000000004,0.25,110,0.007039935630035311,left; last bin both,"t = embedding optimization time, NOT biological stage."
existing,existing split,not recorded in run metadata,fit_grid,0.30000000000000004,0.4,0.35000000000000003,119,0.0073338940836038,left; last bin both,"t = embedding optimization time, NOT biological stage."
