context,method,error,ecdf,n_points
existing,uniform_mc,8.820825629746869e-05,0.001,1000
existing,uniform_mc,0.0002254578413149545,0.002,1000
existing,uniform_mc,0.00032024790933390533,0.003,1000
existing,uniform_mc,0.00036443252569692564,0.004,1000
existing,uniform_mc,0.00046918793612795416,0.005,1000
existing,uniform_mc,0.00048182987584539314,0.006,1000
existing,uniform_mc,0.0005130211137371799,0.007,1000
existing,uniform_mc,0.0005276864427514202,0.008,1000
existing,uniform_mc,0.0005943924711058641,0.009,1000
existing,uniform_mc,0.0006600831194279007,0.01,1000
existing,uniform_mc,0.0006707893949767368,0.011,1000
existing,uniform_mc,0.000679429185228173,0.012,1000
existing,uniform_mc,0.0007500197153256466,0.013,1000
existing,uniform_mc,0.0008583300849182773,0.014,1000
existing,uniform_mc,0.0008817526863832532,0.015,1000
existing,uniform_mc,0.0009131248046262371,0.016,1000
existing,uniform_mc,0.000925595161481754,0.017,1000
existing,uniform_mc,0.0009612033125548656,0.018,1000
existing,uniform_mc,0.0009661889510396765,0.019,1000
existing,uniform_mc,0.001083411054221157,0.02,1000
existing,uniform_mc,0.0011036161008041317,0.021,1000
existing,uniform_mc,0.001122565636102688,0.022,1000
existing,uniform_mc,0.0011489248705057829,0.023,1000
existing,uniform_mc,0.0011550439311375036,0.024,1000
existing,uniform_mc,0.0011680171279106165,0.025,1000
existing,uniform_mc,0.0012052948667702391,0.026,1000
existing,uniform_mc,0.0012111452829102116,0.027,1000
existing,uniform_mc,0.0012509295561611627,0.028,1000
existing,uniform_mc,0.0013306612289119845,0.029,1000
existing,uniform_mc,0.0013448313073433848,0.03,1000
existing,uniform_mc,0.0013501635736179352,0.031,1000
existing,uniform_mc,0.0013537900309731792,0.032,1000
existing,uniform_mc,0.0014008474919251258,0.033,1000
existing,uniform_mc,0.001416913657328827,0.034,1000
existing,uniform_mc,0.0014327201267191462,0.035,1000
existing,uniform_mc,0.001445952698820356,0.036,1000
existing,uniform_mc,0.0014586946327749088,0.037,1000
existing,uniform_mc,0.0014604379572381381,0.038,1000
existing,uniform_mc,0.0014738536642905226,0.039,1000
existing,uniform_mc,0.001479110849979419,0.04,1000
existing,uniform_mc,0.001495651453204268,0.041,1000
existing,uniform_mc,0.0015161603712014512,0.042,1000
existing,uniform_mc,0.0015929235081894788,0.043,1000
existing,uniform_mc,0.00163237715521291,0.044,1000
existing,uniform_mc,0.0016437418172363621,0.045,1000
existing,uniform_mc,0.0017013388937421254,0.046,1000
existing,uniform_mc,0.001702545258251052,0.047,1000
existing,uniform_mc,0.001704538505841733,0.048,1000
existing,uniform_mc,0.0017100500150981624,0.049,1000
existing,uniform_mc,0.0017226547243182392,0.05,1000
existing,uniform_mc,0.001747705173705634,0.051,1000
existing,uniform_mc,0.0017902325076243379,0.052,1000
existing,uniform_mc,0.0018350458368496584,0.053,1000
existing,uniform_mc,0.001865332767841653,0.054,1000
existing,uniform_mc,0.0018756103063573514,0.055,1000
existing,uniform_mc,0.0019144300997321593,0.056,1000
existing,uniform_mc,0.0019359292296740802,0.057,1000
existing,uniform_mc,0.001963789630366349,0.058,1000
existing,uniform_mc,0.001966940772352349,0.059,1000
existing,uniform_mc,0.0019674779540021377,0.06,1000
existing,uniform_mc,0.001983122376975055,0.061,1000
existing,uniform_mc,0.001983831478172437,0.062,1000
existing,uniform_mc,0.0019870767348776686,0.063,1000
existing,uniform_mc,0.002002211833499282,0.064,1000
existing,uniform_mc,0.002022086325827457,0.065,1000
existing,uniform_mc,0.0020277069306605384,0.066,1000
existing,uniform_mc,0.0020334408661110796,0.067,1000
existing,uniform_mc,0.0020414504924773924,0.068,1000
existing,uniform_mc,0.002118333810636719,0.069,1000
existing,uniform_mc,0.0021207521334982425,0.07,1000
existing,uniform_mc,0.0021276853170331235,0.071,1000
existing,uniform_mc,0.002131023131296933,0.072,1000
existing,uniform_mc,0.002183824936503462,0.073,1000
existing,uniform_mc,0.0021981809400534757,0.074,1000
existing,uniform_mc,0.002201149067313326,0.075,1000
existing,uniform_mc,0.002211933345020235,0.076,1000
existing,uniform_mc,0.002220303006548045,0.077,1000
existing,uniform_mc,0.0022264162157959607,0.078,1000
existing,uniform_mc,0.002251321892003423,0.079,1000
existing,uniform_mc,0.002256795716311055,0.08,1000
existing,uniform_mc,0.0022794318453406397,0.081,1000
existing,uniform_mc,0.0022855073217567107,0.082,1000
existing,uniform_mc,0.0023029641953441838,0.083,1000
existing,uniform_mc,0.00230421563729117,0.084,1000
existing,uniform_mc,0.0023171773758717575,0.085,1000
existing,uniform_mc,0.002318782499782986,0.086,1000
existing,uniform_mc,0.002330679950838694,0.087,1000
existing,uniform_mc,0.002353855322759011,0.088,1000
existing,uniform_mc,0.0023863206442713654,0.089,1000
existing,uniform_mc,0.002400232648283593,0.09,1000
existing,uniform_mc,0.002401702488045836,0.091,1000
existing,uniform_mc,0.0024040927868815495,0.092,1000
existing,uniform_mc,0.0024461101032864363,0.093,1000
existing,uniform_mc,0.0024759390347970332,0.094,1000
existing,uniform_mc,0.0025083957781277715,0.095,1000
existing,uniform_mc,0.002515243477566239,0.096,1000
existing,uniform_mc,0.0025455796268659234,0.097,1000
existing,uniform_mc,0.00256773151237141,0.098,1000
existing,uniform_mc,0.002583415058690795,0.099,1000
existing,uniform_mc,0.0025853280201377188,0.1,1000
existing,uniform_mc,0.002590764699090963,0.101,1000
existing,uniform_mc,0.0026124860522829243,0.102,1000
existing,uniform_mc,0.002621859237953344,0.103,1000
existing,uniform_mc,0.0026235829013978858,0.104,1000
existing,uniform_mc,0.0026330840175381796,0.105,1000
existing,uniform_mc,0.0026497089666421363,0.106,1000
existing,uniform_mc,0.002657133440483146,0.107,1000
existing,uniform_mc,0.0026703185629234007,0.108,1000
existing,uniform_mc,0.0026780624182514605,0.109,1000
existing,uniform_mc,0.0026899930025790423,0.11,1000
existing,uniform_mc,0.0026902270345292296,0.111,1000
existing,uniform_mc,0.002692383116722372,0.112,1000
existing,uniform_mc,0.0026953181430664414,0.113,1000
existing,uniform_mc,0.0026967584675516966,0.114,1000
existing,uniform_mc,0.0027098518594360936,0.115,1000
existing,uniform_mc,0.0027423878671204013,0.116,1000
existing,uniform_mc,0.00274685820861125,0.117,1000
existing,uniform_mc,0.0027543853201563205,0.118,1000
existing,uniform_mc,0.0027681824664834045,0.119,1000
existing,uniform_mc,0.0027692173194559366,0.12,1000
existing,uniform_mc,0.002806290955707789,0.121,1000
existing,uniform_mc,0.00283951852327056,0.122,1000
existing,uniform_mc,0.002862760537986017,0.123,1000
existing,uniform_mc,0.0028720255458051184,0.124,1000
existing,uniform_mc,0.002874089529164578,0.125,1000
existing,uniform_mc,0.002914603116952937,0.126,1000
existing,uniform_mc,0.0029358655711863757,0.127,1000
existing,uniform_mc,0.0029424471880313456,0.128,1000
existing,uniform_mc,0.0029842858253266297,0.129,1000
existing,uniform_mc,0.00298729684881304,0.13,1000
existing,uniform_mc,0.0030190168986856396,0.131,1000
existing,uniform_mc,0.0030190210417683507,0.132,1000
existing,uniform_mc,0.003023164487545655,0.133,1000
existing,uniform_mc,0.003044294619763457,0.134,1000
existing,uniform_mc,0.0030476003562343937,0.135,1000
existing,uniform_mc,0.003048794329573047,0.136,1000
existing,uniform_mc,0.0030715754744267383,0.137,1000
existing,uniform_mc,0.003074713992207617,0.138,1000
existing,uniform_mc,0.0030890084812665013,0.139,1000
existing,uniform_mc,0.003092782262534013,0.14,1000
existing,uniform_mc,0.003102133726045257,0.141,1000
existing,uniform_mc,0.0031097784758039215,0.142,1000
existing,uniform_mc,0.0031306317969480766,0.143,1000
existing,uniform_mc,0.003149294233950344,0.144,1000
existing,uniform_mc,0.0031768477537299253,0.145,1000
existing,uniform_mc,0.0031984078401967753,0.146,1000
existing,uniform_mc,0.0032001310239134564,0.147,1000
existing,uniform_mc,0.0032004803571093242,0.148,1000
existing,uniform_mc,0.0032044815742853856,0.149,1000
existing,uniform_mc,0.0032201393669471063,0.15,1000
existing,uniform_mc,0.0032202750389764734,0.151,1000
