context,split,training_seed,method,region,time_label,t,n_points,rmse,cosine,rmse_definition,source,saved_exact_metrics
existing,existing split,not recorded in run metadata,uniform_mc,spatial grid,t=0.00,0.0,300,0.02901949002265184,0.7948460578918457,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.0008421308011747897, ""mse_median"": 5.686453005182557e-05, ""mse_ci95"": [0.00026591150963213296, 0.0019018382678041234], ""cosine_mean"": 0.7948460578918457, ""magnitude_error_mean"": 0.011630730703473091}"
existing,existing split,not recorded in run metadata,uniform_mc,spatial grid,t=0.25,0.25,300,0.006437297962328958,0.7250673174858093,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 4.143880505580455e-05, ""mse_median"": 1.9860717657138593e-05, ""mse_ci95"": [3.472816106295795e-05, 4.9359012609784256e-05], ""cosine_mean"": 0.7250673174858093, ""magnitude_error_mean"": 0.004176012240350246}"
existing,existing split,not recorded in run metadata,uniform_mc,spatial grid,t=0.50,0.5,300,0.007606074694951925,0.7309809327125549,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 5.7852372265188023e-05, ""mse_median"": 3.0098770366748795e-05, ""mse_ci95"": [4.912225949738058e-05, 6.666518802376232e-05], ""cosine_mean"": 0.7309809327125549, ""magnitude_error_mean"": 0.0051775178872048855}"
existing,existing split,not recorded in run metadata,uniform_mc,spatial grid,t=0.75,0.75,300,0.010734024319258947,0.7197111248970032,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.0001152192780864425, ""mse_median"": 6.679879152216017e-05, ""mse_ci95"": [0.00010103265904035653, 0.0001324295430094935], ""cosine_mean"": 0.7197111248970032, ""magnitude_error_mean"": 0.007698658388108015}"
existing,existing split,not recorded in run metadata,uniform_mc,spatial grid,t=1.00,1.0,300,0.012374610404099108,0.7326561212539673,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.00015313098265323788, ""mse_median"": 8.069523755693808e-05, ""mse_ci95"": [0.00013087863299006132, 0.0001759310674970038], ""cosine_mean"": 0.7326561212539673, ""magnitude_error_mean"": 0.008807232603430748}"
existing,existing split,not recorded in run metadata,fit_grid,spatial grid,t=0.00,0.0,300,0.03310704354110588,0.4109134376049042,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.0010960763320326805, ""mse_median"": 7.840401667635888e-05, ""mse_ci95"": [0.0002444040743284859, 0.002683116681873798], ""cosine_mean"": 0.4109134376049042, ""magnitude_error_mean"": 0.011529906652867794}"
existing,existing split,not recorded in run metadata,fit_grid,spatial grid,t=0.25,0.25,300,0.007012358104772999,0.5580529570579529,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 4.917316618957557e-05, ""mse_median"": 1.6127509297803044e-05, ""mse_ci95"": [4.097499004274141e-05, 5.865841239938163e-05], ""cosine_mean"": 0.5580529570579529, ""magnitude_error_mean"": 0.004157586023211479}"
existing,existing split,not recorded in run metadata,fit_grid,spatial grid,t=0.50,0.5,300,0.0065210743496489885,0.679108202457428,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 4.252441067364998e-05, ""mse_median"": 1.6966858311207034e-05, ""mse_ci95"": [3.602331835281802e-05, 4.999123248126125e-05], ""cosine_mean"": 0.679108202457428, ""magnitude_error_mean"": 0.00428366381675005}"
existing,existing split,not recorded in run metadata,fit_grid,spatial grid,t=0.75,0.75,300,0.009526684988299249,0.8223573565483093,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 9.075772686628625e-05, ""mse_median"": 4.62032257928513e-05, ""mse_ci95"": [7.883118923928123e-05, 0.00010465575087437173], ""cosine_mean"": 0.8223573565483093, ""magnitude_error_mean"": 0.007147711236029863}"
existing,existing split,not recorded in run metadata,fit_grid,spatial grid,t=1.00,1.0,300,0.015791158539851337,0.8157926201820374,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.00024936068803071976, ""mse_median"": 0.00011576786346267909, ""mse_ci95"": [0.00021197112000663764, 0.00028987712066737005], ""cosine_mean"": 0.8157926201820374, ""magnitude_error_mean"": 0.012038645334541798}"
temporal0,temporal holdout,0,uniform_mc,spatial grid,t=0.00,0.0,300,0.0220850935374717,0.586560845375061,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 0.00048775135655887425, ""mse_median"": 4.757672286359593e-05, ""mse_ci95"": [0.0002603913701022975, 0.0007642810902325437], ""cosine_mean"": 0.586560845375061, ""magnitude_error_mean"": 0.009515299461781979}"
temporal0,temporal holdout,0,uniform_mc,spatial grid,t=0.25,0.25,300,0.006947301587671808,0.6936866044998169,sqrt(saved vs_exact.b_phi.mse_mean),/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/uniform_mc_evaluation/metrics/advanced_analysis.json,"{""mse_mean"": 4.826499935006723e-05, ""mse_median"": 2.5864886993076652e-05, ""mse_ci95"": [4.0270553745358485e-05, 5.7743836077861484e-05], ""cosine_mean"": 0.6936866044998169, ""magnitude_error_mean"": 0.004368466790765524}"
