figure_name,purpose,relative_path,pdf_path,csv_path,inputs,split,training_seed,query_count,evaluation_region,creation,notes,metric_direction
performance_by_method,同じqueryでの最終埋め込み性能,01_existing_split/performance_by_method.png,01_existing_split/performance_by_method.pdf,01_existing_split/performance_by_method.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metadata.json,existing split,not recorded in run metadata,6206,final embedding,generated,All methods use identical query IDs. Recall is percent; groups are not independent replicates.,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
paired_improvement_vs_standard_umap,query対応差と95% CI（FitGrid vs Uniformも掲載）,01_existing_split/paired_improvement_vs_standard_umap.png,01_existing_split/paired_improvement_vs_standard_umap.pdf,01_existing_split/paired_improvement_vs_standard_umap.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metadata.json,existing split,not recorded in run metadata,6206,final embedding,generated,Improvement: ours-baseline for Recall/NDCG; baseline-ours for density. Paired cell bootstrap; fixed models and reference; not biological replication.,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
recall_distribution,Recallの離散ECDF,01_existing_split/recall_distribution.png,01_existing_split/recall_distribution.pdf,01_existing_split/recall_distribution.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metadata.json,existing split,not recorded in run metadata,6206,final embedding,generated,,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
zero_recall_fraction,Recallゼロ率,01_existing_split/zero_recall_fraction.png,01_existing_split/zero_recall_fraction.pdf,01_existing_split/zero_recall_fraction.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metadata.json,existing split,not recorded in run metadata,6206,final embedding,generated,,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
recall_at_k,保存済みmulti-kの照合済み比較,01_existing_split/recall_at_k.png,01_existing_split/recall_at_k.pdf,01_existing_split/recall_at_k.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/fit_grid_evaluation/metrics/advanced_per_query.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/uniform_mc_evaluation/metrics/advanced_per_query.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metadata.json,existing split,not recorded in run metadata,6206,final embedding,generated,"Only stored, ID/stage/Recall@15-validated rows; repeated Standard UMAP rows deduplicated.",Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
embedding_by_stage,保存2D座標とstageの対応表示,01_existing_split/embedding_by_stage.png,01_existing_split/embedding_by_stage.pdf,01_existing_split/embedding_by_stage.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/fit_grid.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/standard_umap.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/embeddings/uniform_mc.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/fit_grid_vs_main/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metadata.json,existing split,not recorded in run metadata,6206,final embedding,generated,All saved queries; fixed stage colors. Standard UMAP has its own coordinate system; Uniform/FitGrid share axes. Equal aspect.,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
performance_by_method,同じqueryでの最終埋め込み性能,02_temporal_holdout/performance_by_method.png,02_temporal_holdout/performance_by_method.pdf,02_temporal_holdout/performance_by_method.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/temporal_split.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/temporal_split.json,temporal holdout,0,12543,final embedding,generated,All methods use identical query IDs. Recall is percent; groups are not independent replicates.,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
paired_improvement_vs_standard_umap,query対応差と95% CI（FitGrid vs Uniformも掲載）,02_temporal_holdout/paired_improvement_vs_standard_umap.png,02_temporal_holdout/paired_improvement_vs_standard_umap.pdf,02_temporal_holdout/paired_improvement_vs_standard_umap.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/temporal_split.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/temporal_split.json,temporal holdout,0,12543,final embedding,generated,Improvement: ours-baseline for Recall/NDCG; baseline-ours for density. Paired cell bootstrap; fixed models and reference; not biological replication.,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
recall_distribution,Recallの離散ECDF,02_temporal_holdout/recall_distribution.png,02_temporal_holdout/recall_distribution.pdf,02_temporal_holdout/recall_distribution.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/temporal_split.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/temporal_split.json,temporal holdout,0,12543,final embedding,generated,,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
zero_recall_fraction,Recallゼロ率,02_temporal_holdout/zero_recall_fraction.png,02_temporal_holdout/zero_recall_fraction.pdf,02_temporal_holdout/zero_recall_fraction.csv,/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/aggregate.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/manifest.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_exact_repulsion_diagnostic.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_fit_grid_oracle_neighbors.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_no_repulsion.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_reduced_repulsion_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_standard_umap.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_uniform_mc.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/comparisons/temporal_holdout/per_query_weighted_knn.csv;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_fit_grid/temporal_split.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/cache/prepared_dataset.npz;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/metadata.json;/home/suzuki/Learn/UMAPing/runs/embryoid_body/temporal_holdout_uniform/temporal_split.json,temporal holdout,0,12543,final embedding,generated,,Recall/NDCG/cosine ↑; RMSE/density/MAE ↓; see axes
