method,status,stochastic,repetitions,n_queries,mse,rmse,exact_signal_rms,normalized_rmse,cosine,cosine_valid_fraction,magnitude_error,relative_magnitude_error,relative_magnitude_valid_fraction,bias,bias_rmse,variance,bias_squared_debiased,runtime_seconds_per_query,force_interactions,score_seconds_per_query,build_seconds,family,entropy,mean_weight,ess,max_probability,max_weight,min_sampled_probability,outside_count
uniform_mc,success,True,50,1000,0.0022517857238581167,0.04745298435144113,0.019946385649714196,2.379026716157023,0.4341648495383583,1.0,0.026418801696277434,3.184291647421088,1.0,0.0054185541180870175,0.006465328553442767,0.002209985250554155,-3.3012665032653112e-06,1.0022942777723074e-05,64.0,0.0,0.006458999589085579,uniform_mc,,,,,,,
dual_raw_is,success,True,50,1000,0.011161878734102234,0.10564979287297364,0.019946385649714196,5.296688569464586,0.48944718114940594,1.0,0.026660881035617694,3.606882643947369,1.0,0.009220365559288813,0.015455830321225408,0.010922996043183723,1.5964404322924545e-05,7.890435738489032e-05,64.0,3.135280918329954e-05,0.03572268784046173,dual_raw_is,7.169000542599022,1.0028089988106377,7.197679954493236,0.14797010996605572,1096.196145115137,3.675001005298016e-08,
dual_hub_is,success,True,50,1000,0.010499364314527818,0.10246640578515388,0.019946385649714196,5.137091380092818,0.5038748359281462,1.0,0.025967880081548742,3.6717910947576358,1.0,0.008636292692912174,0.0142037360444932,0.010297618196906182,-8.40935578461326e-06,5.976667527109385e-05,64.0,2.7416587211191655e-05,0.021681438200175762,dual_hub_is,7.332153254714904,0.9981780916901792,7.133952887954814,0.34600785879163826,2441.641400291404,1.649923668078836e-08,
dual_topl,success,True,50,1000,0.004344869710692625,0.06591562569446356,0.019946385649714196,3.3046400912943366,0.4210109078574317,1.0,0.03500691935929247,4.000957419228132,1.0,0.007749217760567428,0.009157182634017077,0.004261015716899881,-3.1055106337842734e-06,9.157604496926069e-05,64.0,1.789739191532135e-05,0.018234833143651485,dual_topl,,,,,,,
barnes_hut_0.2,success,False,1,1000,5.2671810475728445e-05,0.007257534738168908,0.019946385649714196,0.3638521216636007,0.9014423664164075,1.0,0.0033269061811206386,0.28693959292257637,1.0,0.004478332020781904,0.007257534738168908,0.0,,0.010391465530730785,5782.425,0.0,22.526558231562376,barnes_hut,,,,,,,
barnes_hut_0.5,success,False,1,1000,5.3229277126912084e-05,0.007295839713625299,0.019946385649714196,0.3657725184777944,0.9020137892846942,1.0,0.0034216940778356657,0.2899881666869868,1.0,0.004538903087293901,0.007295839713625299,0.0,,0.0028371273055672647,1255.311,0.0,13.737084501422942,barnes_hut,,,,,,,
barnes_hut_0.8,success,False,1,1000,5.4239108617436734e-05,0.0073647205389910575,0.019946385649714196,0.3692258170640847,0.9033544011254621,1.0,0.0036014030217983053,0.2974902294976484,1.0,0.004673285043385528,0.0073647205389910575,0.0,,0.0016035664333030582,540.637,0.0,23.10750523582101,barnes_hut,,,,,,,
fit_grid_64,success,False,1,1000,8.711851429988414e-05,0.009333729924305938,0.019946385649714196,0.4679409136180859,0.8749042079740518,1.0,0.005019408273579194,0.3496526893324906,1.0,0.006484354119132384,0.009333729924305938,0.0,,1.540364231914282e-05,8.0,0.0,0.6381812412291765,fit_grid,,,,,,,0.0
fit_grid_128,success,False,1,1000,6.0156371275286656e-05,0.007756053846853222,0.019946385649714196,0.3888450761486382,0.8981098931130734,1.0,0.0038797118524509506,0.3016283988033995,1.0,0.005110421133550825,0.007756053846853222,0.0,,1.1790708638727665e-05,8.0,0.0,1.5016348892822862,fit_grid,,,,,,,0.0
fit_grid_256,success,False,1,1000,5.365401371569514e-05,0.007324890013897488,0.019946385649714196,0.3672289377400283,0.9018929903746745,1.0,0.003450705580028087,0.28933227536907874,1.0,0.004620237140292027,0.007324890013897488,0.0,,1.1866530403494835e-05,8.0,0.0,3.7684650467708707,fit_grid,,,,,,,0.0
