step,force_interactions,score_seconds,theta
100,538.853515625,0.0,0.8
200,540.556640625,0.0,0.8
300,540.462890625,0.0,0.8
400,540.5703125,0.0,0.8
500,534.736328125,0.0,0.8
600,539.71484375,0.0,0.8
700,534.919921875,0.0,0.8
800,544.59375,0.0,0.8
900,534.884765625,0.0,0.8
1000,534.482421875,0.0,0.8
1100,527.75,0.0,0.8
1200,543.998046875,0.0,0.8
1300,543.5546875,0.0,0.8
1400,536.115234375,0.0,0.8
1500,542.908203125,0.0,0.8
1600,534.158203125,0.0,0.8
1700,534.37109375,0.0,0.8
1800,537.91015625,0.0,0.8
1900,534.271484375,0.0,0.8
2000,534.505859375,0.0,0.8
2100,545.525390625,0.0,0.8
2200,539.818359375,0.0,0.8
2300,536.7734375,0.0,0.8
2400,530.275390625,0.0,0.8
2500,537.078125,0.0,0.8
2600,536.720703125,0.0,0.8
2700,543.36328125,0.0,0.8
2800,546.21484375,0.0,0.8
2900,543.662109375,0.0,0.8
3000,541.6953125,0.0,0.8
3100,536.5,0.0,0.8
3200,537.8671875,0.0,0.8
3300,538.583984375,0.0,0.8
3400,538.650390625,0.0,0.8
3500,540.021484375,0.0,0.8
3600,536.2421875,0.0,0.8
3700,542.42578125,0.0,0.8
3800,530.423828125,0.0,0.8
3900,538.177734375,0.0,0.8
4000,535.0234375,0.0,0.8
