step,force_interactions,score_seconds
100,64,0.009634029120206833
200,64,0.010306893847882748
300,64,0.010685594752430916
400,64,0.009074260480701923
500,64,0.009068739600479603
600,64,0.009076880291104317
700,64,0.05364118330180645
800,64,0.010685264132916927
900,64,0.00907598901540041
1000,64,0.009070148691534996
1100,64,0.009073175489902496
1200,64,0.009074743837118149
1300,64,0.009077285416424274
1400,64,0.009608140215277672
1500,64,0.009535465389490128
1600,64,0.00907245185226202
1700,64,0.009076148271560669
1800,64,0.009068635292351246
1900,64,0.009067125618457794
2000,64,0.009055813774466515
2100,64,0.009604109451174736
2200,64,0.00957624614238739
2300,64,0.010639714077115059
2400,64,0.009083342738449574
2500,64,0.009059415198862553
2600,64,0.00906533282250166
2700,64,0.009069561958312988
2800,64,0.00960393063724041
2900,64,0.00958926323801279
3000,64,0.010640331543982029
3100,64,0.00908007100224495
3200,64,0.009058288298547268
3300,64,0.009067152626812458
3400,64,0.009070177562534809
3500,64,0.009599091485142708
3600,64,0.009144953452050686
3700,64,0.009265045635402203
3800,64,0.009073765017092228
3900,64,0.009087000042200089
4000,64,0.00907989777624607
