step,force_interactions,grid_cells,grid_bytes,outside_count,score_seconds
100,8,65536,105381888,0,0.0
200,8,65536,105381888,0,0.0
300,8,65536,105381888,0,0.0
400,8,65536,105381888,0,0.0
500,8,65536,105381888,0,0.0
600,8,65536,105381888,0,0.0
700,8,65536,105381888,0,0.0
800,8,65536,105381888,0,0.0
900,8,65536,105381888,0,0.0
1000,8,65536,105381888,0,0.0
1100,8,65536,105381888,0,0.0
1200,8,65536,105381888,0,0.0
1300,8,65536,105381888,0,0.0
1400,8,65536,105381888,0,0.0
1500,8,65536,105381888,0,0.0
1600,8,65536,105381888,0,0.0
1700,8,65536,105381888,0,0.0
1800,8,65536,105381888,0,0.0
1900,8,65536,105381888,0,0.0
2000,8,65536,105381888,0,0.0
2100,8,65536,105381888,0,0.0
2200,8,65536,105381888,0,0.0
2300,8,65536,105381888,0,0.0
2400,8,65536,105381888,0,0.0
2500,8,65536,105381888,0,0.0
2600,8,65536,105381888,0,0.0
2700,8,65536,105381888,0,0.0
2800,8,65536,105381888,0,0.0
2900,8,65536,105381888,0,0.0
3000,8,65536,105381888,0,0.0
3100,8,65536,105381888,0,0.0
3200,8,65536,105381888,0,0.0
3300,8,65536,105381888,0,0.0
3400,8,65536,105381888,0,0.0
3500,8,65536,105381888,0,0.0
3600,8,65536,105381888,0,0.0
3700,8,65536,105381888,0,0.0
3800,8,65536,105381888,0,0.0
3900,8,65536,105381888,0,0.0
4000,8,65536,105381888,0,0.0
