step,force_interactions,score_seconds
100,64,0.0
200,64,0.0
300,64,0.0
400,64,0.0
500,64,0.0
600,64,0.0
700,64,0.0
800,64,0.0
900,64,0.0
1000,64,0.0
1100,64,0.0
1200,64,0.0
1300,64,0.0
1400,64,0.0
1500,64,0.0
1600,64,0.0
1700,64,0.0
1800,64,0.0
1900,64,0.0
2000,64,0.0
2100,64,0.0
2200,64,0.0
2300,64,0.0
2400,64,0.0
2500,64,0.0
2600,64,0.0
2700,64,0.0
2800,64,0.0
2900,64,0.0
3000,64,0.0
3100,64,0.0
3200,64,0.0
3300,64,0.0
3400,64,0.0
3500,64,0.0
3600,64,0.0
3700,64,0.0
3800,64,0.0
3900,64,0.0
4000,64,0.0
