query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,1.0,1.0,1.0,1.0,0.05347942840307951,0.8,100
1,0.8,0.8,0.8965333910733112,0.9529564913930731,0.000787174329161644,0.2,100
2,0.7333333333333333,0.7333333333333333,0.8200444700773706,0.91178192229716,0.0006914399564266205,0.2,100
3,1.0,1.0,1.0,1.0,0.0006678784266114235,0.6,100
4,1.0,1.0,1.0,1.0,0.0006186636164784431,0.6666666666666666,100
5,1.0,1.0,1.0,1.0,0.0006609540432691574,0.8,100
6,1.0,1.0,1.0,1.0,0.0006547095254063606,0.7333333333333333,100
7,1.0,1.0,1.0,1.0,0.0006328374147415161,0.6,100
8,1.0,1.0,1.0,1.0,0.0006104223430156708,0.6666666666666666,100
9,1.0,1.0,1.0,1.0,0.0006319703534245491,0.4,100
10,1.0,1.0,1.0,1.0,0.0006416747346520424,0.4,100
11,1.0,1.0,1.0,1.0,0.0006047934293746948,0.5333333333333333,100
12,1.0,1.0,1.0,1.0,0.000637425109744072,0.6,100
13,1.0,1.0,1.0,1.0,0.0006121732294559479,0.7333333333333333,100
14,1.0,1.0,1.0,1.0,0.0006681662052869797,0.7333333333333333,100
15,1.0,1.0,1.0,1.0,0.0006057014688849449,0.6666666666666666,100
16,1.0,1.0,1.0,1.0,0.0006499048322439194,0.5333333333333333,100
17,1.0,1.0,1.0,1.0,0.0006546908989548683,0.4666666666666667,100
18,1.0,1.0,1.0,1.0,0.0006453730165958405,0.8666666666666667,10
19,1.0,1.0,1.0,1.0,0.0006394525989890099,0.5333333333333333,10
20,1.0,1.0,1.0,1.0,0.0006291279569268227,0.5333333333333333,10
21,1.0,1.0,1.0,1.0,0.0006265994161367416,0.8,10
22,1.0,1.0,1.0,1.0,0.0006235623732209206,0.8666666666666667,10
23,1.0,1.0,1.0,1.0,0.0005908701568841934,0.8,10
24,1.0,1.0,1.0,1.0,0.0006276778876781464,0.8666666666666667,10
25,1.0,1.0,1.0,1.0,0.0006383387371897697,0.8,10
26,1.0,1.0,1.0,1.0,0.0006109699606895447,0.4666666666666667,10
27,1.0,1.0,1.0,1.0,0.0006057145074009895,0.6666666666666666,10
28,1.0,1.0,1.0,1.0,0.0006247228011488914,0.6666666666666666,10
29,1.0,1.0,1.0,1.0,0.0006260769441723824,0.6666666666666666,10
30,1.0,1.0,1.0,1.0,0.0006230641156435013,0.6666666666666666,10
31,1.0,1.0,1.0,1.0,0.0005964739248156548,0.4666666666666667,10
32,1.0,1.0,1.0,1.0,0.0006063422188162804,0.8666666666666667,10
33,1.0,1.0,1.0,1.0,0.0006532613188028336,0.8666666666666667,10
34,1.0,1.0,1.0,1.0,0.0006367620080709457,0.6666666666666666,10
35,1.0,1.0,1.0,1.0,0.0006512319669127464,0.6,10
36,1.0,1.0,1.0,1.0,0.0006369724869728088,0.6666666666666666,11
37,1.0,1.0,1.0,1.0,0.0006234124302864075,0.8666666666666667,11
38,1.0,1.0,1.0,1.0,0.00062562245875597,0.8,11
39,1.0,1.0,1.0,1.0,0.0006037866696715355,0.5333333333333333,11
40,1.0,1.0,1.0,1.0,0.0006151525303721428,0.7333333333333333,11
41,1.0,1.0,1.0,1.0,0.0006254129111766815,0.8,11
42,1.0,1.0,1.0,1.0,0.0006014909595251083,0.7333333333333333,11
43,1.0,1.0,1.0,1.0,0.0006130356341600418,0.7333333333333333,11
44,1.0,1.0,1.0,1.0,0.0006463509052991867,0.8,11
45,1.0,1.0,1.0,1.0,0.0006088381633162498,0.6666666666666666,11
46,1.0,1.0,1.0,1.0,0.00062551349401474,0.8,11
47,1.0,1.0,1.0,1.0,0.0008968571200966835,0.8,11
48,1.0,1.0,1.0,1.0,0.0006416039541363716,0.9333333333333333,11
49,1.0,1.0,1.0,1.0,0.0006089825183153152,0.6666666666666666,11
50,1.0,1.0,1.0,1.0,0.000665334053337574,0.8,11
51,1.0,1.0,1.0,1.0,0.0006188880652189255,0.7333333333333333,11
52,1.0,1.0,1.0,1.0,0.0006971247494220734,0.8,11
53,1.0,1.0,1.0,1.0,0.0006332313641905785,0.8666666666666667,11
54,1.0,1.0,1.0,1.0,0.0006506815552711487,0.6666666666666666,12
55,1.0,1.0,1.0,1.0,0.0006281733512878418,0.6666666666666666,12
56,1.0,1.0,1.0,1.0,0.0006624460220336914,0.7333333333333333,12
57,1.0,1.0,1.0,1.0,0.0006431173533201218,0.8,12
