method,query_index,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,periphery_percentile,label
ours_full,0,1.0,0.8,0.8,0.7,0.778262096507974,0.013441299631920308,0.05900958515994505,0.037729258514726575,0.025535225868225098,20.37037037037037,10
ours_full,1,0.8,0.8,1.0,0.8666666666666667,0.9105497664576809,0.010318503409393848,0.08448662546192305,0.17882274012255803,0.07720223814249039,46.2962962962963,10
ours_full,2,0.6,0.9,1.0,0.7666666666666667,0.8408680982465206,0.003896422965184799,0.0470951197941044,0.11199775129902127,0.19929566979408264,61.111111111111114,10
ours_full,3,0.6,0.9,1.0,0.8,0.8604528644340792,0.0049093937752203096,0.05366025739861279,0.14592680633236718,0.2118595838546753,59.25925925925925,10
ours_full,4,0.6,0.9,0.9333333333333333,0.8333333333333334,0.8848677765439246,0.03640173447959764,0.17474009889850775,0.15856374252587788,0.25253918766975403,29.629629629629626,10
ours_full,5,0.4,0.8,0.8666666666666667,0.8,0.8546693777287842,0.043589687992762874,0.17499461184771556,0.2295463656708358,0.2776351869106293,12.962962962962962,10
ours_full,6,0.8,0.9,0.8666666666666667,0.5333333333333333,0.6650299968256701,0.02746393231250764,0.14383490525901443,0.11257310649243675,0.2459091693162918,90.74074074074075,10
ours_full,7,0.8,0.9,0.8,0.4,0.5558800838969039,0.048710101584029504,0.2431540293231974,0.1589781902079727,0.45485740900039673,96.29629629629629,10
ours_full,8,0.8,0.9,0.8666666666666667,0.6666666666666666,0.7632993469909252,0.01859034781640489,0.08302552185443657,0.10561684835315845,0.2770951986312866,22.22222222222222,10
ours_full,9,0.6,1.0,0.8,0.4,0.5558800838969039,0.04337303956839276,0.20759911274717247,0.14251659053496138,0.4158773422241211,92.5925925925926,10
ours_full,10,0.4,0.6,0.4666666666666667,0.5666666666666667,0.6422696319758959,0.1641986981841121,0.48257195806381675,0.3767784712589635,0.2676353454589844,0.0,10
ours_full,11,0.4,0.9,1.0,0.8333333333333334,0.8860322555906873,0.010075430669853277,0.08585705003508667,0.11749956396038401,0.1776033490896225,50.0,10
ours_full,12,0.6,0.9,0.9333333333333333,0.7666666666666667,0.8408680982465206,0.002775345042704037,0.03555056398693095,0.13270572443546202,0.10872814059257507,68.51851851851852,10
ours_full,13,0.4,0.9,0.8666666666666667,0.8,0.8624285860765342,0.005633255570827715,0.05812533461513431,0.12687895607770913,0.28496915102005005,57.407407407407405,10
ours_full,14,0.6,0.9,0.8666666666666667,0.8666666666666667,0.9060893881865321,0.03743110587603153,0.18169700108169812,0.1803990390956407,0.09808928519487381,16.666666666666664,10
ours_full,15,0.8,0.8,0.9333333333333333,0.7,0.7842947899633219,0.023499940991087355,0.1162743947143761,0.12121749556842873,0.21466964483261108,0.0,10
ours_full,16,0.8,0.9,0.8666666666666667,0.7,0.7815803676349545,0.015582775574324366,0.09844106738338701,0.026349008744660406,0.1091483011841774,9.25925925925926,10
ours_full,17,0.6,0.8,0.8666666666666667,0.7333333333333333,0.8063837049470918,0.039050313265155054,0.15229773372479055,0.2760923956044681,0.12263176590204239,20.37037037037037,10
ours_full,18,0.6,0.7,0.8666666666666667,0.9666666666666667,0.9767784564059682,0.01444758366134183,0.09331241796289201,0.2887625435795116,0.1176091879606247,35.18518518518518,11
ours_full,19,0.8,0.7,0.8666666666666667,0.8666666666666667,0.9105497664576809,0.047485380854251094,0.18228862397906498,0.19835348667974703,0.24380046129226685,1.8518518518518516,11
ours_full,20,0.8,0.9,0.6666666666666666,0.4,0.5558800838969039,0.10491365474901676,0.41551083397281346,0.26990117973948685,0.2603731155395508,88.88888888888889,11
ours_full,21,0.6,0.7,0.6666666666666666,0.4,0.5454622008450868,0.08750503734551253,0.36885880335207843,0.150777463011997,0.2931795120239258,88.88888888888889,11
ours_full,22,1.0,1.0,0.9333333333333333,0.6,0.7179098443622273,0.02311396886548138,0.12315752600064073,0.14017478980325795,0.27506473660469055,74.07407407407408,11
ours_full,23,0.8,1.0,0.9333333333333333,0.9,0.9285595687588636,0.027169713648853563,0.14486491836060988,0.21999941580169535,0.3567703664302826,46.2962962962963,11
ours_full,24,0.6,1.0,0.9333333333333333,0.9333333333333333,0.9537904129451286,0.015052834676780874,0.10294542148107412,0.2172837093770951,0.3168739378452301,29.629629629629626,11
ours_full,25,0.6,0.8,0.8666666666666667,0.9,0.9314805852101772,0.014730037931533,0.09886944240487687,0.18814510971260887,0.07342714816331863,29.629629629629626,11
ours_full,26,0.6,0.9,0.8666666666666667,0.9666666666666667,0.9772949017504176,0.005768282259099764,0.05257797585361029,0.40001285467842956,0.4926539957523346,53.70370370370371,11
ours_full,27,0.8,0.9,0.8,0.9666666666666667,0.9777554718820064,0.006016615532520085,0.047891422280075674,0.4210280471431611,0.34623098373413086,50.0,11
ours_full,28,0.6,1.0,0.8666666666666667,0.9333333333333333,0.955262778074356,0.014480267704247034,0.10477234354987153,0.21314273515288332,0.3923020660877228,25.925925925925924,11
ours_full,29,0.8,0.9,0.8666666666666667,0.7333333333333333,0.8040372533325849,0.049843097157097734,0.22112453591581202,0.08688501872829575,0.07950194925069809,5.555555555555555,11
ours_full,30,0.8,0.9,0.6666666666666666,0.3333333333333333,0.4948313437077516,0.10675893864368802,0.40108909623142347,0.27660647265622357,0.18697305023670197,96.29629629629629,11
