query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,1.0,1.0,1.0,1.0,0.008744841441512108,0.0,0-1
1,0.8,0.8,0.94454960981599,0.9760179498085815,0.009546640329062939,0.06666666666666667,0-1
2,0.8,0.8,0.8991044729007036,0.9512106114548283,0.038051933981478214,0.0,0-1
3,1.0,1.0,1.0,1.0,0.001748400740325451,0.2,0-1
4,0.9333333333333333,0.9333333333333333,0.9690081137005739,0.985900796890889,0.0017625531181693077,0.06666666666666667,0-1
5,0.8666666666666667,0.8666666666666667,0.9621802861016685,0.9834499981040139,0.0017439881339669228,0.0,0-1
6,0.8666666666666667,0.8666666666666667,0.9294605600225352,0.9664283880273578,0.0016773222014307976,0.13333333333333333,0-1
7,0.7333333333333333,0.7333333333333333,0.7734198573589186,0.8699121265572386,0.0016799308359622955,0.06666666666666667,0-1
8,0.8666666666666667,0.8666666666666667,0.9619578374176487,0.9826402384858841,0.0013784561306238174,0.0,0-1
9,0.7333333333333333,0.7333333333333333,0.7851562958508056,0.8768784157925918,0.0016040066257119179,0.0,0-1
10,0.7333333333333333,0.7333333333333333,0.8712060321008143,0.9404487929449348,0.0018078172579407692,0.06666666666666667,0-1
11,0.9333333333333333,0.9333333333333333,0.9340114116559717,0.9652586903155121,0.0014310134574770927,0.26666666666666666,0-1
12,0.7333333333333333,0.7333333333333333,0.8282523737332703,0.9149366993732847,0.0014342349022626877,0.06666666666666667,0-1
13,0.6666666666666666,0.6666666666666666,0.7672210455046437,0.8700311129314757,0.0012952126562595367,0.26666666666666666,0-1
14,0.7333333333333333,0.7333333333333333,0.8707038051549982,0.9390233496776789,0.0009514689445495605,0.0,0-1
15,0.6666666666666666,0.6666666666666666,0.7620569193212956,0.8664418397777085,0.0015931464731693268,0.2,0-1
16,0.5333333333333333,0.5333333333333333,0.6565278665720558,0.8118151169346303,0.003123936243355274,0.0,0-1
17,0.9333333333333333,0.9333333333333333,0.9693708649053987,0.9858811854340804,0.0029267026111483574,0.06666666666666667,0-1
18,0.9333333333333333,0.9333333333333333,0.9520171106026036,0.9764493373273456,0.002313225530087948,0.2,0-1
19,0.6666666666666666,0.6666666666666666,0.825633688727286,0.9149067311636438,0.0022732876241207123,0.06666666666666667,0-1
20,1.0,1.0,1.0,1.0,0.002075565978884697,0.13333333333333333,0-1
21,0.9333333333333333,0.9333333333333333,0.9611860734077932,0.9822312262260249,0.002088816836476326,0.0,0-1
22,0.8,0.8,0.8566278944696986,0.9297703613660137,0.009434652514755726,0.06666666666666667,0-1
23,1.0,1.0,1.0,1.0,0.009440552443265915,0.2,0-1
24,0.9333333333333333,0.9333333333333333,0.9717980885001235,0.9875649034787787,0.009444915689527988,0.0,0-1
25,0.9333333333333333,0.9333333333333333,0.9621111481377186,0.9825722279131787,0.011638063006103039,0.26666666666666666,0-1
26,0.8,0.8,0.8702696911705051,0.9326666904667479,0.009453930892050266,0.13333333333333333,0-1
27,0.8666666666666667,0.8666666666666667,0.9221411741402392,0.9629446681475519,0.00945872999727726,0.13333333333333333,0-1
28,0.7333333333333333,0.7333333333333333,0.7993832836207561,0.8716400007657858,0.009538807906210423,0.0,0-1
29,0.7333333333333333,0.7333333333333333,0.8161369355750875,0.9062538910101607,0.009507461450994015,0.0,0-1
30,0.8666666666666667,0.8666666666666667,0.9486013298047448,0.976590884400758,0.003655672073364258,0.13333333333333333,0-1
31,0.8666666666666667,0.8666666666666667,0.935914589981476,0.9695604027348931,0.0054398151114583015,0.0,0-1
32,0.7333333333333333,0.7333333333333333,0.85257049508126,0.9290299164816803,0.009467680007219315,0.06666666666666667,0-1
33,0.6,0.6,0.7824389685522624,0.8879013738261194,0.009508694522082806,0.0,0-1
34,0.8,0.8,0.9129415548711928,0.9600941023309171,0.003286914899945259,0.06666666666666667,0-1
35,0.8666666666666667,0.8666666666666667,0.9472080860970847,0.9760449196910049,0.0030091609805822372,0.13333333333333333,0-1
36,1.0,1.0,1.0,1.0,0.0029568979516625404,0.0,0-1
37,0.9333333333333333,0.9333333333333333,0.9625194772875307,0.9832471902946951,0.0027778958901762962,0.2,0-1
38,0.8,0.8,0.8327029352668137,0.9121675043199805,0.0021604662761092186,0.06666666666666667,0-1
39,0.7333333333333333,0.7333333333333333,0.9042378827138359,0.9540469176413295,0.07237515412271023,0.2,0-1
40,0.6666666666666666,0.6666666666666666,0.5626619037985776,0.6232788890245511,0.003125789575278759,0.0,0-1
41,0.6666666666666666,0.6666666666666666,0.9134428408135812,0.9608638613365968,0.0035686586052179337,0.0,0-1
42,0.4666666666666667,0.4666666666666667,0.6275491005876778,0.7980225413366242,0.002956800162792206,0.0,0-1
43,0.7333333333333333,0.7333333333333333,0.8758738389045218,0.9416522955552563,0.002852487377822399,0.06666666666666667,0-1
44,0.8,0.8,0.7898580482655441,0.8586419183872914,0.003237685188651085,0.0,0-1
45,0.8,0.8,0.891001878120689,0.9488738820300423,0.0025848355144262314,0.0,0-1
46,0.8666666666666667,0.8666666666666667,0.8323184943431444,0.8850157603597593,0.0023544179275631905,0.06666666666666667,0-1
47,0.8666666666666667,0.8666666666666667,0.93451858080585,0.9703876845953882,0.00234809797257185,0.0,0-1
48,0.7333333333333333,0.7333333333333333,0.8193276634888864,0.90811542832935,0.0021743299439549446,0.0,0-1
49,0.9333333333333333,0.9333333333333333,0.9530044649232942,0.9774216232559164,0.0019092196598649025,0.06666666666666667,0-1
50,0.8,0.8,0.912763680765757,0.9549165153025772,0.0019158823415637016,0.2,0-1
51,1.0,1.0,1.0,1.0,0.0017121154814958572,0.13333333333333333,0-1
52,1.0,1.0,1.0,1.0,0.0019207978621125221,0.4,0-1
53,0.7333333333333333,0.7333333333333333,0.8217048255068473,0.9063689979168462,0.0018619764596223831,0.0,0-1
54,0.8666666666666667,0.8666666666666667,0.8988763995660851,0.9507980343261815,0.0017038965597748756,0.13333333333333333,0-1
55,0.7333333333333333,0.7333333333333333,0.8733916008344148,0.9398557528672762,0.022933432832360268,0.06666666666666667,0-1
56,0.9333333333333333,0.9333333333333333,0.9557288116491783,0.9793214017989806,0.00932734552770853,0.0,0-1
57,1.0,1.0,1.0,1.0,0.07153889257460833,0.13333333333333333,0-1
58,0.7333333333333333,0.7333333333333333,0.8432458081554883,0.9231607956580422,0.009387446567416191,0.0,0-1
59,1.0,1.0,1.0,1.0,0.07164258416742086,0.0,0-1
60,0.6666666666666666,0.6666666666666666,0.8512982149241455,0.92922469607931,0.004202703945338726,0.0,0-1
61,0.7333333333333333,0.7333333333333333,0.8072642440286906,0.90180851178479,0.007613781839609146,0.06666666666666667,0-1
62,0.7333333333333333,0.7333333333333333,0.815898756975729,0.8988026961459202,0.06605992745608091,0.0,0-1
63,0.8666666666666667,0.8666666666666667,0.936198391387955,0.9713564094806372,0.003123548813164234,0.26666666666666666,0-1
64,0.8666666666666667,0.8666666666666667,0.945052268645093,0.9754150358958537,0.0028779031708836555,0.06666666666666667,0-1
65,0.8666666666666667,0.8666666666666667,0.8967578986851673,0.9489733428876287,0.0028749890625476837,0.06666666666666667,0-1
66,0.8,0.8,0.8317757077785127,0.9124149833088698,0.003024107776582241,0.13333333333333333,0-1
67,0.8666666666666667,0.8666666666666667,0.9331898988498223,0.9691151252357793,0.0028364183381199837,0.0,0-1
