group,n_queries,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,timepoint_ordinal,horizon,temporal_neighbor_mae,excess_temporal_neighbor_mae,temporal_bracketing_rate,timepoint_label_accuracy,recall_at_15_p05,local_displacement_p95,label_accuracy_status,method,status,fit_time_seconds
all,12543,0.10843232613144117,0.11318337071087343,0.18119752326297786,0.5723721860502677,0.39320648166517225,0.30682368146358896,0.27986210584640503,0.0,0.4679677782063802,1.600885693471468,4.004863270349996,0.502431635174998,1.0734008344627812,0.13805141225007933,0.3701329915077712,,0.0,0.8023540923507831,not_applicable_unseen_timepoints,uniform_mc,success,
interpolation,6241,0.10379746835443038,0.10888516011490906,0.1883727869453559,0.5988134045774708,0.3817571151271612,0.29587281979856234,0.27575522661209106,0.0,0.48916715088660917,1.6290410766445198,3.0,0.0,1.008118357100892,,0.3701329915077712,,0.0,0.8055265470997464,not_applicable_unseen_timepoints,uniform_mc,success,
extrapolation,6302,0.11302232095631017,0.11743997691992034,0.17409171230745246,0.5461869044209002,0.40454502443948626,0.3176685446263041,0.2839292585849762,0.0,0.4469736041509519,1.5730028393960926,5.0,1.0,1.1380514122500793,0.13805141225007933,,,0.0,0.7988571097633387,not_applicable_unseen_timepoints,uniform_mc,success,
timepoint:4-5,6241,0.10379746835443038,0.10888516011490906,0.1883727869453559,0.5988134045774708,0.3817571151271612,0.29587281979856234,0.27575522661209106,0.0,0.48916715088660917,1.6290410766445198,3.0,0.0,1.008118357100892,,0.3701329915077712,,0.0,0.8055265470997464,not_applicable_unseen_timepoints,uniform_mc,success,
timepoint:8-9,6302,0.11302232095631017,0.11743997691992034,0.17409171230745246,0.5461869044209002,0.40454502443948626,0.3176685446263041,0.2839292585849762,0.0,0.4469736041509519,1.5730028393960926,5.0,1.0,1.1380514122500793,0.13805141225007933,,,0.0,0.7988571097633387,not_applicable_unseen_timepoints,uniform_mc,success,
all,12543,0.1096654176300194,0.11551574647715283,0.1821449112998189,0.5743622215657067,0.3963298752021861,0.31636135870365306,0.277977854013443,0.0,0.4695881955319616,1.1324504565284663,4.004863270349996,0.502431635174998,1.07334236891759,0.13836877181847032,0.38006729690754687,,0.0,0.8034739049257626,not_applicable_unseen_timepoints,fit_grid,success,
interpolation,6241,0.10459862201570261,0.11089780708559488,0.1888147925497758,0.5994058363301162,0.37760402801333015,0.2985188223241308,0.2766733765602112,0.0,0.49009564143458223,0.8459832859183042,3.0,0.0,1.0076803930993965,,0.38006729690754687,,0.0,0.7997701879784854,not_applicable_unseen_timepoints,fit_grid,success,
extrapolation,6302,0.114683169364223,0.12008898667751985,0.1755395909442206,0.5495610156398609,0.41487446617420287,0.334031188844021,0.2792697250843048,0.0,0.449279250771845,1.4161447776611262,5.0,1.0,1.1383687718184703,0.13836877181847032,,,0.0,0.8074172204336616,not_applicable_unseen_timepoints,fit_grid,success,
timepoint:4-5,6241,0.10459862201570261,0.11089780708559488,0.1888147925497758,0.5994058363301162,0.37760402801333015,0.2985188223241308,0.2766733765602112,0.0,0.49009564143458223,0.8459832859183042,3.0,0.0,1.0076803930993965,,0.38006729690754687,,0.0,0.7997701879784854,not_applicable_unseen_timepoints,fit_grid,success,
timepoint:8-9,6302,0.114683169364223,0.12008898667751985,0.1755395909442206,0.5495610156398609,0.41487446617420287,0.334031188844021,0.2792697250843048,0.0,0.449279250771845,1.4161447776611262,5.0,1.0,1.1383687718184703,0.13836877181847032,,,0.0,0.8074172204336616,not_applicable_unseen_timepoints,fit_grid,success,
