group,n_queries,recall_at_15,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,density_log_distortion,collapse_rate,global_periphery_percentile,latency_seconds,timepoint_ordinal,horizon,temporal_neighbor_mae,excess_temporal_neighbor_mae,temporal_bracketing_rate,timepoint_label_accuracy,recall_at_15_p05,local_displacement_p95,label_accuracy_status,method,status,fit_time_seconds,reason,seed
all,12543.0,0.1099258550585984,0.1150883749432124,0.182527754650082,0.5750451751327591,0.4025809188915366,0.3181310109315596,0.2802013158798218,0.0,0.4680269061920232,0.0814391809220064,4.004863270349996,0.502431635174998,1.0716309229583567,0.1350893896117634,0.3792661432462746,,0.0,0.8068919862383644,not_applicable_unseen_timepoints,uniform_mc,success,,,0
interpolation,6241.0,0.1046627143086044,0.1098172078134441,0.1893491511732391,0.6004606420784776,0.3880688432027707,0.303222628734611,0.2763202786445617,0.0,0.4895397224432047,0.0816019920411686,3.0,0.0,1.0075522085135928,,0.3792661432462746,,0.0,0.799968852056421,not_applicable_unseen_timepoints,uniform_mc,success,,,0
extrapolation,6302.0,0.11513805141225,0.1203085199855614,0.1757723856083455,0.5498757163564613,0.4169525254249527,0.3328950879374556,0.2840448021888733,0.0,0.4467223225322924,0.0812779457276726,5.0,1.0,1.1350893896117633,0.1350893896117634,,,0.0,0.8124583963310582,not_applicable_unseen_timepoints,uniform_mc,success,,,0
timepoint:4-5,6241.0,0.1046627143086044,0.1098172078134441,0.1893491511732391,0.6004606420784776,0.3880688432027707,0.303222628734611,0.2763202786445617,0.0,0.4895397224432047,0.0816019920411686,3.0,0.0,1.0075522085135928,,0.3792661432462746,,0.0,0.799968852056421,not_applicable_unseen_timepoints,uniform_mc,success,,,0
timepoint:8-9,6302.0,0.11513805141225,0.1203085199855614,0.1757723856083455,0.5498757163564613,0.4169525254249527,0.3328950879374556,0.2840448021888733,0.0,0.4467223225322924,0.0812779457276726,5.0,1.0,1.1350893896117633,0.1350893896117634,,,0.0,0.8124583963310582,not_applicable_unseen_timepoints,uniform_mc,success,,,0
all,12543.0,0.1101171968428605,0.1158582248589264,0.1819656186175259,0.5738661493409277,0.3950004386905318,0.313854335803904,0.2806602418422699,0.0,0.4699434723518962,0.0815857544255198,4.004863270349996,0.502431635174998,1.072656727523984,0.1368454458901936,0.381188912033328,,0.0,0.7975471828391592,not_applicable_unseen_timepoints,fit_grid,success,,,0
interpolation,6241.0,0.1054852320675105,0.1114580488236021,0.1887690966251789,0.5991518489157363,0.3789320694208128,0.2971190566099966,0.2793184220790863,0.0,0.4906565963480325,0.0815471430902889,3.0,0.0,1.0078406238316509,,0.381188912033328,,0.0,0.7944388083486545,not_applicable_unseen_timepoints,fit_grid,success,,,0
extrapolation,6302.0,0.1147043266687824,0.1202158095362446,0.175227994649617,0.5488252018565766,0.4109132747127971,0.3304276264178641,0.2819890975952148,0.0,0.4494308403525489,0.0816239920236118,5.0,1.0,1.1368454458901935,0.1368454458901935,,,0.0,0.8008087217447559,not_applicable_unseen_timepoints,fit_grid,success,,,0
timepoint:4-5,6241.0,0.1054852320675105,0.1114580488236021,0.1887690966251789,0.5991518489157363,0.3789320694208128,0.2971190566099966,0.2793184220790863,0.0,0.4906565963480325,0.0815471430902889,3.0,0.0,1.0078406238316509,,0.381188912033328,,0.0,0.7944388083486545,not_applicable_unseen_timepoints,fit_grid,success,,,0
timepoint:8-9,6302.0,0.1147043266687824,0.1202158095362446,0.175227994649617,0.5488252018565766,0.4109132747127971,0.3304276264178641,0.2819890975952148,0.0,0.4494308403525489,0.0816239920236118,5.0,1.0,1.1368454458901935,0.1368454458901935,,,0.0,0.8008087217447559,not_applicable_unseen_timepoints,fit_grid,success,,,0
all,12543.0,0.1084323261314411,0.1131833707108734,0.1811975232629778,0.5723721860502677,0.3932064816651722,0.3068236814635889,0.279862105846405,0.0,0.4679677782063802,1.600885693471468,4.004863270349996,0.502431635174998,1.0734008344627812,0.1380514122500793,0.3701329915077712,,0.0,0.8023540923507831,not_applicable_unseen_timepoints,uniform_mc,success,,,1
interpolation,6241.0,0.1037974683544303,0.108885160114909,0.1883727869453559,0.5988134045774708,0.3817571151271612,0.2958728197985623,0.275755226612091,0.0,0.4891671508866091,1.6290410766445198,3.0,0.0,1.008118357100892,,0.3701329915077712,,0.0,0.8055265470997464,not_applicable_unseen_timepoints,uniform_mc,success,,,1
extrapolation,6302.0,0.1130223209563101,0.1174399769199203,0.1740917123074524,0.5461869044209002,0.4045450244394862,0.3176685446263041,0.2839292585849762,0.0,0.4469736041509519,1.5730028393960926,5.0,1.0,1.138051412250079,0.1380514122500793,,,0.0,0.7988571097633387,not_applicable_unseen_timepoints,uniform_mc,success,,,1
timepoint:4-5,6241.0,0.1037974683544303,0.108885160114909,0.1883727869453559,0.5988134045774708,0.3817571151271612,0.2958728197985623,0.275755226612091,0.0,0.4891671508866091,1.6290410766445198,3.0,0.0,1.008118357100892,,0.3701329915077712,,0.0,0.8055265470997464,not_applicable_unseen_timepoints,uniform_mc,success,,,1
timepoint:8-9,6302.0,0.1130223209563101,0.1174399769199203,0.1740917123074524,0.5461869044209002,0.4045450244394862,0.3176685446263041,0.2839292585849762,0.0,0.4469736041509519,1.5730028393960926,5.0,1.0,1.138051412250079,0.1380514122500793,,,0.0,0.7988571097633387,not_applicable_unseen_timepoints,uniform_mc,success,,,1
all,12543.0,0.1096654176300194,0.1155157464771528,0.1821449112998189,0.5743622215657067,0.3963298752021861,0.316361358703653,0.277977854013443,0.0,0.4695881955319616,1.1324504565284663,4.004863270349996,0.502431635174998,1.07334236891759,0.1383687718184703,0.3800672969075468,,0.0,0.8034739049257626,not_applicable_unseen_timepoints,fit_grid,success,,,1
interpolation,6241.0,0.1045986220157026,0.1108978070855948,0.1888147925497758,0.5994058363301162,0.3776040280133301,0.2985188223241308,0.2766733765602112,0.0,0.4900956414345822,0.8459832859183042,3.0,0.0,1.0076803930993965,,0.3800672969075468,,0.0,0.7997701879784854,not_applicable_unseen_timepoints,fit_grid,success,,,1
extrapolation,6302.0,0.114683169364223,0.1200889866775198,0.1755395909442206,0.5495610156398609,0.4148744661742028,0.334031188844021,0.2792697250843048,0.0,0.449279250771845,1.4161447776611262,5.0,1.0,1.1383687718184703,0.1383687718184703,,,0.0,0.8074172204336616,not_applicable_unseen_timepoints,fit_grid,success,,,1
timepoint:4-5,6241.0,0.1045986220157026,0.1108978070855948,0.1888147925497758,0.5994058363301162,0.3776040280133301,0.2985188223241308,0.2766733765602112,0.0,0.4900956414345822,0.8459832859183042,3.0,0.0,1.0076803930993965,,0.3800672969075468,,0.0,0.7997701879784854,not_applicable_unseen_timepoints,fit_grid,success,,,1
timepoint:8-9,6302.0,0.114683169364223,0.1200889866775198,0.1755395909442206,0.5495610156398609,0.4148744661742028,0.334031188844021,0.2792697250843048,0.0,0.449279250771845,1.4161447776611262,5.0,1.0,1.1383687718184703,0.1383687718184703,,,0.0,0.8074172204336616,not_applicable_unseen_timepoints,fit_grid,success,,,1
