method,available,neighborhood_recall_at_k,reference_trustworthiness,label_knn_accuracy,mean_query_latency_seconds,n_queries,k,reason
standard_umap,True,0.2859666666666667,0.983903425879523,0.7575,,2000.0,15.0,
reduced_repulsion_umap,True,0.2893,0.983903425879523,0.756,,2000.0,15.0,
weighted_knn,True,0.2557,0.983903425879523,0.743,0.00034206122951582074,2000.0,15.0,
parametric_umap,False,,,,,,,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow"
numap_sep_spectralnet,False,,,,,,,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).
param_repulsor,False,,,,,,,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).
ours,True,0.30290000000000006,0.9849543690488123,0.764,0.08465528387669474,2000.0,15.0,
ours_oracle_neighbors,True,0.3033666666666667,0.9849543690488123,0.7625,0.20447841995302588,2000.0,15.0,
no_repulsion,True,0.3013,0.9849543690488123,0.7615,0.031256744207348676,2000.0,15.0,
exact_repulsion_diagnostic,True,0.2786666666666667,0.9849543690488123,0.8,0.2008164590969682,50.0,15.0,
