query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,1.0,1.0,1.0,1.0,0.05144419148564339,0.6,5
1,1.0,1.0,1.0,1.0,0.0016875676810741425,0.3333333333333333,9
2,1.0,1.0,1.0,1.0,0.0006641289219260216,0.26666666666666666,4
3,1.0,1.0,1.0,1.0,0.00292295403778553,0.26666666666666666,6
4,1.0,1.0,1.0,1.0,0.009391282685101032,0.26666666666666666,1
5,1.0,1.0,1.0,1.0,0.00931678619235754,0.6666666666666666,5
6,1.0,1.0,1.0,1.0,0.009405984543263912,0.26666666666666666,0
7,0.9333333333333333,0.9333333333333333,0.9640959611193931,0.9835157988896794,0.009306401945650578,0.2,9
8,1.0,1.0,1.0,1.0,0.009316581301391125,0.13333333333333333,7
9,1.0,1.0,1.0,1.0,0.009282950311899185,0.0,2
10,1.0,1.0,1.0,1.0,0.009327332489192486,0.13333333333333333,2
11,1.0,1.0,1.0,1.0,0.0009755715727806091,0.4,6
12,1.0,1.0,1.0,1.0,0.0008187107741832733,0.06666666666666667,7
13,1.0,1.0,1.0,1.0,0.0007276367396116257,0.3333333333333333,3
14,0.9333333333333333,0.9333333333333333,0.922816964900496,0.9570991901320981,0.009391745552420616,0.2,4
15,1.0,1.0,1.0,1.0,0.009312652051448822,0.26666666666666666,7
16,0.9333333333333333,0.9333333333333333,0.986133618201457,0.9942766893499347,0.004084994085133076,0.26666666666666666,7
17,1.0,1.0,1.0,1.0,0.0011938400566577911,0.4,0
18,1.0,1.0,1.0,1.0,0.0006942329928278923,0.26666666666666666,4
19,1.0,1.0,1.0,1.0,0.007357431575655937,0.2,6
20,1.0,1.0,1.0,1.0,0.009414679370820522,0.13333333333333333,2
21,1.0,1.0,1.0,1.0,0.009330651722848415,0.3333333333333333,1
22,0.8666666666666667,0.8666666666666667,0.9463710048845414,0.9762068591939461,0.009281978942453861,0.4,8
23,1.0,1.0,1.0,1.0,0.009305290877819061,0.2,8
24,1.0,1.0,1.0,1.0,0.009381853975355625,0.4,1
25,0.9333333333333333,0.9333333333333333,0.9764258977044381,0.9895971444336893,0.009349623695015907,0.13333333333333333,3
26,1.0,1.0,1.0,1.0,0.009228941984474659,0.2,6
27,1.0,1.0,1.0,1.0,0.0009662527590990067,0.4666666666666667,4
28,1.0,1.0,1.0,1.0,0.002866617403924465,0.5333333333333333,1
29,1.0,1.0,1.0,1.0,0.0007218653336167336,0.4,5
30,1.0,1.0,1.0,1.0,0.009382720105350018,0.8,5
31,1.0,1.0,1.0,1.0,0.009378282353281975,0.6,4
32,1.0,1.0,1.0,1.0,0.0043628280982375145,0.0,5
33,1.0,1.0,1.0,1.0,0.0010741259902715683,0.13333333333333333,4
34,0.7333333333333333,0.7333333333333333,0.9036549469069689,0.9565010153525789,0.0006080670282244682,0.26666666666666666,2
35,1.0,1.0,1.0,1.0,0.00935827661305666,0.3333333333333333,1
36,1.0,1.0,1.0,1.0,0.00938617903739214,0.13333333333333333,9
37,1.0,1.0,1.0,1.0,0.009313778020441532,0.5333333333333333,5
38,1.0,1.0,1.0,1.0,0.00936979055404663,0.6,8
39,1.0,1.0,1.0,1.0,0.009307133965194225,0.4666666666666667,7
40,1.0,1.0,1.0,1.0,0.009401142597198486,0.4666666666666667,7
41,0.8666666666666667,0.8666666666666667,0.9223407477477803,0.9642167668870428,0.009321925230324268,0.26666666666666666,3
42,1.0,1.0,1.0,1.0,0.009085997007787228,0.4,8
43,1.0,1.0,1.0,1.0,0.0009077750146389008,0.8,1
44,1.0,1.0,1.0,1.0,0.004263902083039284,0.4666666666666667,6
45,1.0,1.0,1.0,1.0,0.003140091896057129,0.06666666666666667,1
46,1.0,1.0,1.0,1.0,0.009388507343828678,0.3333333333333333,7
47,0.9333333333333333,0.9333333333333333,0.9875736804869664,0.9947257189233338,0.00941773783415556,0.06666666666666667,9
48,1.0,1.0,1.0,1.0,0.001493828371167183,0.4666666666666667,1
49,1.0,1.0,1.0,1.0,0.0008752839639782906,0.4666666666666667,9
50,0.9333333333333333,0.9333333333333333,0.9727025444505534,0.988058394309084,0.0033589936792850494,0.4666666666666667,8
51,1.0,1.0,1.0,1.0,0.009403211064636707,0.5333333333333333,1
52,1.0,1.0,1.0,1.0,0.009241384454071522,0.4666666666666667,6
53,1.0,1.0,1.0,1.0,0.009388045407831669,0.5333333333333333,8
54,0.9333333333333333,0.9333333333333333,0.9617809033794665,0.9812172990046568,0.009305399842560291,0.3333333333333333,0
55,1.0,1.0,1.0,1.0,0.009289608336985111,0.13333333333333333,8
56,1.0,1.0,1.0,1.0,0.00935980211943388,0.3333333333333333,4
57,0.9333333333333333,0.9333333333333333,0.9771282272712822,0.990079120572773,0.00926830992102623,0.2,5
58,1.0,1.0,1.0,1.0,0.0009790388867259026,0.3333333333333333,4
59,0.9333333333333333,0.9333333333333333,0.9834513503174981,0.9924997428606976,0.0007929336279630661,0.26666666666666666,6
60,1.0,1.0,1.0,1.0,0.0007499717175960541,0.2,7
61,1.0,1.0,1.0,1.0,0.009395347908139229,0.3333333333333333,5
62,1.0,1.0,1.0,1.0,0.00934137124568224,0.13333333333333333,2
63,1.0,1.0,1.0,1.0,0.004425480961799622,0.5333333333333333,5
64,0.9333333333333333,0.9333333333333333,0.9747706792971157,0.9888807366364379,0.0011729691177606583,0.2,8
65,0.8666666666666667,0.8666666666666667,0.9545777880072925,0.9798080573814143,0.0007421094924211502,0.13333333333333333,5
66,1.0,1.0,1.0,1.0,0.009355612099170685,0.6,0
67,1.0,1.0,1.0,1.0,0.009262501262128353,0.26666666666666666,8
68,1.0,1.0,1.0,1.0,0.009350107982754707,0.3333333333333333,9
69,1.0,1.0,1.0,1.0,0.0092520322650671,0.4666666666666667,7
70,1.0,1.0,1.0,1.0,0.009397045709192753,0.26666666666666666,3
71,0.9333333333333333,0.9333333333333333,0.9769028035210338,0.9900332817807056,0.009312220849096775,0.13333333333333333,8
72,1.0,1.0,1.0,1.0,0.009342693723738194,0.2,1
73,1.0,1.0,1.0,1.0,0.009195411577820778,0.06666666666666667,2
74,1.0,1.0,1.0,1.0,0.000911373645067215,0.2,2
75,0.9333333333333333,0.9333333333333333,0.9798488656388928,0.9911259719836605,0.004263603128492832,0.13333333333333333,1
76,1.0,1.0,1.0,1.0,0.003160618245601654,0.26666666666666666,1
77,1.0,1.0,1.0,1.0,0.009234192781150341,0.4,7
78,1.0,1.0,1.0,1.0,0.00929475761950016,0.5333333333333333,9
79,1.0,1.0,1.0,1.0,0.0014884844422340393,0.5333333333333333,8
80,1.0,1.0,1.0,1.0,0.0007245521992444992,0.26666666666666666,4
81,0.8,0.8,0.8838047452031889,0.9444746454310182,0.0033920099958777428,0.13333333333333333,3
82,1.0,1.0,1.0,1.0,0.009398042224347591,0.3333333333333333,4
83,1.0,1.0,1.0,1.0,0.009298947639763355,0.4666666666666667,8
84,0.9333333333333333,0.9333333333333333,0.9765536363095755,0.9897383183938782,0.009356120601296425,0.06666666666666667,4
85,1.0,1.0,1.0,1.0,0.009352529421448708,0.4666666666666667,2
86,1.0,1.0,1.0,1.0,0.009394119493663311,0.3333333333333333,0
87,1.0,1.0,1.0,1.0,0.009354479610919952,0.2,5
88,1.0,1.0,1.0,1.0,0.009300487115979195,0.26666666666666666,5
89,1.0,1.0,1.0,1.0,0.0012978510931134224,0.2,2
90,1.0,1.0,1.0,1.0,0.0007891645655035973,0.4,6
91,1.0,1.0,1.0,1.0,0.0007321564480662346,0.26666666666666666,2
92,1.0,1.0,1.0,1.0,0.009377739392220974,0.4666666666666667,6
93,0.8666666666666667,0.8666666666666667,0.9662383092899587,0.9854936282513012,0.009374523535370827,0.26666666666666666,6
94,1.0,1.0,1.0,1.0,0.0044855400919914246,0.4666666666666667,9
95,1.0,1.0,1.0,1.0,0.00106083694845438,0.2,5
96,0.9333333333333333,0.9333333333333333,0.9546528079001734,0.9787405067588099,0.0009449897333979607,0.3333333333333333,4
97,1.0,1.0,1.0,1.0,0.009402994997799397,0.3333333333333333,8
98,1.0,1.0,1.0,1.0,0.00929227750748396,0.4,6
99,1.0,1.0,1.0,1.0,0.009380104951560497,0.13333333333333333,3
100,1.0,1.0,1.0,1.0,0.009280789643526077,0.26666666666666666,0
101,0.9333333333333333,0.9333333333333333,0.9618412380956992,0.9825815514925211,0.00932851992547512,0.2,3
102,1.0,1.0,1.0,1.0,0.009371773339807987,0.4666666666666667,9
103,0.9333333333333333,0.9333333333333333,0.9829118918837644,0.9928484962039389,0.009257219731807709,0.06666666666666667,3
104,1.0,1.0,1.0,1.0,0.008768094703555107,0.13333333333333333,3
105,1.0,1.0,1.0,1.0,0.0009101331233978271,0.5333333333333333,8
106,1.0,1.0,1.0,1.0,0.004252059385180473,0.5333333333333333,9
107,1.0,1.0,1.0,1.0,0.003153647296130657,0.6,8
108,0.9333333333333333,0.9333333333333333,0.9312885421150255,0.9626779420520486,0.009381110779941082,0.3333333333333333,3
109,0.8666666666666667,0.8666666666666667,0.9382047253554601,0.9721349048920757,0.00938014592975378,0.0,0
110,1.0,1.0,1.0,1.0,0.001523483544588089,0.4666666666666667,8
111,1.0,1.0,1.0,1.0,0.0008500218391418457,0.6,1
112,1.0,1.0,1.0,1.0,0.0033886749297380447,0.13333333333333333,0
113,0.9333333333333333,0.9333333333333333,0.965609772206444,0.9841974333600885,0.009357528761029243,0.13333333333333333,5
114,1.0,1.0,1.0,1.0,0.009367655962705612,0.4666666666666667,1
115,1.0,1.0,1.0,1.0,0.009328315034508705,0.5333333333333333,9
116,1.0,1.0,1.0,1.0,0.009278526529669762,0.3333333333333333,2
117,1.0,1.0,1.0,1.0,0.009383575059473515,0.5333333333333333,1
118,0.8,0.8,0.8813353473788346,0.9448805496266027,0.009329281747341156,0.2,8
119,1.0,1.0,1.0,1.0,0.009305102750658989,0.5333333333333333,6
120,1.0,1.0,1.0,1.0,0.0009659957140684128,0.6,4
121,1.0,1.0,1.0,1.0,0.0007865196093916893,0.06666666666666667,7
