method,available,neighborhood_recall_at_k,reference_trustworthiness,label_knn_accuracy,mean_query_latency_seconds,n_queries,k,reason
standard_umap,True,0.23773333333333335,0.960418568039825,0.932,,2000.0,15.0,
reduced_repulsion_umap,True,0.23943333333333333,0.960418568039825,0.9345,,2000.0,15.0,
weighted_knn,True,0.20456666666666667,0.960418568039825,0.9005,0.00025203095888718963,2000.0,15.0,
parametric_umap,False,,,,,,,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow"
numap_sep_spectralnet,False,,,,,,,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).
param_repulsor,False,,,,,,,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).
ours,True,0.26966666666666667,0.9670598817279743,0.942,0.3566884375717491,2000.0,15.0,
ours_oracle_neighbors,True,0.26956666666666673,0.9670598817279743,0.9395,0.4021591167668812,2000.0,15.0,
no_repulsion,True,0.26683333333333337,0.9670598817279743,0.9415,0.1516205161730759,2000.0,15.0,
exact_repulsion_diagnostic,True,0.27866666666666673,0.9670598817279743,0.94,0.6889151798002422,50.0,15.0,
