query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,1.0,1.0,1.0,1.0,0.02049665804952383,0.3333333333333333,0
1,1.0,1.0,1.0,1.0,0.0011124936863780022,0.26666666666666666,7
2,1.0,1.0,1.0,1.0,0.0009334506466984749,0.13333333333333333,8
3,1.0,1.0,1.0,1.0,0.0009253174066543579,0.6,1
4,1.0,1.0,1.0,1.0,0.0010564876720309258,0.4666666666666667,1
5,1.0,1.0,1.0,1.0,0.0011449679732322693,0.2,9
6,0.9333333333333333,0.9333333333333333,0.9734741635297826,0.9882953825354843,0.0010197777301073074,0.5333333333333333,2
7,1.0,1.0,1.0,1.0,0.0006812587380409241,0.4666666666666667,7
8,1.0,1.0,1.0,1.0,0.0005977489054203033,0.6666666666666666,5
9,1.0,1.0,1.0,1.0,0.0009117051959037781,0.26666666666666666,2
10,0.8,0.8,0.8954661380811543,0.9520891456484585,0.0008958354592323303,0.0,4
11,0.6666666666666666,0.6666666666666666,0.6014412058606107,0.639502713227199,0.0009921379387378693,0.06666666666666667,9
12,1.0,1.0,1.0,1.0,0.0010019997134804726,0.3333333333333333,4
13,1.0,1.0,1.0,1.0,0.0009610587731003761,0.4,6
14,1.0,1.0,1.0,1.0,0.0006878180429339409,0.4666666666666667,1
15,1.0,1.0,1.0,1.0,0.0009344182908535004,0.4666666666666667,3
16,1.0,1.0,1.0,1.0,0.001195431686937809,0.4666666666666667,7
17,1.0,1.0,1.0,1.0,0.0010422775521874428,0.4666666666666667,4
18,1.0,1.0,1.0,1.0,0.001028580591082573,0.26666666666666666,2
19,1.0,1.0,1.0,1.0,0.0009298892691731453,0.4,3
20,1.0,1.0,1.0,1.0,0.0009061526507139206,0.2,8
21,1.0,1.0,1.0,1.0,0.001007748767733574,0.4,7
22,1.0,1.0,1.0,1.0,0.0009518880397081375,0.4,0
23,0.8666666666666667,0.8666666666666667,0.9348233063983751,0.9693518212159795,0.0007892819121479988,0.13333333333333333,7
24,1.0,1.0,1.0,1.0,0.0009590499103069305,0.13333333333333333,2
25,1.0,1.0,1.0,1.0,0.0010227737948298454,0.4,6
26,1.0,1.0,1.0,1.0,0.0010530147701501846,0.26666666666666666,3
27,1.0,1.0,1.0,1.0,0.0010219793766736984,0.26666666666666666,3
28,1.0,1.0,1.0,1.0,0.001227380707859993,0.2,0
29,1.0,1.0,1.0,1.0,0.001449286937713623,0.26666666666666666,2
30,1.0,1.0,1.0,1.0,0.0010802606120705605,0.3333333333333333,5
31,1.0,1.0,1.0,1.0,0.0012144390493631363,0.4,2
32,1.0,1.0,1.0,1.0,0.0009981077164411545,0.13333333333333333,5
33,1.0,1.0,1.0,1.0,0.0007177973166108131,0.4666666666666667,5
34,1.0,1.0,1.0,1.0,0.0013465546071529388,0.26666666666666666,2
35,1.0,1.0,1.0,1.0,0.001007314771413803,0.26666666666666666,0
36,1.0,1.0,1.0,1.0,0.0008790437132120132,0.3333333333333333,1
37,1.0,1.0,1.0,1.0,0.0010565686970949173,0.4,9
38,1.0,1.0,1.0,1.0,0.0013215448707342148,0.3333333333333333,1
39,1.0,1.0,1.0,1.0,0.0010714158415794373,0.4,1
40,1.0,1.0,1.0,1.0,0.0011946018785238266,0.13333333333333333,4
41,1.0,1.0,1.0,1.0,0.0009926743805408478,0.3333333333333333,0
42,1.0,1.0,1.0,1.0,0.0011510094627738,0.2,4
43,1.0,1.0,1.0,1.0,0.0011897794902324677,0.26666666666666666,0
44,1.0,1.0,1.0,1.0,0.0009295698255300522,0.2,3
45,1.0,1.0,1.0,1.0,0.0010125739499926567,0.3333333333333333,5
46,1.0,1.0,1.0,1.0,0.0011271815747022629,0.4,6
47,1.0,1.0,1.0,1.0,0.0009725820273160934,0.2,8
48,1.0,1.0,1.0,1.0,0.001127210445702076,0.5333333333333333,1
49,1.0,1.0,1.0,1.0,0.0008861161768436432,0.06666666666666667,8
50,1.0,1.0,1.0,1.0,0.0013624979183077812,0.6666666666666666,1
51,1.0,1.0,1.0,1.0,0.0008755354210734367,0.06666666666666667,0
52,1.0,1.0,1.0,1.0,0.00062519870698452,0.5333333333333333,1
53,1.0,1.0,1.0,1.0,0.0005955221131443977,0.13333333333333333,6
54,1.0,1.0,1.0,1.0,0.0008962498977780342,0.4,4
55,1.0,1.0,1.0,1.0,0.0008861776441335678,0.26666666666666666,7
56,1.0,1.0,1.0,1.0,0.0010227356106042862,0.4666666666666667,7
57,1.0,1.0,1.0,1.0,0.0009645838290452957,0.06666666666666667,6
58,0.8666666666666667,0.8666666666666667,0.9475754064831913,0.9755312892913109,0.0010154927149415016,0.4,8
59,1.0,1.0,1.0,1.0,0.0007592160254716873,0.0,8
60,1.0,1.0,1.0,1.0,0.0009428057819604874,0.06666666666666667,1
61,1.0,1.0,1.0,1.0,0.0010179998353123665,0.13333333333333333,6
