method,available,neighborhood_recall_at_k,reference_trustworthiness,label_knn_accuracy,mean_query_latency_seconds,n_queries,k,reason
standard_umap,True,0.14604003481288075,0.8545979917193369,0.46475195822454307,,766.0,15.0,
reduced_repulsion_umap,True,0.14612706701479547,0.8545979917193369,0.47911227154047,,766.0,15.0,
weighted_knn,True,0.11201044386422976,0.8545979917193369,0.4608355091383812,0.0002912068386943938,766.0,15.0,
parametric_umap,False,,,,,,,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow"
numap_sep_spectralnet,False,,,,,,,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).
param_repulsor,False,,,,,,,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).
ours,True,0.1630113141862489,0.865072354805069,0.49216710182767626,0.35323837182822565,766.0,15.0,
ours_oracle_neighbors,True,0.1641427328111401,0.865072354805069,0.49216710182767626,0.34539415482212804,766.0,15.0,
no_repulsion,True,0.15535248041775457,0.865072354805069,0.4765013054830287,0.14814032241580496,766.0,15.0,
exact_repulsion_diagnostic,True,0.15466666666666665,0.865072354805069,0.58,0.3509251162968576,50.0,15.0,
