query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,1.0,1.0,1.0,1.0,0.07765180245041847,0.5333333333333333,gamma
1,0.9333333333333333,0.9333333333333333,0.9981345195550305,0.9992398099244496,0.0004915781319141388,0.6666666666666666,gamma
2,1.0,1.0,1.0,1.0,0.00043988414108753204,0.4,gamma
3,0.8666666666666667,0.8666666666666667,0.9142738863049296,0.9588122030651192,0.0004159994423389435,0.26666666666666666,gamma
4,0.9333333333333333,0.9333333333333333,0.9978574769680247,0.9991064856220192,0.0004363851621747017,0.6666666666666666,gamma
5,1.0,1.0,1.0,1.0,0.00041737407445907593,0.8,gamma
6,1.0,1.0,1.0,1.0,0.0004375586286187172,0.7333333333333333,gamma
7,1.0,1.0,1.0,1.0,0.00041356775909662247,0.6666666666666666,gamma
8,0.9333333333333333,0.9333333333333333,0.9699145755450613,0.9861572287556544,0.0004054419696331024,0.7333333333333333,gamma
9,0.9333333333333333,0.9333333333333333,0.9825740899442447,0.9924047412253767,0.0004146834835410118,0.8,gamma
10,0.9333333333333333,0.9333333333333333,0.9856818995915474,0.993879916503233,0.00040535349398851395,0.7333333333333333,gamma
11,1.0,1.0,1.0,1.0,0.0004146033897995949,0.7333333333333333,gamma
12,1.0,1.0,1.0,1.0,0.00041044503450393677,0.7333333333333333,gamma
13,1.0,1.0,1.0,1.0,0.0004140986129641533,0.6666666666666666,gamma
14,0.8,0.8,0.8954432213071732,0.9515410201760764,0.0004059942439198494,0.4,gamma
15,0.8,0.8,0.9067513237556547,0.9570660907081544,0.00042169634252786636,0.6,gamma
16,0.8,0.8,0.9291519266757162,0.9685311666472237,0.0004085274413228035,0.5333333333333333,gamma
17,0.7333333333333333,0.7333333333333333,0.8789366210958778,0.9438020502849326,0.0004349062219262123,0.6,gamma
18,1.0,1.0,1.0,1.0,0.0004182495176792145,0.8,gamma
19,0.9333333333333333,0.9333333333333333,0.9687044005290434,0.9856650316806387,0.00043143797665834427,0.6666666666666666,gamma
