method,query_index,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,periphery_percentile,label
ours_full,0,0.0,0.1,0.13333333333333333,0.16666666666666666,0.15031240966768664,0.25448478163109267,0.6633305595672863,0.5282161451850584,0.16617229580879211,99.7340425531915,gamma
ours_full,1,0.0,0.1,0.06666666666666667,0.16666666666666666,0.13773621360975472,0.05130287509733619,0.2633728816909806,0.21306490945684364,0.4235217273235321,9.574468085106384,gamma
ours_full,2,0.0,0.0,0.0,0.06666666666666667,0.06012868168021762,0.2257548637106159,1.1615825031853053,0.43400329051583475,0.5284981727600098,7.712765957446808,gamma
ours_full,3,0.0,0.1,0.26666666666666666,0.13333333333333333,0.12567654399958236,0.5594021646943004,1.886193374458757,0.9291259370600551,0.45891502499580383,100.0,gamma
ours_full,4,0.0,0.1,0.13333333333333333,0.16666666666666666,0.16737851854144098,0.04488240468576475,0.22362594971551797,0.20311197532947248,0.17203111946582794,0.5319148936170213,gamma
ours_full,5,0.2,0.2,0.26666666666666666,0.16666666666666666,0.2390722314999743,0.01146782095617135,0.07904551382031298,0.18702744414168587,0.1318548321723938,0.7978723404255319,gamma
ours_full,6,0.4,0.2,0.13333333333333333,0.2,0.19150930561180968,0.007137075106114383,0.059205245590682465,0.21724889830401045,0.38009509444236755,1.5957446808510638,gamma
ours_full,7,0.0,0.1,0.13333333333333333,0.23333333333333334,0.30270820357436395,0.009093700585632712,0.07581499626496442,0.2770939845240671,0.31479573249816895,27.127659574468083,gamma
ours_full,8,0.0,0.1,0.2,0.23333333333333334,0.22330818980032532,0.013995589733716928,0.10536878693992073,0.09876103789945385,0.10820998251438141,23.138297872340424,gamma
ours_full,9,0.0,0.0,0.06666666666666667,0.1,0.08231814161132622,0.022310963056621346,0.1319465217811342,0.07875164251598042,0.1819622814655304,7.180851063829788,gamma
ours_full,10,0.0,0.1,0.06666666666666667,0.1,0.10367324606802313,0.008106047873457192,0.07997938245437183,0.22551483904609868,0.1921745240688324,11.96808510638298,gamma
ours_full,11,0.2,0.2,0.26666666666666666,0.23333333333333334,0.26656944269893773,0.02048386201078529,0.11484453569919174,0.05380079741368854,0.16704994440078735,39.62765957446808,gamma
ours_full,12,0.0,0.1,0.2,0.13333333333333333,0.20575571902703402,0.009817618808309735,0.07942253368362687,0.28490666005876286,0.18142807483673096,11.436170212765957,gamma
ours_full,13,0.0,0.0,0.0,0.06666666666666667,0.050510368460461044,0.06814587536107931,0.32032768848074883,0.3194766392478677,0.13553281128406525,11.436170212765957,gamma
ours_full,14,0.0,0.2,0.13333333333333333,0.1,0.09773284205123127,0.009304321264529937,0.07927993224097159,0.40393530452792153,0.37348222732543945,10.106382978723403,gamma
ours_full,15,0.0,0.1,0.13333333333333333,0.2,0.20841988774401116,0.09756811886709606,0.4583612751050522,0.423690996826823,0.3174857199192047,0.5319148936170213,gamma
ours_full,16,0.2,0.1,0.06666666666666667,0.16666666666666666,0.20228501346250743,0.056608967427266614,0.28900793538259606,0.48367603959356054,0.5038202404975891,18.617021276595743,gamma
ours_full,17,0.0,0.0,0.2,0.13333333333333333,0.13559478847997414,0.009796211472607383,0.08963406978962617,0.23109820365395528,0.33713436126708984,27.127659574468083,gamma
ours_full,18,0.0,0.1,0.06666666666666667,0.16666666666666666,0.14116718793749908,0.008882748263630356,0.08608419252436174,0.3291350393228018,0.19896440207958221,28.191489361702125,gamma
ours_full,19,0.0,0.2,0.13333333333333333,0.16666666666666666,0.2396423637943034,0.009355476839243653,0.07984722307508012,0.22757706826731608,0.09633272886276245,5.585106382978723,gamma
ours_full,20,0.0,0.1,0.06666666666666667,0.1,0.1159520825100576,0.026381367436813075,0.14330221974654894,0.3112987158105104,0.3086654245853424,6.914893617021277,gamma
ours_full,21,0.0,0.0,0.13333333333333333,0.26666666666666666,0.22151873616022996,0.010724767403239807,0.08033636759141013,0.30379587894387566,0.3227704167366028,15.957446808510639,gamma
ours_full,22,0.0,0.0,0.13333333333333333,0.06666666666666667,0.05838522499752563,0.011384677171522107,0.0886754707133578,0.1716314554243595,0.2934758961200714,10.638297872340425,gamma
ours_full,23,0.0,0.0,0.06666666666666667,0.23333333333333334,0.18187435343615774,0.01530636811457107,0.10191947759640259,0.136137879133888,0.18861837685108185,18.617021276595743,gamma
ours_full,24,0.0,0.0,0.13333333333333333,0.16666666666666666,0.14262955605889088,0.02577112678557055,0.15720190775383033,0.19877984398029958,0.2318679541349411,56.11702127659575,gamma
ours_full,25,0.0,0.0,0.0,0.06666666666666667,0.048476814720604396,0.023173350594632054,0.1380912076078786,0.18231652375267457,0.3784751296043396,30.319148936170215,gamma
ours_full,26,0.0,0.0,0.06666666666666667,0.13333333333333333,0.09943950450562275,0.009782096852593725,0.0815846828583593,0.33508953999317137,0.4014434814453125,34.840425531914896,gamma
ours_full,27,0.0,0.0,0.06666666666666667,0.13333333333333333,0.10502229265874125,0.015222524974481965,0.11638075163267385,0.32096228940451815,0.4054447412490845,34.308510638297875,gamma
ours_full,28,0.0,0.0,0.0,0.1,0.07391116590187195,0.02056895244799682,0.1289488439313331,0.34211711125380884,0.3494013249874115,29.78723404255319,gamma
