query_index,recall_at_k,candidate_recall_at_m,fuzzy_weighted_recall,ndcg_at_k,latency_seconds,embedding_recall_ours_full,true_label
0,0.8666666666666667,0.8666666666666667,0.912503473669187,0.9581201883791066,0.023668566718697548,0.13333333333333333,gamma
1,0.8666666666666667,0.8666666666666667,0.9563716852980204,0.9808172781199417,0.0008246023207902908,0.06666666666666667,gamma
2,0.8,0.8,0.8666494089995292,0.9348230878295121,0.0007294006645679474,0.0,gamma
3,0.7333333333333333,0.7333333333333333,0.8131184764317405,0.899619689917076,0.0007465211674571037,0.26666666666666666,gamma
4,0.8666666666666667,0.8666666666666667,0.9777710315608248,0.9900427010597512,0.0007178084924817085,0.13333333333333333,gamma
5,0.9333333333333333,0.9333333333333333,0.9714733116865448,0.9873012010834198,0.000687641091644764,0.26666666666666666,gamma
6,0.9333333333333333,0.9333333333333333,0.9959480781647879,0.9983308802957358,0.0006865952163934708,0.13333333333333333,gamma
7,1.0,1.0,1.0,1.0,0.0006756754592061043,0.13333333333333333,gamma
8,1.0,1.0,1.0,1.0,0.0006782431155443192,0.2,gamma
9,1.0,1.0,1.0,1.0,0.0006904108449816704,0.06666666666666667,gamma
10,0.9333333333333333,0.9333333333333333,0.9663938983306171,0.9844034010581783,0.0006647519767284393,0.06666666666666667,gamma
11,1.0,1.0,1.0,1.0,0.0007138215005397797,0.26666666666666666,gamma
12,1.0,1.0,1.0,1.0,0.0006828820332884789,0.2,gamma
13,0.7333333333333333,0.7333333333333333,0.8843021925913781,0.946581052470607,0.00067945197224617,0.0,gamma
14,1.0,1.0,1.0,1.0,0.0006908299401402473,0.13333333333333333,gamma
15,1.0,1.0,1.0,1.0,0.0006975866854190826,0.13333333333333333,gamma
16,1.0,1.0,1.0,1.0,0.0006984760984778404,0.06666666666666667,gamma
17,1.0,1.0,1.0,1.0,0.0006610555574297905,0.2,gamma
18,1.0,1.0,1.0,1.0,0.0006793225184082985,0.06666666666666667,gamma
19,1.0,1.0,1.0,1.0,0.0009571639820933342,0.13333333333333333,gamma
20,1.0,1.0,1.0,1.0,0.0007156878709793091,0.06666666666666667,gamma
21,0.9333333333333333,0.9333333333333333,0.9617383034165014,0.9822284298822265,0.000681612640619278,0.13333333333333333,gamma
22,1.0,1.0,1.0,1.0,0.0006795991212129593,0.13333333333333333,gamma
23,1.0,1.0,1.0,1.0,0.0006664339452981949,0.06666666666666667,gamma
24,0.9333333333333333,0.9333333333333333,0.9753755362390328,0.9892126270496007,0.0006950469687581062,0.13333333333333333,gamma
25,0.9333333333333333,0.9333333333333333,0.956042438586712,0.9793579672216323,0.0006678178906440735,0.0,gamma
26,1.0,1.0,1.0,1.0,0.0007053632289171219,0.06666666666666667,gamma
27,0.9333333333333333,0.9333333333333333,0.9708627964447487,0.986633450814838,0.0006690872833132744,0.06666666666666667,gamma
28,1.0,1.0,1.0,1.0,0.0006825067102909088,0.0,gamma
29,1.0,1.0,1.0,1.0,0.0006733722984790802,0.2,gamma
30,1.0,1.0,1.0,1.0,0.0006561595946550369,0.06666666666666667,gamma
31,1.0,1.0,1.0,1.0,0.0006585512310266495,0.0,gamma
32,1.0,1.0,1.0,1.0,0.0007069893181324005,0.13333333333333333,gamma
33,1.0,1.0,1.0,1.0,0.0006556892767548561,0.13333333333333333,gamma
34,1.0,1.0,1.0,1.0,0.0006553418934345245,0.06666666666666667,gamma
35,1.0,1.0,1.0,1.0,0.0006920425221323967,0.06666666666666667,gamma
36,1.0,1.0,1.0,1.0,0.000660366378724575,0.2,gamma
37,1.0,1.0,1.0,1.0,0.0006569819524884224,0.0,gamma
38,1.0,1.0,1.0,1.0,0.000675031915307045,0.06666666666666667,gamma
39,0.9333333333333333,0.9333333333333333,0.9563875424386787,0.979202396505357,0.0006749741733074188,0.13333333333333333,gamma
