dataset,method,success,scope,n_queries,k,phase,priority,source,metric_sources,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,reference_trustworthiness,label_knn_accuracy,fit_time_seconds,mean_query_latency_seconds,local_displacement,fuzzy_weighted_mse,fuzzy_weighted_bce,repulsion_accumulation_score,periphery_percentile,recall15_direct,recall15_multi_k,per_query_phase_recall15_mean
coil20,ours,True,full,360.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)""}",0.6283333333333333,0.7466666666666667,0.773888888888889,0.729074074074074,0.7968993844835426,0.9922934113552215,0.8694444444444445,NaN,0.08365976860643261,0.2667951029096953,0.0641396180835477,0.26513433996184554,0.3080378282168466,47.901234567901234,0.773888888888889,NaN,0.773888888888889
coil20,ours_oracle_neighbors,True,full,360.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)""}",0.6277777777777778,0.746388888888889,0.7740740740740741,0.7291666666666666,0.7966432564588968,0.9922934113552215,0.8694444444444445,NaN,0.08361580579852064,0.2661298906219345,0.0638513410696194,0.26393139549317945,0.30768447786621334,47.80864197530864,0.7740740740740741,NaN,0.7740740740740741
coil20,no_repulsion,True,full,360.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)""}",0.6188888888888888,0.7477777777777778,0.7757407407407407,0.729537037037037,0.7967581329060096,0.9922934113552215,0.875,NaN,0.032786239753477275,0.22080719017163486,0.06299117668777883,0.26195611223426635,0.25218143857394654,43.96090534979423,0.7757407407407407,NaN,0.7757407407407407
coil20,repulsion_oracle_diagnostic,True,subset,50.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)""}",0.68,0.768,0.8119999999999998,0.7553333333333334,0.819588404784566,0.9922934113552215,0.84,NaN,0.10244368012994527,0.22603395306994892,0.0404110161722952,0.17042637458244506,0.40590708419680593,53.0,0.8119999999999998,NaN,0.8119999999999998
coil20,spectral_only,True,full,360.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)""}",0.21944444444444444,0.2972222222222222,0.32925925925925925,0.4099074074074074,0.4380287566591548,0.8974504479250616,0.7,NaN,NaN,0.8416208900374382,0.019045803717843836,0.08252607852827744,0.5909749363083392,57.40226337448559,0.32925925925925925,NaN,0.32925925925925925
coil20,standard_umap,True,full,360.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv (per-query mean)""}",0.5461111111111111,0.715,0.7611111111111111,0.7338888888888888,0.7959176487458358,0.9917509957134681,0.8527777777777777,NaN,NaN,0.5433300137443183,0.049392492861816815,0.23730774717629013,0.48634806087033616,57.56172839506173,0.7611111111111111,NaN,0.7611111111111111
coil100,ours,True,full,1800.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)""}",0.5586666666666666,0.6700555555555556,0.6938148148148148,0.6859074074074073,0.7478108021020754,0.9947148279021071,0.8866666666666667,NaN,0.08117086206614557,0.30782662937016336,0.03712060633364844,0.16105748139496226,0.32278732142669875,46.55967078189301,0.6938148148148148,NaN,0.6938148148148148
coil100,ours_oracle_neighbors,True,full,1800.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)""}",0.5584444444444445,0.67,0.6938888888888889,0.6859814814814816,0.7477760216612591,0.9947148279021071,0.8866666666666667,NaN,0.20021089475912351,0.3075979744915409,0.03715752554301147,0.16108216896007307,0.3226080205397577,46.51440329218107,0.6938888888888889,NaN,0.6938888888888889
coil100,no_repulsion,True,full,1800.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)""}",0.5608888888888889,0.6700555555555555,0.6935925925925926,0.6861111111111111,0.7477084410931182,0.9947148279021071,0.8861111111111111,NaN,0.03162740914099332,0.3035169247215519,0.03707916318642416,0.16088903951251868,0.31680445034056903,46.434156378600825,0.6935925925925926,NaN,0.6935925925925926
coil100,repulsion_oracle_diagnostic,True,subset,50.0,15.0,internal_evaluate,0,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,"{""recall_at_15"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""reference_trustworthiness"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""label_knn_accuracy"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""mean_query_latency_seconds"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall15_direct"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json"", ""recall_at_5"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_10"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""recall_at_30"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""ndcg"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""local_displacement"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_mse"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""fuzzy_weighted_bce"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""repulsion_accumulation_score"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)"", ""periphery_percentile"": ""/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv (per-query mean)""}",0.5680000000000001,0.64,0.6653333333333332,0.6913333333333332,0.7451656939476062,0.9947148279021071,0.94,NaN,0.06990316344425082,0.3944817459127645,0.04398121418489847,0.17710369483361174,0.41895614817738536,47.25925925925926,0.6653333333333332,NaN,0.6653333333333332
