dataset,method,phase,success,status,reason,source,selected_success
coil20,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,True
coil20,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,True
coil20,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,True
coil20,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,True
coil20,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,True
coil20,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/embedding.json,True
coil100,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,True
coil100,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,True
coil100,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,True
coil100,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,True
coil100,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,True
coil100,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/embedding.json,True
pancreas,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/embedding.json,True
pancreas,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/embedding.json,True
pancreas,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/embedding.json,True
pancreas,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/embedding.json,True
pancreas,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/embedding.json,True
pancreas,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/embedding.json,True
pancreas_batch_corrected,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/embedding.json,True
pancreas_batch_corrected,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/embedding.json,True
pancreas_batch_corrected,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/embedding.json,True
pancreas_batch_corrected,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/embedding.json,True
pancreas_batch_corrected,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/embedding.json,True
pancreas_batch_corrected,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/embedding.json,True
fashion_mnist,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/embedding.json,True
fashion_mnist,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/embedding.json,True
fashion_mnist,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/embedding.json,True
fashion_mnist,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/fashion_mnist/main/metrics/embedding.json,True
