dataset,method,scope,n_queries,recall_at_15,ours_matched_recall15,delta_vs_ours,ndcg,ndcg_delta_vs_ours,local_displacement,displacement_improvement_vs_ours,comparison_phase
coil20,ours,full,360.0,0.773888888888889,0.773888888888889,0.0,0.7968993844835426,0.0,0.2667951029096953,0.0,aggregate_full
coil20,ours_oracle_neighbors,full,360.0,0.7740740740740741,0.773888888888889,0.00018518518518517713,0.7966432564588968,-0.00025612802464580753,0.2661298906219345,0.0006652122877608413,aggregate_full
coil20,no_repulsion,full,360.0,0.7757407407407407,0.773888888888889,0.0018518518518517713,0.7967581329060096,-0.0001412515775329748,0.22080719017163486,0.045987912738060466,aggregate_full
coil20,repulsion_oracle_diagnostic,subset,50.0,0.8119999999999998,0.8053333333333333,0.0066666666666664876,0.819588404784566,-0.0001859622090584212,0.22603395306994892,-0.012848858288114912,aggregate_diagnostic_vs_advanced_ours_same_subset
coil100,ours,full,1800.0,0.6938148148148148,0.6938148148148148,0.0,0.7478108021020754,0.0,0.30782662937016336,0.0,aggregate_full
coil100,ours_oracle_neighbors,full,1800.0,0.6938888888888889,0.6938148148148148,7.407407407411526e-05,0.7477760216612591,-3.47804408162844e-05,0.3075979744915409,0.00022865487862244738,aggregate_full
coil100,no_repulsion,full,1800.0,0.6935925925925926,0.6938148148148148,-0.00022222222222212373,0.7477084410931182,-0.00010236100895721911,0.3035169247215519,0.004309704648611468,aggregate_full
coil100,repulsion_oracle_diagnostic,subset,50.0,0.6653333333333332,0.6573333333333332,0.008000000000000007,0.7451656939476062,0.002272102146521182,0.3944817459127645,-0.004109189274777658,aggregate_diagnostic_vs_advanced_ours_same_subset
pancreas,ours,full,4679.0,0.2365462705706348,0.2365462705706348,0.0,0.3209751878140304,0.0,0.43502234129973927,0.0,aggregate_full
pancreas,ours_oracle_neighbors,full,4679.0,0.2366602550402508,0.2365462705706348,0.0001139844696159964,0.32034123207990517,-0.0006339557341252244,0.42354721977959475,0.011475121520144516,aggregate_full
pancreas,no_repulsion,full,4679.0,0.23581961957683262,0.2365462705706348,-0.0007266509938021748,0.3228471674870938,0.0018719796730634064,0.41679020578432646,0.018232135515412806,aggregate_full
pancreas,repulsion_oracle_diagnostic,subset,50.0,0.2613333333333333,0.256,0.005333333333333301,0.32535698208215375,0.0037799894849790405,0.4225672209813909,-0.01450485962306769,aggregate_diagnostic_vs_advanced_ours_same_subset
pancreas_batch_corrected,ours,full,4679.0,0.11697656194343518,0.11697656194343518,0.0,0.16116577118708597,0.0,0.4009813900978557,0.0,aggregate_full
pancreas_batch_corrected,ours_oracle_neighbors,full,4679.0,0.11733276341098525,0.11697656194343518,0.00035620146755006854,0.16042794500216484,-0.0007378261849211309,0.39236094700611035,0.008620443091745367,aggregate_full
pancreas_batch_corrected,no_repulsion,full,4679.0,0.1046092469900976,0.11697656194343518,-0.01236731495333758,0.14747666745770358,-0.013689103729382396,0.30200129921822566,0.09898009087963006,aggregate_full
pancreas_batch_corrected,repulsion_oracle_diagnostic,subset,50.0,0.128,0.12133333333333333,0.006666666666666668,0.16478180239331053,-0.0028764215516095537,0.3961302907224465,-0.019711623028146608,aggregate_diagnostic_vs_advanced_ours_same_subset
fashion_mnist,ours,full,2000.0,0.30290000000000006,0.30290000000000006,0.0,0.3919148725468671,0.0,0.2845988152159605,0.0,aggregate_full
fashion_mnist,ours_oracle_neighbors,full,2000.0,0.3033666666666667,0.30290000000000006,0.00046666666666661527,0.391752489408962,-0.00016238313790506442,0.2831786046524969,0.0014202105634635864,aggregate_full
