dataset,method,recall_at_15,standard_umap,absolute_gain,relative_gain
coil20,ours,0.773888888888889,0.7611111111111111,0.012777777777777888,0.01678832116788336
coil20,ours_oracle_neighbors,0.7740740740740741,0.7611111111111111,0.012962962962963065,0.017031630170316437
coil20,no_repulsion,0.7757407407407407,0.7611111111111111,0.014629629629629659,0.01922141119221415
coil20,spectral_only,0.32925925925925925,0.7611111111111111,-0.4318518518518518,-0.5673965936739659
coil20,standard_umap,0.7611111111111111,0.7611111111111111,0.0,0.0
coil20,numap,0.09518518518518518,0.7611111111111111,-0.6659259259259259,-0.8749391727493918
coil20,paramrepulsor,0.6016666666666667,0.7611111111111111,-0.1594444444444444,-0.20948905109489044
coil100,ours,0.6938148148148148,0.6773703703703704,0.016444444444444373,0.0242768877467329
coil100,ours_oracle_neighbors,0.6938888888888889,0.6773703703703704,0.016518518518518488,0.024386243096943473
coil100,no_repulsion,0.6935925925925926,0.6773703703703704,0.01622222222222225,0.02394882169610152
coil100,spectral_only,0.38662962962962966,0.6773703703703704,-0.29074074074074074,-0.429219749576248
coil100,standard_umap,0.6773703703703704,0.6773703703703704,0.0,0.0
coil100,numap,0.06855555555555555,0.6773703703703704,-0.6088148148148148,-0.8987916233801738
coil100,paramrepulsor,0.44370370370370377,0.6773703703703704,-0.23366666666666663,-0.3449614522390507
pancreas,ours,0.2365462705706348,0.21044382702856732,0.026102443542067477,0.1240352064996619
pancreas,ours_oracle_neighbors,0.2366602550402508,0.21044382702856732,0.026216428011683474,0.12457684495599221
pancreas,no_repulsion,0.23581961957683262,0.21044382702856732,0.025375792548265302,0.12058226134055522
pancreas,spectral_only,0.05744817268647146,0.21044382702856732,-0.15299565434209586,-0.7270142180094786
pancreas,standard_umap,0.21044382702856732,0.21044382702856732,0.0,0.0
pancreas,numap,0.013364679062477737,0.21044382702856732,-0.19707914796608958,-0.9364928909952607
pancreas,paramrepulsor,0.09380921849398019,0.21044382702856732,-0.11663460853458713,-0.5542315504400812
pancreas_batch_corrected,ours,0.11697656194343518,0.09031844411198975,0.026658117831445435,0.29515696482094933
pancreas_batch_corrected,ours_oracle_neighbors,0.11733276341098525,0.09031844411198975,0.027014319298995504,0.29910080454330323
pancreas_batch_corrected,no_repulsion,0.1046092469900976,0.09031844411198975,0.014290802878107856,0.15822684966082975
pancreas_batch_corrected,spectral_only,0.01145543919640949,0.09031844411198975,-0.07886300491558026,-0.8731661145291056
pancreas_batch_corrected,standard_umap,0.09031844411198975,0.09031844411198975,0.0,0.0
pancreas_batch_corrected,numap,0.010059129443613308,0.09031844411198975,-0.08025931466837644,-0.888625966240732
pancreas_batch_corrected,paramrepulsor,0.04083493623993731,0.09031844411198975,-0.04948350787205244,-0.5478782142293738
fashion_mnist,ours,0.30290000000000006,0.2859666666666667,0.016933333333333356,0.05921436064809425
fashion_mnist,ours_oracle_neighbors,0.3033666666666667,0.2859666666666667,0.01739999999999997,0.06084625247697856
fashion_mnist,no_repulsion,0.3013,0.2859666666666667,0.01533333333333331,0.05361930294906157
fashion_mnist,spectral_only,0.07986666666666667,0.2859666666666667,-0.20610000000000003,-0.7207133698566267
fashion_mnist,standard_umap,0.2859666666666667,0.2859666666666667,0.0,0.0
fashion_mnist,reduced_repulsion_umap,0.2893,0.2859666666666667,0.0033333333333332993,0.011656370206317632
fashion_mnist,weighted_knn,0.2557,0.2859666666666667,-0.03026666666666672,-0.10583984147336536
fashion_mnist,numap,0.017900000000000003,0.2859666666666667,-0.2680666666666667,-0.9374052919920736
fashion_mnist,paramrepulsor,0.1385,0.2859666666666667,-0.1474666666666667,-0.5156778179274975
mnist_oos,ours,0.26966666666666667,0.23773333333333335,0.031933333333333314,0.1343241727425686
mnist_oos,ours_oracle_neighbors,0.26956666666666673,0.23773333333333335,0.03183333333333338,0.1339035333707237
mnist_oos,no_repulsion,0.26683333333333337,0.23773333333333335,0.029100000000000015,0.12240605720695462
mnist_oos,spectral_only,0.05553333333333333,0.23773333333333335,-0.18220000000000003,-0.7664049355019631
mnist_oos,standard_umap,0.23773333333333335,0.23773333333333335,0.0,0.0
mnist_oos,reduced_repulsion_umap,0.23943333333333333,0.23773333333333335,0.0016999999999999793,0.007150869321368393
mnist_oos,weighted_knn,0.20456666666666667,0.23773333333333335,-0.03316666666666668,-0.1395120583286596
mnist_oos,numap,0.04156666666666666,0.23773333333333335,-0.19616666666666668,-0.8251542344363433
mnist_oos,paramrepulsor,0.1176,0.23773333333333335,-0.12013333333333336,-0.5053280987100394
