dataset,baseline,metric,scope,family,ours_source,baseline_source,status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,p_value,test,n_bootstrap,n_permutations,seed,direction,p_holm
coil20,ours_oracle_neighbors,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.773888888888889,0.7740740740740741,-0.00018518518518518515,0.0,-0.001111111111111111,0.0005555555555555554,0.002777777777777778,0.9944444444444445,1.0,exact_sign_flip,10000,4,17604691092497092221,higher,1.0
coil20,ours_oracle_neighbors,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.7968993844835426,0.7966432564588968,0.00025612802464589155,0.0,-1.2740589500680805e-05,0.0007317248870503013,0.008333333333333333,0.9888888888888889,0.375,exact_sign_flip,10000,16,8525174673794867641,higher,1.0
coil20,ours_oracle_neighbors,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.2667951029096953,0.2661298906219345,-0.0006652122877607402,0.0,-0.002058342564092469,5.3951492950282176e-05,0.30833333333333335,0.36944444444444446,0.7748225177482252,monte_carlo_sign_flip_plus_one,10000,10000,5967479805282622123,lower,1.0
coil20,no_repulsion,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.773888888888889,0.7757407407407407,-0.0018518518518518508,0.0,-0.005185185185185184,0.0014814814814814827,0.06388888888888888,0.8333333333333334,0.32856714328567144,monte_carlo_sign_flip_plus_one,10000,10000,11490828383982370092,higher,1.0
coil20,no_repulsion,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.7968993844835426,0.7967581329060096,0.00014125157753300819,0.0,-0.0014127574615827154,0.0019699098196179037,0.25277777777777777,0.4027777777777778,0.8811118888111189,monte_carlo_sign_flip_plus_one,10000,10000,5867706159638077584,higher,1.0
coil20,no_repulsion,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.2667951029096953,0.22080719017163486,-0.04598791273806042,-0.031634429064375975,-0.0544724593675111,-0.03769112236672196,0.25,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,11493674931241945357,lower,0.003999600039996
coil20,repulsion_oracle_diagnostic,recall_at_15,subset,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,50,0,0.8053333333333335,0.812,-0.006666666666666665,0.0,-0.014666666666666663,0.0,0.04,0.82,0.1796875,exact_sign_flip,10000,512,18308594508645867082,higher,1.0
coil20,repulsion_oracle_diagnostic,ndcg,subset,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,50,0,0.8197743669936244,0.819588404784566,0.00018596220905859885,0.0,-0.0034785112886230574,0.004291479169803125,0.32,0.34,0.9813018698130187,monte_carlo_sign_flip_plus_one,10000,10000,16439410025791144063,higher,1.0
coil20,repulsion_oracle_diagnostic,local_displacement,subset,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,50,0,0.21318509478183403,0.22603395306994892,0.012848858288114837,0.021927192162877585,-0.01639054106811543,0.04155521876558606,0.58,0.0,0.39406059394060594,monte_carlo_sign_flip_plus_one,10000,10000,12671244707657499020,lower,1.0
coil20,spectral_only,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.773888888888889,0.32925925925925925,0.4446296296296296,0.4666666666666666,0.4201805555555556,0.46925925925925926,0.9555555555555556,0.013888888888888888,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,14426532654866294803,higher,0.0047995200479952005
coil20,spectral_only,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.7968993844835426,0.4380287566591548,0.3588706278243878,0.3574774842179339,0.3362868687929234,0.38072253388451016,0.9666666666666667,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,17283873615606447094,higher,0.005599440055994401
coil20,spectral_only,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.2667951029096953,0.8416208900374382,0.574825787127743,0.30958462481989824,0.4885564179664014,0.6688551209416643,0.7666666666666667,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,12765160079453009744,lower,0.003999600039996
coil20,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.773888888888889,0.7611111111111111,0.012777777777777784,0.0,0.0020370370370370416,0.023333333333333338,0.3416666666666667,0.425,0.019998000199980003,monte_carlo_sign_flip_plus_one,10000,10000,17072000017884027365,higher,0.019998000199980003
coil20,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.7968993844835426,0.7959176487458358,0.000981735737706743,0.0002659077821922651,-0.007158194148738194,0.00903856129508012,0.5222222222222223,0.041666666666666664,0.8104189581041896,monte_carlo_sign_flip_plus_one,10000,10000,18271060337491954838,higher,1.0
coil20,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.2667951029096953,0.5433300137443183,0.27653491083462306,0.15014108700266404,0.2328888041144989,0.32099427122316315,0.7583333333333333,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,9060341212960443782,lower,0.003999600039996
coil20,numap,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/numap/advanced_per_query.csv,ok,360,0,0.773888888888889,0.09518518518518518,0.6787037037037037,0.7333333333333333,0.6555555555555556,0.7005555555555555,0.9972222222222222,0.002777777777777778,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,7334145136836761775,higher,0.0047995200479952005
coil20,numap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/numap/advanced_per_query.csv,ok,360,0,0.7968993844835426,0.10343334834528845,0.6934660361382541,0.7229711759405693,0.6730209163988456,0.7135337913139891,1.0,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,5125889325396965582,higher,0.005599440055994401
coil20,paramrepulsor,recall_at_15,full,exploratory_recall_at_15,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/paramrepulsor/advanced_per_query.csv,ok,360,0,0.773888888888889,0.6016666666666667,0.17222222222222222,0.1333333333333333,0.14814814814814817,0.19648148148148148,0.7083333333333334,0.1527777777777778,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,5751976904322072625,higher,0.0047995200479952005
