dataset,baseline,metric,scope,family,ours_source,baseline_source,status,n_pairs,n_dropped,ours_mean,baseline_mean,mean_improvement,median_improvement,ci_low,ci_high,fraction_ours_better,fraction_tied,p_value,test,n_bootstrap,n_permutations,seed,direction,p_holm
coil20,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.773888888888889,0.7611111111111111,0.012777777777777784,0.0,0.0020370370370370416,0.023333333333333338,0.3416666666666667,0.425,0.019998000199980003,monte_carlo_sign_flip_plus_one,10000,10000,17072000017884027365,higher,0.019998000199980003
coil20,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.7968993844835426,0.7959176487458358,0.000981735737706743,0.0002659077821922651,-0.007158194148738194,0.00903856129508012,0.5222222222222223,0.041666666666666664,0.8104189581041896,monte_carlo_sign_flip_plus_one,10000,10000,18271060337491954838,higher,1.0
coil20,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil20/main/metrics/advanced_per_query.csv,ok,360,0,0.2667951029096953,0.5433300137443183,0.27653491083462306,0.15014108700266404,0.2328888041144989,0.32099427122316315,0.7583333333333333,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,9060341212960443782,lower,0.003999600039996
coil100,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.6938148148148148,0.676888888888889,0.016925925925925924,0.0,0.009259259259259259,0.024704629629629615,0.37277777777777776,0.31166666666666665,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,18223311059458985277,higher,0.0007999200079992001
coil100,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.7478108021020754,0.7370252216959087,0.010785580406166805,0.0004603055613355278,0.005115212983609661,0.01658055545157938,0.5161111111111111,0.04611111111111111,0.00039996000399960006,monte_carlo_sign_flip_plus_one,10000,10000,9958298871495876052,higher,0.008399160083991601
coil100,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/coil100/main/metrics/advanced_per_query.csv,ok,1800,0,0.30782662937016336,2.2136486105074002,1.9058219811372374,0.11563833909823197,0.861870004493379,3.274675695691969,0.695,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,16733707988240065919,lower,0.003999600039996
pancreas,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.2365462705706348,0.21044382702856732,0.02610244354206739,0.0,0.02205599487069887,0.03012075229749946,0.4486001282325283,0.23744389826886086,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,17636122168520685343,higher,0.0007999200079992001
pancreas,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.3209751878140304,0.2975585383800351,0.02341664943399524,0.018563832112556966,0.019546375779012144,0.027203524051293126,0.5633682410771532,0.004274417610600555,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,3388127109708696718,higher,0.005599440055994401
pancreas,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas/main/metrics/advanced_per_query.csv,ok,4679,0,0.43502234129973927,1.6435873639742236,1.2085650226744848,0.044789841167605815,0.7828346236221805,1.721022244291429,0.599487069886728,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,235134347607173645,lower,0.003999600039996
pancreas_batch_corrected,standard_umap,recall_at_15,full,primary_recall15_ours_vs_standard,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/advanced_per_query.csv,ok,4679,0,0.11697656194343518,0.09031844411198975,0.02665811783144547,0.0,0.023594785210515067,0.029707202393673863,0.43363966659542635,0.31908527463133146,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,13133042364110655511,higher,0.0007999200079992001
pancreas_batch_corrected,standard_umap,ndcg,full,exploratory_ndcg,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/advanced_per_query.csv,ok,4679,0,0.16116577118708597,0.1314332844100377,0.02973248677704828,0.023504488805288947,0.02665428785912209,0.03279662202525526,0.6035477666167984,0.022440692455652916,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,3831570985063861456,higher,0.005599440055994401
pancreas_batch_corrected,standard_umap,local_displacement,full,exploratory_local_displacement,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/advanced_per_query.csv,/home/suzuki/Learn/UMAPing/runs/pancreas_batch_corrected/main/metrics/advanced_per_query.csv,ok,4679,0,0.4009813900978557,2.1538449056311233,1.7528635155332675,0.2263888711965048,1.3229402466396643,2.358235930776205,0.7644795896559093,0.0,9.999000099990002e-05,monte_carlo_sign_flip_plus_one,10000,10000,6487357239114420684,lower,0.003999600039996
