dataset,method,metric,scope,n_queries,mean,median,p90,p95,threshold_90,threshold_95,fraction_ge_90,fraction_ge_95
coil20,ours,periphery_percentile,full,360,47.901234567901234,48.148148148148145,88.88888888888889,94.44444444444444,90.0,95.0,0.08055555555555556,0.030555555555555555
coil20,ours,repulsion_accumulation_score,full,360,0.3080378282168466,0.2783127874135971,0.5306024968624116,0.6323898524045944,0.9,0.95,0.002777777777777778,0.0
coil20,ours_oracle_neighbors,periphery_percentile,full,360,47.80864197530864,48.148148148148145,88.88888888888889,94.44444444444444,90.0,95.0,0.08055555555555556,0.030555555555555555
coil20,ours_oracle_neighbors,repulsion_accumulation_score,full,360,0.30768447786621334,0.2783122807741165,0.5264490544795991,0.6305229187011719,0.9,0.95,0.002777777777777778,0.0
coil20,no_repulsion,periphery_percentile,full,360,43.96090534979423,42.592592592592595,87.03703703703704,90.74074074074075,90.0,95.0,0.058333333333333334,0.013888888888888888
coil20,no_repulsion,repulsion_accumulation_score,full,360,0.25218143857394654,0.2268853858113289,0.4492912501096725,0.5133382469415665,0.9,0.95,0.0,0.0
coil20,repulsion_oracle_diagnostic,periphery_percentile,subset,50,53.0,52.77777777777778,94.62962962962963,99.16666666666666,90.0,95.0,0.16,0.1
coil20,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.40590708419680593,0.3676660656929016,0.6716507315635682,0.7832116603851318,0.9,0.95,0.02,0.0
coil20,spectral_only,periphery_percentile,full,360,57.40226337448559,61.111111111111114,90.92592592592598,96.29629629629629,90.0,95.0,0.13055555555555556,0.06111111111111111
coil20,spectral_only,repulsion_accumulation_score,full,360,0.5909749363083392,0.613783210515976,0.9505400121212005,0.9858167260885239,0.9,0.95,0.13055555555555556,0.10555555555555556
coil20,standard_umap,periphery_percentile,full,360,57.56172839506173,61.111111111111114,98.14814814814815,100.0,90.0,95.0,0.16944444444444445,0.125
coil20,standard_umap,repulsion_accumulation_score,full,360,0.48634806087033616,0.46951621770858765,0.8545207560062409,0.9180212974548341,0.9,0.95,0.06388888888888888,0.03333333333333333
coil100,ours,periphery_percentile,full,1800,46.55967078189301,44.44444444444444,88.88888888888889,92.5925925925926,90.0,95.0,0.06555555555555556,0.030555555555555555
coil100,ours,repulsion_accumulation_score,full,1800,0.32278732142669875,0.28258103132247925,0.598489946126938,0.7309948623180388,0.9,0.95,0.015,0.011111111111111112
coil100,ours_oracle_neighbors,periphery_percentile,full,1800,46.51440329218107,44.44444444444444,88.88888888888889,92.5925925925926,90.0,95.0,0.06444444444444444,0.030555555555555555
coil100,ours_oracle_neighbors,repulsion_accumulation_score,full,1800,0.3226080205397577,0.2828861176967621,0.5981785297393799,0.7309949189424514,0.9,0.95,0.015,0.010555555555555556
coil100,no_repulsion,periphery_percentile,full,1800,46.434156378600825,44.44444444444444,88.88888888888889,92.5925925925926,90.0,95.0,0.06722222222222222,0.03166666666666667
coil100,no_repulsion,repulsion_accumulation_score,full,1800,0.31680445034056903,0.27550794184207916,0.5949665188789368,0.7200181305408477,0.9,0.95,0.013333333333333334,0.009444444444444445
coil100,repulsion_oracle_diagnostic,periphery_percentile,subset,50,47.25925925925926,46.2962962962963,87.40740740740742,90.74074074074075,90.0,95.0,0.1,0.04
coil100,repulsion_oracle_diagnostic,repulsion_accumulation_score,subset,50,0.41895614817738536,0.3665003329515457,0.7437784969806671,0.9083654135465619,0.9,0.95,0.06,0.06
coil100,spectral_only,periphery_percentile,full,1800,50.25925925925926,50.0,88.88888888888889,94.44444444444444,90.0,95.0,0.095,0.042222222222222223
coil100,spectral_only,repulsion_accumulation_score,full,1800,0.49530640938319265,0.4836225211620331,0.8138574659824371,0.8850453853607178,0.9,0.95,0.04055555555555555,0.016666666666666666
coil100,standard_umap,periphery_percentile,full,1800,54.94032921810699,55.55555555555556,96.29629629629629,100.0,90.0,95.0,0.15,0.10388888888888889
coil100,standard_umap,repulsion_accumulation_score,full,1800,0.42612840808643443,0.36002102494239807,0.8665977537631988,0.9600397139787674,0.9,0.95,0.08222222222222222,0.05555555555555555
pancreas,ours,periphery_percentile,full,4679,57.516004396917324,66.77115987460816,92.79915435819787,95.20199063231848,90.0,95.0,0.20217995298140629,0.05556742893780722
pancreas,ours,repulsion_accumulation_score,full,4679,0.3260713270086127,0.295328289270401,0.5989882707595825,0.6875834345817565,0.9,0.95,0.004915580252190639,0.002992092327420389
