dataset,method,metric,scope,n_queries,mean,median,worst_5pct_mean,worst_1pct_mean,p5,p10,p90,p95,p99
coil20,ours,recall_at_15,full,360,0.773888888888889,0.8,0.32222222222222224,0.18333333333333335,0.4666666666666667,0.5333333333333333,NaN,NaN,NaN
coil20,ours,local_displacement,full,360,0.2667951029096953,0.20680861461625727,0.867178494690265,1.1308803830341179,NaN,NaN,0.5211582274481676,0.6974818353497353,0.8883209143823622
coil20,ours_oracle_neighbors,recall_at_15,full,360,0.7740740740740741,0.8,0.32592592592592595,0.18333333333333335,0.4666666666666667,0.5333333333333333,NaN,NaN,NaN
coil20,ours_oracle_neighbors,local_displacement,full,360,0.2661298906219345,0.2068095726466225,0.853644361334523,1.0715422509194812,NaN,NaN,0.52115937321871,0.6941439974982965,0.8722237906800698
coil20,no_repulsion,recall_at_15,full,360,0.7757407407407407,0.8,0.30000000000000004,0.18333333333333335,0.4633333333333333,0.5333333333333333,NaN,NaN,NaN
coil20,no_repulsion,local_displacement,full,360,0.22080719017163486,0.15927313993571884,0.8512675412918984,1.1295248378359946,NaN,NaN,0.45268015542949647,0.6285647387891512,0.88439101296628
coil20,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.812,0.8666666666666667,0.48888888888888893,0.4666666666666667,0.5333333333333333,0.5933333333333334,NaN,NaN,NaN
coil20,repulsion_oracle_diagnostic,local_displacement,subset,50,0.22603395306994892,0.1692493269537449,0.7562599196865308,0.7906156094005601,NaN,NaN,0.40073887957795634,0.5887460378545939,0.7842033660470902
coil20,spectral_only,recall_at_15,full,360,0.32925925925925925,0.3333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
coil20,spectral_only,local_displacement,full,360,0.8416208900374382,0.5862525591827528,3.57532317863644,5.028685837473174,NaN,NaN,1.8462960773223311,2.537702070277737,4.219809249972797
coil20,standard_umap,recall_at_15,full,360,0.7611111111111111,0.8,0.2740740740740741,0.03333333333333333,0.5299999999999999,0.6,NaN,NaN,NaN
coil20,standard_umap,local_displacement,full,360,0.5433300137443183,0.41688848177106913,1.8550643052024027,2.265389000448193,NaN,NaN,1.123730251746813,1.5108329248524233,2.088702291642852
coil100,ours,recall_at_15,full,1800,0.6938148148148148,0.7333333333333333,0.2133333333333333,0.08518518518518518,0.3333333333333333,0.4666666666666667,NaN,NaN,NaN
coil100,ours,local_displacement,full,1800,0.30782662937016336,0.1999910156846434,1.4673707149938606,2.5362721472906964,NaN,NaN,0.7026768255127559,0.9144415768075311,1.709023526887032
coil100,ours_oracle_neighbors,recall_at_15,full,1800,0.6938888888888889,0.7333333333333333,0.2148148148148148,0.08148148148148149,0.3333333333333333,0.4666666666666667,NaN,NaN,NaN
coil100,ours_oracle_neighbors,local_displacement,full,1800,0.3075979744915409,0.1999910156846434,1.4646407366001386,2.53626998325729,NaN,NaN,0.7007084225651069,0.9134921988578444,1.7090235514814691
coil100,no_repulsion,recall_at_15,full,1800,0.6935925925925926,0.7333333333333333,0.2133333333333333,0.08888888888888889,0.3333333333333333,0.4,NaN,NaN,NaN
coil100,no_repulsion,local_displacement,full,1800,0.3035169247215519,0.19243169874762914,1.4773107339478038,2.6278735108104834,NaN,NaN,0.698066194804182,0.9207475524507929,1.844035588581875
coil100,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.6653333333333332,0.7,0.2888888888888889,0.26666666666666666,0.3333333333333333,0.4,NaN,NaN,NaN
coil100,repulsion_oracle_diagnostic,local_displacement,subset,50,0.3944817459127644,0.2590469345385354,1.7209968369094657,2.319033145107023,NaN,NaN,0.8486249998621893,1.1293216266269297,1.9532077809532327
coil100,spectral_only,recall_at_15,full,1800,0.38662962962962966,0.4,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
coil100,spectral_only,local_displacement,full,1800,0.4744313535740143,0.38803104883379647,1.678854964238966,2.6796079859528614,NaN,NaN,0.9096574487413306,1.146324041095084,1.85713895864656
coil100,standard_umap,recall_at_15,full,1800,0.676888888888889,0.7333333333333333,0.1274074074074074,0.0,0.26666666666666666,0.4,NaN,NaN,NaN
coil100,standard_umap,local_displacement,full,1800,2.2136486105074002,0.34869839168820327,35.73391664727524,166.94665146872978,NaN,NaN,1.18579763171501,1.9120673019758554,6.2459647919795325
pancreas,ours,recall_at_15,full,4679,0.2365462705706348,0.2,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas,ours,local_displacement,full,4679,0.43502234129973927,0.38005513699769083,1.2813578320472059,2.3936469031438254,NaN,NaN,0.7803925466153976,0.8911645227035017,1.2706199972147785
pancreas,ours_oracle_neighbors,recall_at_15,full,4679,0.2366602550402508,0.2,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
pancreas,ours_oracle_neighbors,local_displacement,full,4679,0.42354721977959475,0.37253247552748225,1.1814324985106135,2.172592239131101,NaN,NaN,0.768319788854771,0.8671364541969279,1.072936632737713
pancreas,no_repulsion,recall_at_15,full,4679,0.23581961957683262,0.2,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
pancreas,no_repulsion,local_displacement,full,4679,0.41679020578432646,0.3506413328763764,1.2515579223288507,2.2293275436787248,NaN,NaN,0.7803899446485897,0.8888904102026443,1.2684149286738866
pancreas,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.2613333333333333,0.2,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas,repulsion_oracle_diagnostic,local_displacement,subset,50,0.4225672209813907,0.422566958704224,0.9876310544136705,1.2695825973916475,NaN,NaN,0.6829585963947777,0.8376886965538661,1.0662982113559614
pancreas,spectral_only,recall_at_15,full,4679,0.05744817268647146,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas,spectral_only,local_displacement,full,4679,1.2129516877512678,0.9883912923073364,3.7953245175731034,5.074817318530767,NaN,NaN,2.3920685521722143,2.990523401451769,4.289062999053036
pancreas,standard_umap,recall_at_15,full,4679,0.21044382702856732,0.2,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas,standard_umap,local_displacement,full,4679,1.6435873639742236,0.4602024115350413,23.396046944933204,99.04906778309058,NaN,NaN,1.0973946337114286,1.663956948784219,17.489265067004307
pancreas_batch_corrected,ours,recall_at_15,full,4679,0.11697656194343518,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,ours,local_displacement,full,4679,0.4009813900978557,0.3667818489555844,1.057589018924078,1.6668080854685985,NaN,NaN,0.6839609707119064,0.8155449240480022,1.0338051534088852
pancreas_batch_corrected,ours_oracle_neighbors,recall_at_15,full,4679,0.11733276341098525,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,ours_oracle_neighbors,local_displacement,full,4679,0.39236094700611035,0.35904552433712716,1.022262705566131,1.5654645431540015,NaN,NaN,0.674767988329456,0.7988550344207248,1.014366234325051
pancreas_batch_corrected,no_repulsion,recall_at_15,full,4679,0.1046092469900976,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,no_repulsion,local_displacement,full,4679,0.30200129921822566,0.24906584390792927,0.9465191391924656,1.4703524513355701,NaN,NaN,0.5703427143092751,0.7257355037907067,0.9650454856047536
pancreas_batch_corrected,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.12800000000000003,0.13333333333333333,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,repulsion_oracle_diagnostic,local_displacement,subset,50,0.39613029072244643,0.385528037446463,0.8670470054376906,0.9917921011916279,NaN,NaN,0.6639626107414452,0.7516896631629628,0.9138367620712554
pancreas_batch_corrected,spectral_only,recall_at_15,full,4679,0.01145543919640949,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,spectral_only,local_displacement,full,4679,1.6374879865407574,1.389764641659122,4.681592350655697,6.179240016912065,NaN,NaN,3.1101721132857403,3.746100893386401,5.25083901728089
pancreas_batch_corrected,standard_umap,recall_at_15,full,4679,0.09031844411198975,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
pancreas_batch_corrected,standard_umap,local_displacement,full,4679,2.1538449056311233,0.6318436462904334,30.977599660077175,103.77937541357225,NaN,NaN,1.186495227417651,1.4796337050841581,54.42892644640492
fashion_mnist,ours,recall_at_15,full,2000,0.30290000000000006,0.26666666666666666,0.008,0.0,0.06666666666666667,0.06666666666666667,NaN,NaN,NaN
fashion_mnist,ours,local_displacement,full,2000,0.2845988152159605,0.2429406173533894,0.8289106307202668,1.0602814733060668,NaN,NaN,0.5455229427844369,0.6550456162915272,0.9645457901797849
fashion_mnist,ours_oracle_neighbors,recall_at_15,full,2000,0.3033666666666667,0.26666666666666666,0.012666666666666666,0.0,0.06666666666666667,0.06666666666666667,NaN,NaN,NaN
fashion_mnist,ours_oracle_neighbors,local_displacement,full,2000,0.2831786046524969,0.24241988602949044,0.8258142161104509,1.0458428550825538,NaN,NaN,0.5453906243808531,0.6574251829968104,0.9461843413807695
fashion_mnist,no_repulsion,recall_at_15,full,2000,0.3013,0.26666666666666666,0.006,0.0,0.06666666666666667,0.06666666666666667,NaN,NaN,NaN
fashion_mnist,no_repulsion,local_displacement,full,2000,0.2613894459372523,0.2120591163956902,0.8144500421715841,1.0304809045707202,NaN,NaN,0.5317266822414467,0.6472701929122614,0.9448838824679331
fashion_mnist,repulsion_oracle_diagnostic,recall_at_15,subset,50,0.2773333333333333,0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
fashion_mnist,repulsion_oracle_diagnostic,local_displacement,subset,50,0.27578528258509627,0.20131378371344988,0.8167837236186298,0.9016860326496724,NaN,NaN,0.5780233981833779,0.7444424100366404,0.8410365127405569
fashion_mnist,spectral_only,recall_at_15,full,2000,0.07986666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,NaN,NaN,NaN
fashion_mnist,spectral_only,local_displacement,full,2000,0.8140828746098198,0.6599867366359968,2.718006512047138,4.090602197440464,NaN,NaN,1.557004749422408,1.994416445711332,3.263936091886721
fashion_mnist,standard_umap,recall_at_15,full,2000,0.2859666666666667,0.26666666666666666,0.0013333333333333333,0.0,0.06666666666666667,0.06666666666666667,NaN,NaN,NaN
fashion_mnist,standard_umap,local_displacement,full,2000,0.3841399929880161,0.33528601696291205,1.0513184297944607,1.3919423166191771,NaN,NaN,0.7126879825481556,0.8553320795148629,1.142025083458139
mnist_oos,ours,recall_at_15,full,2000,0.26966666666666667,0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
mnist_oos,ours,local_displacement,full,2000,0.282414811442669,0.23678080325148365,0.8274889309299553,1.0592016281823535,NaN,NaN,0.5385423667949409,0.6868187775947278,0.8691578590552453
mnist_oos,ours_oracle_neighbors,recall_at_15,full,2000,0.26956666666666673,0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
mnist_oos,ours_oracle_neighbors,local_displacement,full,2000,0.2798414328748538,0.23547719866056732,0.8024896609999996,0.9422108265108005,NaN,NaN,0.5377806039127546,0.6839045884069421,0.869123739437035
mnist_oos,no_repulsion,recall_at_15,full,2000,0.26683333333333337,0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,NaN,NaN,NaN
